identifier,all_names,batting_style,bowling_style
d72a2d32,['A Ganeshan'],,
9fed8473,['AG Archer' 'Alfred Archer'],,
1d23ed3a,['AG Dugmore'],,
f315f713,['A Gentle'],,
46fe40aa,['AG Ganteaume' 'Andrew Ganteaume' 'Andy Ganteaume'],,
cf4e0e15,['AG Harriott'],,
d2616ffe,['Agha Saadat Ali'],,
6359ffe3,['Agniv Pan'],,
c53500ba,['A Goenka'],,
c6b11959,['A Gorawara'],,
3a02626a,['AG Paunikar' 'Amit Paunikar'],,
637b6fbd,['AG Puttick'],,
1096ab5f,['A Greenwood' 'Andrew Greenwood'],,
1bd8d47d,['A G Sehrawat' 'AG Sehrawat' 'Ashish Sehrawat'],,
d1305df0,['AGS Gous'],,
809ecb9d,['AG Steel' 'Allan Steel'],,
b4a03e25,['AG Walker'],,
df1b4c8f,['A Halbhavi'],,
46d45fde,['A Hamilton'],,
a06d0f17,['A Haque'],,
9b04a912,['A Harris'],,
11c27ff1,['A Hearne' 'Alec Hearne'],,
21764a38,['A Hepburn'],,
068d27fe,['A Heywood'],,
21863356,['AH Jarvis' 'Affie Jarvis' 'Arthur Jarvis'],,
a90e8bcf,['Ahmadi Ravat'],,
a63ceba6,['Ahmad Khan'],,
638a14dc,['Ahmad Mushtaq'],,
b5f30525,['Ahmad Ramdoni'],,
c2f82483,['A Shafiq' 'Ahmad Shafiq'],,
d01f8cb9,['Ahmed Ameel'],,
56d0ab23,['Ahmed Bilal'],,
c439461b,['Ahmed Hassan' 'Ahmed Hassan (2)'],,
c3f4ffdd,['Ahmed Jamaal'],,
e1e075c5,['Ahmed Nisar'],,
075d569e,['Ahmed Shah' 'Ahmed Shah (2)' 'Shah'],,
af23265a,['Ahmed Shah Durrani'],,
43602937,['Ahmed Shah Pakteen'],,
afbc53ba,['Ahmer Bin Nisar'],,
8466feb5,['A Holder'],,
21fde4d1,['AH Passi'],,
5bbb4ec5,['Ahsan Bhatti'],,
e0e5b209,['Ahsan Raza'],,
877ab296,['Ahsan ul Haq'],,
e8fa03ed,['A Hunter'],,
862c0b16,['Aidan Seaver'],,
6c750dbc,['AI Gait'],,
8e75f2c7,['A Igbobie'],,
62aa10d7,['Aima Aishath'],,
3f7c9f71,['A Imtiaz'],,
31453abb,['Aina Najwa'],,
349cf113,['Ainool Haqqiem'],,
e77d4107,['A Iopu'],,
b4f53920,['A I Thakur'],,
969c1e64,['A Jain' 'Anju Jain'],,
45813bab,['A Jain' 'Arjan Jain'],,
117006f2,['A Jarvis'],,
71647ced,['A Wheater' 'AJA Wheater'],,
f74b682b,['AJ Ayannaike'],,
c1006a24,['Ajay Verma'],,
a67aa9df,['AJ Barrow'],,
36eafb02,['A Doolan' 'AJ Doolan' 'Alexander Doolan'],,
c6da6ebf,['AJ Freeborn'],,
321644de,['A Healy' 'AJ Healy' 'Alyssa Healy'],,
60938c83,['AJ Hodd'],,
cdc3e595,['AJ Horton'],,
4b6711c2,['Ajith Dcosta'],,
90624d37,['AJ Jabiri'],,
16d029ec,['A J Kaushik' 'AJ Kaushik' 'Abhishek Kaushik'],,
a9789d58,['A Baum' 'AJL Baum'],,
170f716c,['AJ Mellor'],,
d68f4aa1,['AJ Michael'],,
aaf64760,['AJ Miles'],,
19c56e6e,['AJ Mosca'],,
7ffe0ce3,['AJ Neill'],,
e64c35df,['A Johnmary'],,
68736e1a,['AJ Richardson' 'Arthur Richardson'],,
284d6015,['AJ Sammartino'],,
f06852e3,['AJT Dowdalls'],,
91a2f04e,['AJ Wilkins'],,
7085be79,['AJ Woodcock' 'Ashley Woodcock'],,
c7acf05f,['A Kainessie'],,
ab50174b,['A Kanada'],,
e92841c0,['A Kano'],,
7c9c0f18,['A Kapa'],,
7d13b388,['A Kassam'],,
e753931d,['Akbar Ali'],,
abae26ad,['Akbar Ali' 'Mohammad Akbar Ali'],,
ce352f02,['Akbar Khan'],,
fdcc6236,['AK Chaudhary' 'AK Chowdhary'],,
c17a101b,['AK Ghose'],,
d6ac52e8,['Akhilesh Sahani'],,
9d0344f3,['Akif Raja'],,
e1d712bb,['A Kind-David'],,
7202ec06,['A Kitamura'],,
602fd1aa,['AKL Brijcoomar'],,
defd49f6,['AK Mandal'],,
85f5735b,['A Kolan'],,
cc07fa42,['A Koul'],,
2c772c89,['A Kovalevs'],,
094a7be4,['A Patel' 'AK Patel'],,
c997e906,['Akram Aslam'],,
562d74d0,['AK Rana'],,
894ebe7e,['AK Saini'],,
cb932841,['A Bains' 'A K Bains' 'AKS Bains'],,
1edf29b9,['A Homraj' 'Akshay Homraj'],,
c88c8a7d,['A V Wadkar' 'AV Wadkar' 'Akshay Wadkar'],,
a6c37940,['Akteruzzaman'],,
de412f40,['AK Wilds'],,
fe0b3bdf,['A Langham'],,
f4775d89,['A las Pinas'],,
92197eee,['Alastair Smith'],,
1dc27b6b,['Al Bashid' 'Al Bashid Muhammed'],,
29ede60b,['A Davies' 'AL Davies'],,
ef7baafc,['A Lee'],,
e214be36,['Alfredo Esteban Valdes Puentes' 'Alfredo Puentes'],,
1a1f45a4,['AL Gillies'],,
4165ced0,['AL Hill'],,
82ad363c,['Ali Ahmed'],,
61ff1d99,['A Liaqat Ali'],,
81423620,['Alifiya Sayed'],,
2bcbcac3,['A Limdawala'],,
b86dd1b0,['Ali Mohammadipour'],,
7db29f25,['Ali Naqi'],,
4ec0443d,['Ali Nayyer'],,
db51b9a0,['Ali Raza'],,
661e8a03,['Ali Saleem'],,
7f6f68a0,['Alison Smith'],,
090c0213,['A Lister'],,
10840285,['AL Kandappah'],,
3f77831b,['Alkandari Mohammad'],,
adb629f6,['AL Kerai'],,
283631cb,['Alotaibi Mohammed'],,
cbabb74d,['Alqallaf Mohammad'],,
fea813ce,['AL Roberts'],,
b9b194d6,['Altaf Gill'],,
411d28f6,['A Maasz'],,
1d4ccacd,['Amad Sheikh'],,
1e451414,['AM Ally'],,
fd3c5c00,['AAA Patel'],,
5c67c7a6,['AA Baig'],,
c7a9ffbf,['AA Bevilaqua'],,
d37fd2c3,['A Adams'],,
cfa56623,['AA Deshpande'],,
797f52cc,['AAhan Achar' 'AG Achar'],,
81782f5b,['AAIP Bastari'],,
88626ed2,['AA Jangoo'],,
24f5e41a,['Aakash Verma'],,
161641cd,['Aamer Ikram'],,
80190078,['AA Moiane'],,
82c528b2,['AA Mulla'],,
62479b4b,['AA Premji'],,
b0b5d6ba,['Aaqib Sulehri'],,
de8341fd,['Aaron Campbell'],,
67b99b43,['A Arroz'],,
ef7a904e,['AA Shafique'],,
42c41e1a,['Aasif Iqbal'],,
dcbea954,['Aasif Sheikh'],,
72448ed4,['A Askari'],,
fa62a463,['A Awasthi'],,
a09eb585,['A Ayre'],,
112959b2,['A Bagai'],,
4f62e07f,['A Barty'],,
0251a22f,['Abdul Bangalzai'],,
73b1db79,['Abdul Hashim'],,
2c29b16e,['Abdul Jalali'],,
8f21593d,['Abdul Kadir'],,
6ef9a32f,['Abdulla Bhoola'],,
7d42816e,['Abdullah Ghulam'],,
508fbec9,['Abdullah Qureshi'],,
71686118,['Abdullah Shahid'],,
0cfb42b5,['Abdul Majid Abbasi'],,
e3fbe553,['Abdulmalik Jabarkhel'],,
37cb317b,['Abdul Muqeet' 'Abdul Muqeet (2)'],,
db07c3e8,['Abdul Nabi'],,
35824e03,['Abdul Qadir'],,
12f53be7,['Abdul Rahman' 'Abdul Rahman Bhadelia'],,
40431f63,['Abdul Rahman' 'Mohammad Abdul Rahman'],,
df2dde61,['Abdulrahman Dashti'],,
a3379021,['Abdul Rashid'],,
6eb2fb00,['Abdul Rashid Karim'],,
505371c8,['Abdul Rehman' 'Abdul Rehman (2)'],,
ff2dd5e4,['Abdul Salam'],,
7b9b9aef,['Abdul Shakoor'],,
5f91b34e,['Abdul Stanikzai'],,
edaae5f4,['Abdur Rahman Sudais'],,
