identifier,all_names,batting_style,bowling_style
ad5165c2,['A Galan' 'Albertina Galan'],Right hand Bat,Right arm Medium
e23617fc,['A Gandotra' 'Ashok Gandotra'],Left hand Bat,Left arm Orthodox
bc969efb,['A Gardner' 'Ashleigh Gardner' 'Gardner'],Right hand Bat,Right arm Offbreak
e87c009a,['A Gasteratos'],Right hand Bat,Right arm Medium
c725d464,['A Gavde'],Right hand Bat,Right arm Offbreak
443fac6b,['AG Barrett' 'Arthur Barrett'],Right hand Bat,Right arm Legbreak
34ab1e6e,['A Gbla'],Right hand Bat,Right arm Medium
cd5ff718,['AG Botha'],Left hand Bat,Left arm Orthodox
ff4df902,['AG Chipperfield' 'Arthur Chipperfield'],Right hand Bat,Right arm Legbreak
0863ec79,['AG Chouhan'],Right hand Bat,Right arm Offbreak
9f0270e0,['AG Cremer' 'G Cremer' 'Graeme Cremer'],Right hand Bat,Right arm Legbreak
65d3908c,"[""AG D'Costa""]",Right hand Bat,Right arm Medium
cf209c55,['AG Dissanayake'],Left hand Bat,Right arm Offbreak
8a755918,['AGD Wickremasinghe' 'Gamini Wickremasinghe'],Right hand Bat,Right arm Offbreak
52b45daa,['A Genford'],Right hand Bat,Right arm Medium
564523c4,['AG Fairfax' 'Alan Fairfax'],Right hand Bat,Right arm Fast
a7fcf627,['AG Gerken'],Right hand Bat,Right arm Medium
992acb49,['AG Gordon' 'Amy Gordon'],Right hand Bat,Right arm Medium
89c16049,['Agha Salman'],Right hand Bat,Right arm Offbreak
9d1a92d4,['Agha Zahid'],Right hand Bat,Right arm Medium
1ab18b25,['AGH Orr'],Left hand Bat,Right arm Medium
32c6f715,['AG Hotton'],Right hand Bat,Right arm Offbreak
835ea4e8,['AG Huckle' 'Adam Huckle'],Right hand Bat,Right arm Legbreak
ad7945c6,['AG Hurst' 'Alan Hurst'],Right hand Bat,Right arm Fast
1d44cade,['A G Jungade' 'AG Jungade' 'Amol Jungade'],Right hand Bat,Right arm Medium
4bc334dd,['AG Kripal Singh'],Right hand Bat,Right arm Offbreak
9da0d1e5,['A Glen'],Right hand Bat,Right arm Medium
fd46ed0b,['A G Milkha Singh' 'AG Milkha Singh'],Left hand Bat,Right arm Medium
7bdb73e9,['AG Milton'],Right hand Bat,Right arm Legbreak
ef5da05c,['A Murtaza' 'AG Murtaza'],Left hand Bat,Left arm Orthodox
898b09e8,['A Gordon'],Right hand Bat,Right arm Fast
278de489,['AG Oxley' 'Alex Oxley'],Right hand Bat,Right arm Offbreak
d5eed764,['A G Pradeep'],Right hand Bat,Right arm Offbreak
035cb925,['AG Prince' 'Ashwell Prince'],Left hand Bat,Right arm Offbreak
a83c44b8,['A Gqamane'],Right hand Bat,Right arm Fast
0420f51f,['A G Rao' 'AG Rao' 'Anand Rao'],Right hand Bat,Right arm Offbreak
091001f8,['A Griffiths'],Right hand Bat,Right arm Medium
beb2a972,['Agrim Tiwari'],Right hand Bat,Left arm Medium
ee5aa838,['AGR Loudon'],Right hand Bat,Right arm Offbreak
1a45b864,['A Salter' 'AG Salter'],Right hand Bat,Right arm Offbreak
b5223cb0,['A Gunasekar'],Right hand Bat,Right arm Medium
10854c82,['A Gurung'],Right hand Bat,Left arm Medium
730d120f,['A Wakely' 'AG Wakely'],Right hand Bat,Right arm Medium
747209e0,['AG Weligamage'],Right hand Bat,Right arm Medium
2e0fcc58,['AG Wharf'],Right hand Bat,Right arm Medium
97f2d4b6,['A Habib' 'Aftab Habib'],Right hand Bat,Right arm Medium
596dfb4e,['A Haggan'],Right hand Bat,Right arm Fast
53409d13,['A Harikumar'],Right hand Bat,Right arm Medium
15e375e1,['A Harinath'],Left hand Bat,Right arm Offbreak
bbafa5d6,['A Harris' 'Antonio Harris'],Right hand Bat,Right arm Medium
6b44d18c,['A Harrison'],Right hand Bat,Right arm Medium
53d50717,['A Hartley'],Right hand Bat,Left arm Orthodox
78f6d902,['AH Bakewell' 'Alfred Bakewell' 'Fred Bakewell'],Right hand Bat,Right arm Medium
a8d8fda3,['AHC Cooper' 'Alfred Cooper'],Right hand Bat,Right arm Medium
af20c330,['AH Gray' 'Anthony Gray' 'Tony Gray'],Right hand Bat,Right arm Fast
f4cd006e,['AHH Gilligan' 'Alfred Gilligan' 'Arthur Gilligan' 'Harold Gilligan'],Right hand Bat,Right arm Legbreak
e4072aa1,['A H Hooda' 'AH Hooda' 'Ashish Hooda'],Right hand Bat,Right arm Medium
3e94bd34,['A Hickey'],Right hand Bat,Right arm Offbreak
546c694b,['A Hill' 'Allen Hill'],Right hand Bat,Right arm Fast
6d97efab,['Ahitesh Varma' 'UAV Varma'],Left hand Bat,Left arm Orthodox
56901357,['AH Jones' 'Andrew Jones'],Right hand Bat,Right arm Offbreak
a21fa4b7,['AH Kapadia'],Left hand Bat,Left arm Orthodox
b8201752,['AH Kardar' 'Abdul Hafeez' 'Abdul Kardar'],Left hand Bat,Left arm Orthodox
ccaa3434,['A Hlubi'],Right hand Bat,Right arm Medium
e4ad57ea,['Ahmad Khalid Ahmadzai'],Right hand Bat,Right arm Medium
01ab4d37,['Ahmad Nasir'],Right hand Bat,Right arm Medium
6bfa638b,['Ahmad Raza'],Right hand Bat,Right arm Medium
d6055cb9,['Ahmadschah Ahmadzai'],Right hand Bat,Right arm Medium
e068d48e,['Ahmadullah Shinwari'],Left hand Bat,Left arm Medium
f61e2829,['AH Maqsood'],Right hand Bat,Right arm Legbreak
ec2decf9,['AH McKinnon' 'Atholl McKinnon'],Right hand Bat,Left arm Orthodox
92f0e10e,['Ahmed Aqeel'],Left hand Bat,Right arm Offbreak
8bbb89ab,['Ahmed Baladraf'],Left hand Bat,Left arm Orthodox
2f9a41e7,['Ahmad Omar Banday' 'Ahmed Banday'],Right hand Bat,Right arm Medium
9656afbf,['Ahmed Daniyal'],Right hand Bat,Right arm Medium
e6313a2b,['Ahmed Faiz'],Right hand Bat,Right arm Offbreak
f6b4f746,['Ahmed Faiz' 'Ahmed Faiz Mohammad Noor'],Right hand Bat,Right arm Legbreak
7c885103,['Ahmed Hassan'],Right hand Bat,Right arm Offbreak
e6c4b25e,['Ahmed Mustafa'],Right hand Bat,Right arm Medium
ffdb48ea,['Ahmed Nadeem'],Right hand Bat,Right arm Medium
48adc7d3,['Ahmed Raid'],Right hand Bat,Left arm Orthodox
79b4839e,['A Raza' 'Ahmed Raza'],Right hand Bat,Left arm Orthodox
fb23118c,['Ahmed Safi' 'Ahmed Safi Abdullah'],Left hand Bat,Left arm Orthodox
63500b26,['Ahmed Shah'],Left hand Bat,Left arm Orthodox
86a1918c,['Ahmed Shahab'],Right hand Bat,Right arm Offbreak
f8fd6e3f,['A Shehzad' 'Ahmed Shehzad'],Right hand Bat,Right arm Legbreak
3daaabaa,['Ahmed Wardak'],Right hand Bat,Left arm Medium
693af62a,['AH Miller'],Right hand Bat,Right arm Fast
993d93ec,['A Hogg'],Left hand Bat,Left arm Orthodox
ac1b155e,['A Hoilett'],Right hand Bat,Right arm Offbreak
d62b4ebd,['AH Omarshah' 'Ali Omarshah' 'Ali Shah'],Left hand Bat,Right arm Medium
faacd6f1,['AHP Scott' 'Alfred Scott'],Right hand Bat,Right arm Legbreak
9f97c98d,['Ahram Jeong'],Right hand Bat,Right arm Medium
4f21dc48,['Ahsan Abbasi'],Right hand Bat,Right arm Offbreak
dc2abe5e,['A Ali' 'Ahsan Ali'],Right hand Bat,Right arm Legbreak
86229495,['Ahsan Hafeez'],Left hand Bat,Left arm Orthodox
4c72b407,['Ahsan Khan'],Right hand Bat,Right arm Medium
96503059,['A Malik' 'Ahsan Malik'],Right hand Bat,Right arm Medium
2eee6ca6,['Ahsan Yusuf'],Left hand Bat,Left arm Orthodox
72918338,['A Donald' 'AHT Donald'],Right hand Bat,Right arm Offbreak
5d2031f0,['AH Thomson'],Right hand Bat,Right arm Legbreak
0a7f49f5,['A Hurwood' 'Alec Hurwood' 'Alexander Hurwood'],Right hand Bat,Right arm Offbreak
034d3c52,['A Husain'],Right hand Bat,Right arm Offbreak
f6882b74,['A Hutchinson'],Right hand Bat,Right arm Medium
88aa3db2,['AIC Dodemaide' 'Anthony Dodemaide' 'Tony Dodemaide'],Right hand Bat,Right arm Fast
