,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
3186,Sri Lanka_West Indies_2015-11-11,2015-11-11,AD Russell,9,9,caught,1.0,1,3,Sri Lanka,West Indies,R. Premadasa Stadium,1,-1.0,1.1499999999999997,162,55,77,False,100.0,True,70,0.0,7.0,0.0,89.0,0.0,34.0,16.0
8811,West Indies_England_2014-03-09,2014-03-09,TT Bresnan,47,29,0,0.0,2,6,West Indies,England,Kensington Oval,0,27.0,-1.3499999999999996,143,71,75,False,162.07,False,120,0.0,0.0,,78.0,0.0,22.0,0.0
6086,Australia_India_2018-11-21,2018-11-21,BR McDermott,2,3,0,1.0,1,4,India,Australia,Brisbane Cricket Ground,0,-1.0,-0.6470588235294112,158,99,155,False,66.67,False,102,0.0,0.0,0.0,9.0,0.0,0.0,7.0
2691,India_Pakistan_2012-12-28,2012-12-28,Yuvraj Singh,72,36,caught,1.0,1,2,Pakistan,India,Narendra Modi Stadium,0,-1.0,0.5499999999999989,192,43,53,False,200.0,True,116,22.0,12.0,0.0,57.0,18.0,46.0,17.333333333333332
3559,New Zealand_Pakistan_2007-09-22,2007-09-22,Shoaib Malik,26,14,0,1.0,2,2,New Zealand,Pakistan,Newlands Cricket Ground,0,-4.0,0.6553097345132741,147,75,97,False,185.71,False,113,7.0,18.0,0.0,37.0,4.0,21.0,43.0
7229,West Indies_India_2022-02-16,2022-02-16,Ishan Kishan,35,42,caught,1.0,2,0,West Indies,India,Eden Gardens,1,64.0,0.7517699115044252,162,1,1,True,83.33,True,72,24.0,35.0,0.0,107.0,55.0,24.0,0.0
1665,England_New Zealand_2016-03-30,2016-03-30,JC Buttler,32,17,0,1.0,2,3,New Zealand,England,Arun Jaitley Stadium,1,-6.0,1.6121359223300953,159,75,110,False,188.24,False,103,6.0,7.0,0.0,43.0,17.0,4.0,39.0
1629,England_Pakistan_2012-02-23,2012-02-23,JC Buttler,3,4,caught,0.0,2,4,Pakistan,England,Dubai International Cricket Stadium,1,23.0,-0.4000000000000003,136,96,114,False,75.0,True,104,6.0,1.0,0.0,31.0,0.0,12.0,0.0
4984,India_Sri Lanka_2014-04-06,2014-04-06,NLTC Perera,23,14,0,1.0,2,4,India,Sri Lanka,Shere Bangla National Stadium,1,-4.0,1.0140186915887854,134,76,78,False,164.29,False,107,0.0,3.0,0.0,31.0,16.0,31.0,15.666666666666666
5582,England_Sri Lanka_2016-07-05,2016-07-05,N Pradeep,0,1,bowled,0.0,1,10,England,Sri Lanka,The Rose Bowl,1,-1.0,-1.2285714285714278,140,120,140,False,0.0,True,120,0.0,,,1.0,0.0,0.0,0.0
2059,India_England_2021-03-20,2021-03-20,CJ Jordan,11,10,caught,0.0,2,5,India,England,Narendra Modi Stadium,1,50.0,-1.799999999999999,188,94,143,False,110.0,True,117,12.0,0.0,0.0,44.0,0.0,0.0,6.0
8839,England_Sri Lanka_2011-06-25,2011-06-25,ST Jayasuriya,8,8,caught,1.0,2,0,England,Sri Lanka,County Ground,1,96.0,1.1038461538461544,137,0,1,True,100.0,True,25,0.0,31.0,,130.0,0.0,52.0,0.0
4210,Australia_West Indies_2024-02-09,2024-02-09,MP Stoinis,9,6,caught,1.0,1,3,West Indies,Australia,Bellerive Oval,0,-1.0,0.5500000000000007,213,76,136,False,150.0,True,83,6.0,6.0,0.0,72.0,12.0,0.0,0.0
7859,England_New Zealand_2023-09-01,2023-09-01,FH Allen,3,6,caught,0.0,2,0,England,New Zealand,Old Trafford,0,190.0,-4.75,103,1,0,True,50.0,True,13,20.0,25.0,0.0,104.0,42.0,18.0,21.0
10596,India_South Africa_2015-10-05,2015-10-05,MM Sharma,0,3,bowled,0.0,1,9,South Africa,India,Barabati Stadium,0,-1.0,-0.9922330097087376,92,97,86,False,0.0,True,104,,5.0,,11.0,,1.0,0.0
9209,Australia_South Africa_2009-01-11,2009-01-11,NW Bracken,1,3,bowled,1.0,1,7,South Africa,Australia,Melbourne Cricket Ground,1,-1.0,2.6,182,107,170,False,33.33,True,119,0.0,,,12.0,0.0,0.0,0.0
2117,India_West Indies_2016-03-31,2016-03-31,CH Gayle,5,6,bowled,1.0,2,0,India,West Indies,Wankhede Stadium,1,186.0,0.3661016949152547,196,1,1,True,83.33,True,7,23.0,48.0,0.0,133.0,25.0,13.0,52.0
2666,India_New Zealand_2007-09-16,2007-09-16,Yuvraj Singh,5,7,caught,0.0,2,3,New Zealand,India,New Wanderers Stadium,1,74.0,-0.5,180,66,105,False,71.43,True,76,6.0,31.0,0.0,48.0,0.0,26.0,1.0
6578,Australia_England_2014-02-02,2014-02-02,MS Wade,19,10,0,1.0,1,6,England,Australia,Stadium Australia,1,-1.0,4.2,195,97,140,False,190.0,False,120,2.0,0.0,0.0,24.0,5.0,0.0,0.0
5619,Sri Lanka_Australia_2016-09-09,2016-09-09,LD Chandimal,4,5,caught and bowled,0.0,1,2,Australia,Sri Lanka,R. Premadasa Stadium,1,-1.0,-0.8897196261682243,128,35,45,False,80.0,True,43,33.0,11.0,0.0,34.0,50.0,36.0,58.0
9897,New Zealand_Pakistan_2010-12-30,2010-12-30,JD Ryder,0,5,caught,0.0,2,0,Pakistan,New Zealand,AMI Stadium,0,181.0,-5.15,80,1,0,True,0.0,True,9,31.0,24.0,,125.0,17.0,24.0,3.0
1400,India_England_2021-03-18,2021-03-18,JM Bairstow,25,19,caught,0.0,2,2,India,England,Narendra Modi Stadium,1,54.0,-0.4000000000000003,177,48,60,False,131.58,True,89,6.0,0.0,0.0,95.0,31.0,18.0,28.666666666666668
4620,New Zealand_Pakistan_2016-01-22,2016-01-22,Imad Wasim,0,1,caught,0.0,2,6,New Zealand,Pakistan,Sky Stadium,1,120.0,-4.750000000000001,101,70,76,False,0.0,True,71,32.0,18.0,0.0,22.0,6.0,4.0,13.0
6253,West Indies_India_2018-11-11,2018-11-11,DM Bravo,43,37,0,0.0,1,1,India,West Indies,MA Chidambaram Stadium,1,-1.0,-0.0499999999999989,181,37,52,False,116.22,False,120,13.0,39.0,0.0,87.0,24.0,14.0,14.0
9169,Australia_England_2011-01-12,2011-01-12,SR Watson,59,31,bowled,0.0,1,0,England,Australia,Adelaide Oval,1,-1.0,-0.0500000000000007,157,1,1,True,190.32,True,52,25.0,36.0,0.0,145.0,0.0,36.0,0.0
2543,Pakistan_India_2022-08-28,2022-08-28,V Kohli,35,34,caught,1.0,2,1,Pakistan,India,Dubai International Cricket Stadium,1,94.0,0.1754237288135591,148,3,1,True,102.94,True,55,25.0,34.0,0.0,136.0,48.0,0.0,0.0
8387,New Zealand_Sri Lanka_2010-04-30,2010-04-30,BB McCullum,0,4,caught,1.0,2,0,Sri Lanka,New Zealand,Providence Stadium,0,135.0,0.2584033613445387,139,1,0,True,0.0,True,4,13.0,48.0,,113.0,0.0,67.0,0.0
4230,West Indies_Australia_2021-07-16,2021-07-16,AT Carey,9,14,caught,0.0,2,3,West Indies,Australia,Daren Sammy National Cricket Stadium,0,80.0,-0.7999999999999989,183,56,96,False,64.29,True,79,16.0,0.0,0.0,66.0,43.0,18.0,6.5
