,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
8985,Sri Lanka_England_2012-10-01,2012-10-01,KC Sangakkara,13,12,caught,1.0,1,1,England,Sri Lanka,Pallekele International Cricket Stadium,0,-1.0,0.9499999999999992,169,29,37,True,108.33,True,62,0.0,12.0,,99.0,6.0,73.0,24.33333333333333
8913,Sri Lanka_Australia_2011-08-08,2011-08-08,TM Dilshan,4,6,lbw,1.0,1,0,Australia,Sri Lanka,Pallekele International Cricket Stadium,1,-1.0,0.3999999999999994,157,1,0,True,66.67,True,18,24.0,49.0,,78.0,42.0,49.0,104.0
7699,Australia_South Africa_2014-11-09,2014-11-09,RR Rossouw,4,4,caught,0.0,1,1,Australia,South Africa,Stadium Australia,0,-1.0,-0.1113445378151265,145,53,77,False,100.0,True,67,43.0,14.0,0.0,56.0,12.0,12.0,45.0
286,Australia_Sri Lanka_2017-02-22,2017-02-22,S Prasanna,12,8,caught,0.0,2,6,Australia,Sri Lanka,Adelaide Oval,1,67.0,-2.05,146,73,91,False,150.0,True,89,13.0,0.0,0.0,63.0,6.0,0.0,17.333333333333332
3686,New Zealand_Pakistan_2010-12-30,2010-12-30,Umar Akmal,30,19,caught,1.0,1,3,New Zealand,Pakistan,AMI Stadium,1,-1.0,5.15,183,79,100,False,157.89,True,115,0.0,6.0,0.0,32.0,9.0,10.0,13.0
8043,New Zealand_India_2023-01-29,2023-01-29,JA Duffy,6,3,0,0.0,1,8,India,New Zealand,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,-1.0,-0.1424369747899163,99,109,84,False,200.0,False,120,6.0,,,17.0,,,0.0
3074,India_New Zealand_2021-10-31,2021-10-31,RG Sharma,14,14,caught,0.0,1,1,New Zealand,India,Dubai International Cricket Stadium,0,-1.0,-2.155172413793103,110,18,12,True,100.0,True,46,13.0,36.0,0.0,93.0,38.0,0.0,0.0
2920,Pakistan_England_2022-09-25,2022-09-25,MM Ali,29,20,bowled,0.0,2,4,Pakistan,England,National Stadium,1,60.0,-0.1500000000000003,163,45,57,False,145.0,True,80,35.0,29.0,0.0,52.0,18.0,18.0,31.0
10374,Australia_Sri Lanka_2013-01-28,2013-01-28,GJ Bailey,45,36,caught,0.0,2,2,Sri Lanka,Australia,Melbourne Cricket Ground,1,55.0,-0.1166666666666671,119,26,22,True,125.0,True,86,29.0,24.0,0.0,68.0,0.0,42.0,11.0
8859,West Indies_Sri Lanka_2010-05-07,2010-05-07,DPMD Jayawardene,98,56,0,1.0,1,0,West Indies,Sri Lanka,Kensington Oval,1,-1.0,2.85,195,1,0,True,175.0,False,120,0.0,26.0,,178.0,0.0,52.0,81.0
7685,India_England_2022-07-09,2022-07-09,RJ Gleeson,2,3,caught,0.0,2,8,India,England,Edgbaston,1,61.0,-2.45,121,88,99,False,66.67,True,94,7.0,,,29.0,,5.0,0.0
