venue,total_mean,total_std,first_bat_won_ratio,number_of_matches,host
AMI Stadium,186.33333333333334,26.159765544311238,0.5,3,New Zealand
Adelaide Oval,185.75,34.82917496254295,0.625,8,Australia
Arnos Vale Ground,143.5,12.020815280171307,0.5,2,West Indies
Arun Jaitley Stadium,171.4,37.03106803752762,0.4,5,India
Barabati Stadium,140.0,44.54211490264017,0.3333333333333333,3,India
Barsapara Cricket Stadium,192.33333333333334,64.80997865555375,0.3333333333333333,3,India
Bay Oval,199.66666666666666,32.946421151115445,1.0,6,New Zealand
Bellerive Oval,190.0,28.307831660749528,0.75,4,Australia
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,160.0,36.518488468171846,0.8333333333333334,6,India
Boland Park,146.0,,0.0,1,South Africa
Brabourne Stadium,166.0,,0.0,1,India
Brian Lara Stadium,184.5,60.1470420441992,0.75,4,West Indies
Brisbane Cricket Ground,166.625,28.819326352789226,0.625,8,Australia
Buffalo Park,171.0,8.48528137423857,0.5,2,South Africa
Carrara Oval,126.5,26.16295090390226,0.5,2,Australia
Central Broward Regional Park Stadium,165.0909090909091,48.82510531571753,0.6363636363636364,11,USA
Coolidge Cricket Ground,140.66666666666666,16.743157806499145,0.3333333333333333,3,West Indies
County Ground,177.2,40.214425272531244,0.4,5,England
Daren Sammy National Cricket Stadium,161.9375,27.452914235104437,0.5,16,West Indies
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,148.75,55.97246346791131,0.25,4,India
Dubai International Cricket Stadium,145.0,30.943496893531606,0.4,41,UAE
Eden Gardens,151.625,32.21773025613603,0.375,8,India
Eden Park,171.6153846153846,33.619133746218886,0.5454545454545454,26,New Zealand
Edgbaston,174.28571428571428,32.59199434275379,1.0,7,England
GMHBA Stadium,173.0,,0.0,1,Australia
Gaddafi Stadium,169.5,18.387914090928984,0.7142857142857143,14,Pakistan
Green Park,147.0,,0.0,1,India
Greenfield International Stadium,144.5,73.77669008569035,0.5,4,India
Hagley Oval,152.71428571428572,18.30950832868254,0.2857142857142857,7,New Zealand
Harare Sports Club,164.33333333333334,42.217689815210555,0.3333333333333333,3,Zimbabwe
Headingley,200.0,,1.0,1,England
Himachal Pradesh Cricket Association Stadium,167.5,27.958302285129307,0.25,4,India
Holkar Cricket Stadium,200.25,53.15621631882139,0.5,4,India
JSCA International Stadium Complex,160.75,33.48009358808106,0.5,4,India
Jade Stadium,193.0,,1.0,1,New Zealand
John Davies Oval,182.0,,0.0,1,New Zealand
Kensington Oval,160.8095238095238,30.62616372910432,0.6666666666666666,21,West Indies
Kingsmead,164.66666666666666,41.9994331027501,0.5,15,South Africa
Lord's,144.4,11.0589330407594,0.6,5,England
M. Chinnaswamy Stadium,164.71428571428572,36.65475997154297,0.3333333333333333,7,India
MA Chidambaram Stadium,174.0,9.899494936611665,0.5,2,India
Maharashtra Cricket Association Stadium,166.25,48.753632343310244,0.5,4,India
Mahinda Rajapaksa International Cricket Stadium,128.0,31.88259713385972,0.8,5,Sri Lanka
Manuka Oval,152.5,23.951339558919592,0.5,4,Australia
Maple Leaf Cricket Club,134.5,3.5355339059327378,0.0,2,Canada
McLean Park,191.33333333333334,43.50095784386056,0.5,3,New Zealand
Melbourne Cricket Ground,142.0625,27.943917048259358,0.3125,16,Australia
Moses Mabhida Stadium,168.0,,1.0,1,South Africa
Narendra Modi Stadium,182.71428571428572,38.59496636313379,0.5714285714285714,7,India
National Cricket Stadium,175.14285714285714,21.185125060039738,0.7142857142857143,7,West Indies
National Stadium,188.4,23.787017934626064,0.6,10,Pakistan
New Wanderers Stadium,176.03571428571428,32.557052081102796,0.4642857142857143,28,South Africa
Newlands Cricket Ground,160.125,26.13267431141839,0.3333333333333333,16,South Africa
Old Trafford,167.77777777777777,27.480801379225543,0.3333333333333333,9,England
Pallekele International Cricket Stadium,170.10526315789474,32.46176338203679,0.5882352941176471,19,Sri Lanka
Perth Stadium,156.0,48.509792825779,0.3333333333333333,6,Australia
Providence Stadium,156.66666666666666,18.91736415747888,0.16666666666666666,6,West Indies
Punjab Cricket Association IS Bindra Stadium,179.14285714285714,24.04460141368239,0.2857142857142857,7,India
Queen's Park Oval,134.6,15.043270920913443,0.4,5,West Indies
R. Premadasa Stadium,148.24242424242425,28.133643452979808,0.45454545454545453,33,Sri Lanka
Rajiv Gandhi International Cricket Stadium,196.5,14.849242404917497,0.0,2,India
Rangiri Dambulla International Stadium,185.33333333333334,24.54248017893329,1.0,3,Sri Lanka
Rawalpindi Cricket Stadium,193.0,,0.0,1,Pakistan
Riverside Ground,157.0,34.88074922742725,0.5,4,England
Sabina Park,183.75,28.97556441785618,0.5,4,West Indies
Saurashtra Cricket Association Stadium,198.5,24.172987679087854,0.75,4,India
Sawai Mansingh Stadium,164.0,,0.0,1,India
Saxton Oval,183.5,4.949747468305833,1.0,2,New Zealand
Seddon Park,185.1,14.639748024546808,0.6666666666666666,10,New Zealand
Shaheed Veer Narayan Singh International Stadium,174.0,,1.0,1,India
Sharjah Cricket Stadium,149.0,29.5710068216225,0.3333333333333333,10,UAE
Sheikh Zayed Stadium,126.77777777777777,18.53225416522351,0.3333333333333333,9,Pakistan
Shere Bangla National Stadium,148.83333333333334,28.98850346832919,0.3333333333333333,12,Bangladesh
Sir Vivian Richards Stadium,128.0,11.313708498984761,1.0,2,West Indies
Sky Stadium,165.75,33.68382401094033,0.4,16,New Zealand
Sophia Gardens,149.55555555555554,38.76890219980155,0.3333333333333333,9,England
St George's Park,143.75,58.05959581900882,0.5,4,South Africa
Stadium Australia,162.0,26.356529867694398,0.5,4,Australia
SuperSport Park,179.78571428571428,41.53993180141169,0.5,14,South Africa
Sydney Cricket Ground,168.33333333333334,28.240464045829867,0.5,15,Australia
The Oval,162.83333333333334,34.23669836814752,0.5833333333333334,12,England
The Rose Bowl,173.1818181818182,31.574730978483988,0.6363636363636364,11,England
Trent Bridge,169.3,36.76365959295492,0.6,10,England
University Oval,194.66666666666666,46.543886100467944,0.6666666666666666,3,New Zealand
Vidarbha Cricket Association Stadium,139.4,46.52741127550511,0.6,5,India
WACA Ground,159.5,37.476659402887016,0.5,2,Australia
Wankhede Stadium,188.14285714285714,36.61251412394662,0.2857142857142857,7,India
Warner Park Sporting Complex,138.75,48.64411577981453,0.25,4,West Indies
Windsor Park,148.5,23.33452377915607,0.5,2,West Indies
Zahur Ahmed Chowdhury Stadium,168.5,27.03146314944864,0.6666666666666666,6,Bangladesh
Zayed Cricket Stadium,160.66666666666666,35.89800365851375,0.3333333333333333,6,UAE
Zhejiang University of Technology Cricket Field,115.5,0.7071067811865476,0.5,2,China
