,match_id,batter,batter_runs,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
0,Australia_England_2011-01-12,AJ Finch,15,1,3,England,Australia,Adelaide Oval,1,-1.0,-0.0500000000000007,157,91,116,False,107.14,0.0,6.0,0.0,49.0,0.0,6.0,0.0
1,Australia_England_2011-01-14,AJ Finch,53,1,4,England,Australia,Melbourne Cricket Ground,1,-1.0,0.1999999999999993,147,63,76,False,160.61,12.0,18.0,0.0,55.0,0.0,32.0,15.0
2,England_Australia_2018-02-10,AJ Finch,20,2,3,England,Australia,Melbourne Cricket Ground,1,-1.0,2.6672413793103456,138,80,116,False,400.0,3.0,9.0,0.0,36.0,0.0,0.0,0.0
3,New Zealand_Australia_2018-02-16,AJ Finch,36,2,3,New Zealand,Australia,Eden Park,0,-2.0,0.8588495575221238,245,93,199,False,300.0,8.0,0.0,0.0,49.0,0.0,0.0,20.0
4,New Zealand_Australia_2018-02-21,AJ Finch,18,2,3,New Zealand,Australia,Eden Park,0,29.0,0.75,121,64,85,False,150.0,6.0,14.0,0.0,58.0,6.0,0.0,28.0
5,India_Australia_2019-02-24,AJ Finch,0,2,2,India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,121.0,0.0499999999999998,127,13,5,True,0.0,12.0,24.0,12.0,113.0,62.0,0.0,0.0
6,India_Australia_2019-02-27,AJ Finch,8,2,1,India,Australia,M. Chinnaswamy Stadium,1,168.0,0.3644067796610155,194,15,13,True,114.29,10.0,25.0,18.0,117.0,50.0,0.0,0.0
7,Sri Lanka_Australia_2022-02-15,AJ Finch,35,2,1,Sri Lanka,Australia,Manuka Oval,1,19.0,1.3163366336633668,124,2,0,True,97.22,43.0,25.0,0.0,103.0,24.0,29.0,16.5
8,Sri Lanka_Australia_2022-02-18,AJ Finch,2,2,1,Sri Lanka,Australia,Melbourne Cricket Ground,1,107.0,0.9215596330275222,143,26,20,True,40.0,6.0,23.0,0.0,90.0,50.0,17.0,22.666666666666668
9,West Indies_Australia_2022-10-05,AJ Finch,58,2,2,West Indies,Australia,Carrara Oval,1,18.0,0.1113445378151265,146,13,22,True,109.43,38.0,0.0,0.0,125.0,49.0,12.0,20.0
10,Australia_West Indies_2022-10-07,AJ Finch,15,1,1,West Indies,Australia,Brisbane Cricket Ground,0,-1.0,1.5500000000000007,178,12,11,True,78.95,38.0,18.0,0.0,136.0,36.0,0.0,29.5
11,England_Australia_2022-10-09,AJ Finch,12,2,2,England,Australia,Perth Stadium,1,103.0,-0.4000000000000003,200,52,87,False,171.43,46.0,0.0,0.0,73.0,22.0,6.0,26.6
12,Australia_India_2016-01-26,TM Head,2,2,2,India,Australia,Adelaide Oval,1,95.0,-1.8500000000000003,151,55,89,False,40.0,18.0,18.0,0.0,62.0,8.0,20.0,0.0
13,Australia_India_2016-01-31,TM Head,26,1,3,India,Australia,Sydney Cricket Ground,1,-1.0,-0.1500000000000003,197,56,77,False,136.84,6.0,23.0,0.0,75.0,12.0,19.0,2.0
14,Sri Lanka_Australia_2016-09-06,TM Head,45,1,2,Sri Lanka,Australia,Pallekele International Cricket Stadium,0,-1.0,4.25,263,81,155,False,250.0,22.0,4.0,0.0,44.0,6.0,6.0,0.0
15,Sri Lanka_Australia_2016-09-09,TM Head,9,2,5,Sri Lanka,Australia,R. Premadasa Stadium,0,-2.0,0.8897196261682243,130,91,114,False,90.0,25.0,5.0,0.0,8.0,0.0,11.0,45.0
16,Australia_Sri Lanka_2017-02-17,TM Head,31,1,1,Sri Lanka,Australia,Melbourne Cricket Ground,0,-1.0,-0.1999999999999993,168,64,78,False,124.0,19.0,0.0,9.0,70.0,15.0,6.0,0.0
17,Australia_Sri Lanka_2017-02-19,TM Head,4,1,3,Sri Lanka,Australia,GMHBA Stadium,0,-1.0,-0.1500000000000003,173,81,114,False,100.0,12.0,0.0,0.0,65.0,6.0,0.0,31.0
18,Australia_Sri Lanka_2017-02-22,TM Head,30,1,2,Sri Lanka,Australia,Adelaide Oval,0,-1.0,2.05,187,85,129,False,187.5,13.0,0.0,0.0,50.0,0.0,0.0,17.5
19,Australia_India_2017-10-07,TM Head,9,1,2,India,Australia,JSCA International Stadium Complex,0,-1.0,-2.587662337662337,118,40,56,False,56.25,0.0,0.0,24.0,28.0,22.0,0.0,0.0
20,India_Australia_2017-10-10,TM Head,48,2,2,India,Australia,Barsapara Cricket Stadium,1,-4.0,1.970967741935484,122,18,14,True,141.18,13.0,0.0,24.0,101.0,47.0,0.0,9.0
21,England_Australia_2018-02-07,TM Head,6,2,4,England,Australia,Bellerive Oval,1,28.0,0.9527027027027036,161,71,98,False,46.15,6.0,6.0,0.0,69.0,7.0,6.0,0.0
22,England_Australia_2018-06-27,TM Head,15,2,2,England,Australia,Edgbaston,1,157.0,-1.4000000000000004,193,23,38,True,150.0,20.0,18.0,0.0,94.0,43.0,24.0,0.0
23,Pakistan_Australia_2018-07-02,TM Head,20,2,1,Pakistan,Australia,Harare Sports Club,1,-1.0,4.999999999999999,117,21,35,True,111.11,6.0,31.0,0.0,84.0,23.0,6.0,15.0
24,Pakistan_Australia_2018-07-05,TM Head,7,2,1,Pakistan,Australia,Harare Sports Club,1,156.0,-2.249999999999999,149,27,33,True,175.0,60.0,12.0,0.0,78.0,24.0,18.0,17.5
25,Australia_Pakistan_2018-07-08,TM Head,19,1,3,Pakistan,Australia,Harare Sports Club,1,-1.0,-0.522413793103448,183,95,146,False,172.73,14.0,0.0,0.0,36.0,0.0,0.0,14.0
26,South Africa_Australia_2023-09-03,TM Head,91,2,1,South Africa,Australia,Kingsmead,0,4.0,1.2102803738317771,191,1,0,True,193.62,25.0,44.0,0.0,109.0,24.0,19.0,12.0
27,India_Australia_2013-10-10,MC Henriques,12,1,5,India,Australia,Saurashtra Cricket Association Stadium,0,-1.0,-0.2211864406779646,201,82,147,False,100.0,13.0,12.0,0.0,54.0,0.0,0.0,0.0
28,Sri Lanka_Australia_2016-09-09,MC Henriques,1,2,1,Sri Lanka,Australia,R. Premadasa Stadium,0,31.0,0.8897196261682243,130,52,93,False,33.33,26.0,11.0,0.0,33.0,31.0,30.0,0.0
29,Australia_Sri Lanka_2017-02-17,MC Henriques,17,1,2,Sri Lanka,Australia,Melbourne Cricket Ground,0,-1.0,-0.1999999999999993,168,70,87,False,170.0,15.0,0.0,6.0,66.0,12.0,6.0,0.0
30,Australia_Sri Lanka_2017-02-19,MC Henriques,56,1,2,Sri Lanka,Australia,GMHBA Stadium,0,-1.0,-0.1500000000000003,173,41,64,False,151.35,18.0,0.0,0.0,116.0,24.0,6.0,17.0
31,Australia_Sri Lanka_2017-02-22,MC Henriques,2,1,4,Sri Lanka,Australia,Adelaide Oval,0,-1.0,2.05,187,111,180,False,66.67,0.0,0.0,0.0,8.0,0.0,0.0,36.5
32,Australia_India_2017-10-07,MC Henriques,8,1,3,India,Australia,JSCA International Stadium Complex,0,-1.0,-2.587662337662337,118,60,77,False,88.89,0.0,0.0,13.0,28.0,12.0,0.0,0.0
33,India_Australia_2017-10-10,MC Henriques,62,2,1,India,Australia,Barsapara Cricket Stadium,1,-4.0,1.970967741935484,122,10,11,True,134.78,18.0,0.0,24.0,112.0,47.0,0.0,8.0
34,India_Australia_2020-12-04,MC Henriques,30,2,3,India,Australia,Manuka Oval,1,35.0,-0.5500000000000007,150,64,76,False,150.0,28.0,0.0,0.0,54.0,25.0,12.0,0.0
35,Australia_India_2020-12-06,MC Henriques,26,1,3,India,Australia,Sydney Cricket Ground,0,-1.0,-0.2152542372881356,194,77,121,False,144.44,23.0,0.0,0.0,26.0,31.0,6.0,30.0
36,Australia_India_2020-12-08,MC Henriques,5,1,3,India,Australia,Sydney Cricket Ground,0,-1.0,0.6000000000000014,186,111,173,False,250.0,6.0,0.0,0.0,14.0,0.0,0.0,28.0
