Unnamed: 0,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type,review
0,Dilara Akter,Renuka Singh,Murshida Khatun,0,0,0,0,145.0,0,1,0,-,1.0,0,,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium,
1,Dilara Akter,Renuka Singh,Murshida Khatun,4,0,4,4,141.0,4,2,0,-,2.0,0,,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium,
2,Dilara Akter,Renuka Singh,Murshida Khatun,0,0,0,4,141.0,4,3,1,-,3.0,lbw,Dilara Akter,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium,
3,S Mostary,Renuka Singh,Murshida Khatun,1,0,1,5,140.0,1,1,1,-,4.0,0,,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium,
4,Murshida Khatun,Renuka Singh,S Mostary,0,0,0,5,140.0,0,1,1,-,5.0,0,,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
5,Murshida Khatun,Renuka Singh,S Mostary,1,0,1,6,139.0,1,2,1,-,6.0,0,,,0,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
6,Murshida Khatun,P Vastrakar,S Mostary,0,0,0,6,139.0,1,3,1,-,1.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
7,Murshida Khatun,P Vastrakar,S Mostary,0,0,0,6,139.0,1,4,1,-,2.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
8,Murshida Khatun,P Vastrakar,S Mostary,0,0,0,6,139.0,1,5,1,-,3.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
9,Murshida Khatun,P Vastrakar,S Mostary,4,0,4,10,135.0,5,6,1,-,4.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
10,Murshida Khatun,P Vastrakar,S Mostary,1,0,1,11,134.0,6,7,1,-,5.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium,
11,S Mostary,P Vastrakar,Murshida Khatun,4,0,4,15,130.0,5,2,1,-,6.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,4,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium,
