venue,total_mean,total_std,first_bat_won_ratio,number_of_matches,host
AMI Stadium,198.5,21.920310216782973,1.0,2,New Zealand
Adelaide Oval,188.25,37.28605637500432,0.75,4,Australia
Arun Jaitley Stadium,164.33333333333334,41.40450861118067,0.6666666666666666,3,India
Barabati Stadium,120.0,39.59797974644666,0.0,2,India
Barsapara Cricket Stadium,177.5,84.14570696119915,0.5,2,India
Bay Oval,178.33333333333334,14.189197769195175,1.0,3,New Zealand
Bellerive Oval,193.66666666666666,33.48631561299829,0.6666666666666666,3,Australia
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,172.2,23.466998103720044,1.0,5,India
Brabourne Stadium,166.0,,0.0,1,India
Brian Lara Stadium,184.5,60.1470420441992,0.75,4,West Indies
Brisbane Cricket Ground,161.0,34.763486591537394,0.4,5,Australia
Buffalo Park,171.0,8.48528137423857,0.5,2,South Africa
Carrara Oval,126.5,26.16295090390226,0.5,2,Australia
Central Broward Regional Park Stadium,160.7,49.12354040805917,0.6,10,USA
Coolidge Cricket Ground,145.5,20.506096654409877,0.5,2,West Indies
County Ground,177.2,40.214425272531244,0.4,5,England
Daren Sammy National Cricket Stadium,163.07142857142858,29.087307001017276,0.5,14,West Indies
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,148.75,55.97246346791131,0.25,4,India
Dubai International Cricket Stadium,147.75757575757575,27.276398111543134,0.4375,33,UAE
Eden Gardens,146.71428571428572,31.399120400176212,0.2857142857142857,7,India
Eden Park,174.56521739130434,33.70706169195319,0.5263157894736842,23,New Zealand
Edgbaston,180.0,23.843238035132725,1.0,5,England
GMHBA Stadium,173.0,,0.0,1,Australia
Gaddafi Stadium,173.66666666666666,16.339207354388304,0.75,12,Pakistan
Green Park,147.0,,0.0,1,India
Greenfield International Stadium,170.33333333333334,64.50064599159712,0.3333333333333333,3,India
Hagley Oval,148.75,24.5950537032686,0.5,4,New Zealand
Harare Sports Club,164.33333333333334,42.217689815210555,0.3333333333333333,3,Zimbabwe
Himachal Pradesh Cricket Association Stadium,174.66666666666666,29.399546481762833,0.3333333333333333,3,India
Holkar Cricket Stadium,200.25,53.15621631882139,0.5,4,India
JSCA International Stadium Complex,186.0,14.142135623730951,1.0,2,India
Jade Stadium,193.0,,1.0,1,New Zealand
John Davies Oval,182.0,,0.0,1,New Zealand
Kensington Oval,159.85714285714286,37.348374782593936,0.7142857142857143,14,West Indies
Kingsmead,169.33333333333334,40.11423083085995,0.5454545454545454,12,South Africa
Lord's,144.4,11.0589330407594,0.6,5,England
M. Chinnaswamy Stadium,171.83333333333334,34.446576994915866,0.4,6,India
MA Chidambaram Stadium,174.0,9.899494936611665,0.5,2,India
Maharashtra Cricket Association Stadium,179.0,31.11269837220809,0.5,2,India
Mahinda Rajapaksa International Cricket Stadium,124.33333333333333,43.015501081974314,0.6666666666666666,3,Sri Lanka
Manuka Oval,149.66666666666666,28.501461950807595,0.3333333333333333,3,Australia
Maple Leaf Cricket Club,132.0,,0.0,1,Canada
McLean Park,207.0,48.08326112068523,0.5,2,New Zealand
Melbourne Cricket Ground,139.23076923076923,28.3494675027999,0.23076923076923078,13,Australia
Moses Mabhida Stadium,168.0,,1.0,1,South Africa
Narendra Modi Stadium,182.33333333333334,42.264248090634084,0.5,6,India
National Cricket Stadium,177.66666666666666,22.024229082232743,0.8333333333333334,6,West Indies
National Stadium,189.875,23.31423538159833,0.75,8,Pakistan
New Wanderers Stadium,177.45833333333334,33.0045835639822,0.4166666666666667,24,South Africa
Newlands Cricket Ground,172.11111111111111,21.097656531262214,0.5,9,South Africa
