,batter,batter_runs,balls_faced,innings,wickets_fallen,bowling_team,first_ball,strike_rate,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,Left arm Fast Expected Runs,Left arm Fast Expected Wickets,Right arm Fast Expected Runs,Right arm Fast Expected Wickets,Left arm Orthodox Expected Runs,Left arm Orthodox Expected Wickets,Left arm Wrist spin Expected Runs,Left arm Wrist spin Expected Wickets,Right arm Legbreak Expected Runs,Right arm Legbreak Expected Wickets,Right arm Offbreak Expected Runs,Right arm Offbreak Expected Wickets
0,AJ Finch,15,14,1,3,England,91,107.14,120,0.0,6.0,0.0,49.0,0.0,6.0,0.0,0.0,68.0463,1.636114728371565,7.36842,0.2368452216476533,0.0,0.0,0.0,0.0,9.45966,0.16935279008721668
1,AJ Finch,53,33,1,4,England,63,160.61,120,12.0,18.0,0.0,55.0,0.0,32.0,16.65552,0.2809383340356792,76.3785,1.836455307355838,22.10526,0.7105356649429598,0.0,0.0,0.0,0.0,50.45152,0.9032148804651556
2,AJ Finch,52,31,1,0,England,1,167.74,64,0.0,27.0,0.0,180.0,25.0,17.0,0.0,0.0,249.966,6.010217369528197,33.15789,1.0658034974144397,0.0,0.0,34.8315,1.7789795773144523,26.80237,0.4798329052471139
3,AJ Finch,10,11,2,0,England,1,90.91,31,24.0,0.0,0.0,101.0,38.0,29.0,33.31104,0.5618766680713584,140.2587,3.3723997462352666,0.0,0.0,0.0,0.0,52.94388,2.7040489575179674,45.72169,0.8185384854215473
4,AJ Finch,30,21,1,0,England,1,142.86,40,12.0,0.0,0.0,170.0,12.0,30.0,16.65552,0.2809383340356792,236.079,5.676316404554409,0.0,0.0,0.0,0.0,16.71912,0.8539101971109371,47.298300000000005,0.8467639504360834
5,AJ Finch,40,33,1,0,England,1,121.21,72,20.0,24.0,0.0,112.0,47.0,18.0,27.759199999999996,0.46823055672613195,155.5344,3.739690807706434,29.47368,0.9473808865906131,0.0,0.0,65.48322,3.3444816053511706,28.378980000000002,0.50805837026165
6,AJ Finch,44,49,1,0,England,1,89.8,109,43.0,17.0,0.0,70.0,41.0,24.0,59.68227999999999,1.0066956969611838,97.209,2.337306754816521,20.87719,0.6710614613350177,0.0,0.0,57.12366,2.917526506795702,37.83864,0.6774111603488667
7,AJ Finch,36,23,1,0,India,1,156.52,42,0.0,38.0,18.0,114.0,22.0,43.0,0.0,0.0,158.3118,3.8064710007011917,46.66666,1.500019737101804,14.326559999999999,2.203991673809232,30.651719999999997,1.565502028036718,67.79423,1.213694995625053
8,AJ Finch,6,11,2,0,India,1,54.55,20,51.0,24.0,0.0,58.0,30.0,65.0,70.78595999999999,1.1939879196516365,80.5446,1.9366255968479749,29.47368,0.9473808865906131,0.0,0.0,41.797799999999995,2.134775492777343,102.47965,1.8346552259448474
9,AJ Finch,44,33,2,0,India,1,133.33,56,48.0,30.0,0.0,125.0,18.0,31.0,66.62208,1.1237533361427168,173.5875,4.17376206217236,36.8421,1.1842261082382664,0.0,0.0,25.07868,1.2808652956664057,48.87491,0.8749894154506195
