,match_id,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,current_team_total,bowling_team,batting_team,venue,toss_winner,batter_type,non_striker_type,first_ball,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak
0,Australia_England_2011-01-12,AJ Finch,15,14,0,0.0,1,3,157,England,Australia,Adelaide Oval,1,Right hand Bat,Right hand Bat,91,107.14,False,120,0.0,6.0,0.0,49.0,0.0,6.0
1,Australia_England_2011-01-14,AJ Finch,53,33,0,1.0,1,4,147,England,Australia,Melbourne Cricket Ground,1,Right hand Bat,Left hand Bat,63,160.61,False,120,12.0,18.0,0.0,55.0,0.0,32.0
2,Australia_England_2014-01-29,AJ Finch,52,31,caught,1.0,1,0,106,England,Australia,Bellerive Oval,1,Right hand Bat,Right hand Bat,1,167.74,True,64,0.0,27.0,0.0,180.0,25.0,17.0
3,Australia_England_2014-01-31,AJ Finch,10,11,lbw,1.0,2,0,48,England,Australia,Melbourne Cricket Ground,0,Right hand Bat,Right hand Bat,1,90.91,True,31,24.0,0.0,0.0,101.0,38.0,29.0
4,Australia_England_2014-02-02,AJ Finch,30,21,caught,1.0,1,0,48,England,Australia,Stadium Australia,1,Right hand Bat,Right hand Bat,1,142.86,True,40,12.0,0.0,0.0,170.0,12.0,30.0
5,Australia_England_2020-09-06,AJ Finch,40,33,bowled,0.0,1,0,79,England,Australia,The Rose Bowl,1,Right hand Bat,Right hand Bat,1,121.21,True,72,20.0,24.0,0.0,112.0,47.0,18.0
6,Australia_England_2021-10-30,AJ Finch,44,49,caught,0.0,1,0,110,England,Australia,Dubai International Cricket Stadium,0,Right hand Bat,Right hand Bat,1,89.8,True,109,43.0,17.0,0.0,70.0,41.0,24.0
7,Australia_India_2012-02-03,AJ Finch,36,23,run out,0.0,1,0,49,India,Australia,Melbourne Cricket Ground,1,Right hand Bat,Right hand Bat,1,156.52,True,42,0.0,38.0,18.0,114.0,22.0,43.0
8,Australia_India_2014-03-30,AJ Finch,6,11,caught,0.0,2,0,13,India,Australia,Shere Bangla National Stadium,1,Right hand Bat,Left hand Bat,1,54.55,True,20,51.0,24.0,0.0,58.0,30.0,65.0
9,Australia_India_2016-01-26,AJ Finch,44,33,lbw,0.0,2,0,89,India,Australia,Adelaide Oval,1,Right hand Bat,Left hand Bat,1,133.33,True,56,48.0,30.0,0.0,125.0,18.0,31.0
10,Australia_India_2016-01-29,AJ Finch,74,48,run out,0.0,2,0,124,India,Australia,Melbourne Cricket Ground,1,Left hand Bat,Right hand Bat,1,154.17,True,92,42.0,36.0,0.0,123.0,0.0,45.0
11,Australia_India_2017-10-07,AJ Finch,42,30,bowled,0.0,1,0,76,India,Australia,JSCA International Stadium Complex,0,Right hand Bat,Left hand Bat,1,140.0,True,59,0.0,0.0,24.0,80.0,31.0,0.0
12,Australia_India_2018-11-21,AJ Finch,27,24,caught,1.0,1,0,64,India,Australia,"Brisbane Cricket Ground, Woolloongabba",0,Right hand Bat,Right hand Bat,1,112.5,True,51,38.0,25.0,26.0,87.0,25.0,0.0
13,Australia_India_2018-11-23,AJ Finch,0,1,caught,-1.0,1,0,1,India,Australia,Melbourne Cricket Ground,0,Right hand Bat,Left hand Bat,1,0.0,True,2,28.0,25.0,25.0,43.0,0.0,0.0
14,Australia_India_2018-11-25,AJ Finch,28,23,caught,0.0,1,0,68,India,Australia,Sydney Cricket Ground,1,Right hand Bat,Left hand Bat,1,121.74,True,51,52.0,25.0,26.0,97.0,25.0,24.0
15,Australia_India_2020-12-08,AJ Finch,0,2,caught,1.0,1,0,14,India,Australia,Sydney Cricket Ground,0,Right hand Bat,Left hand Bat,1,0.0,True,10,39.0,0.0,0.0,90.0,69.0,36.0
16,Australia_India_2022-09-23,AJ Finch,31,15,bowled,0.0,1,0,46,India,Australia,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0,Right hand Bat,Left hand Bat,1,206.67,True,30,8.0,12.0,0.0,59.0,18.0,0.0
17,Australia_India_2022-09-25,AJ Finch,7,6,caught,0.0,1,0,44,India,Australia,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,Right hand Bat,Right hand Bat,1,116.67,True,21,18.0,24.0,0.0,138.0,48.0,6.0
18,Australia_Ireland_2022-10-31,AJ Finch,63,44,caught,1.0,1,0,154,Ireland,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",0,Right hand Bat,Right hand Bat,1,143.18,True,101,51.0,24.0,0.0,110.0,44.0,13.0
19,Australia_New Zealand_2021-03-03,AJ Finch,69,43,caught,1.0,1,0,153,New Zealand,Australia,Westpac Stadium,0,Right hand Bat,Right hand Bat,0,160.47,True,95,24.0,24.0,0.0,130.0,37.0,6.0
20,Australia_New Zealand_2021-03-05,AJ Finch,79,55,0,1.0,1,0,156,New Zealand,Australia,Westpac Stadium,1,Right hand Bat,Right hand Bat,1,143.64,False,120,25.0,43.0,0.0,94.0,49.0,19.0
21,Australia_New Zealand_2021-03-07,AJ Finch,36,32,caught,0.0,1,0,74,New Zealand,Australia,Sky Stadium,1,Right hand Bat,Left hand Bat,1,112.5,True,60,24.0,58.0,0.0,82.0,39.0,15.0
22,Australia_Pakistan_2014-03-23,AJ Finch,65,54,bowled,0.0,2,0,162,Pakistan,Australia,Shere Bangla National Stadium,1,Right hand Bat,Right hand Bat,1,120.37,True,106,43.0,24.0,19.0,87.0,24.0,36.0
23,Australia_Pakistan_2014-10-05,AJ Finch,5,9,caught,1.0,2,0,11,Pakistan,Australia,Dubai International Cricket Stadium,0,Right hand Bat,Left hand Bat,1,55.56,True,15,61.0,18.0,0.0,38.0,61.0,21.0
24,Australia_Pakistan_2016-03-25,AJ Finch,15,16,bowled,1.0,1,0,57,Pakistan,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Right hand Bat,Right hand Bat,1,93.75,True,44,68.0,24.0,0.0,82.0,48.0,12.0
25,Australia_Pakistan_2018-07-08,AJ Finch,47,27,caught,0.0,1,0,95,Pakistan,Australia,Harare Sports Club,1,Right hand Bat,Left hand Bat,1,174.07,True,59,43.0,6.0,0.0,148.0,24.0,12.0
26,Australia_Pakistan_2019-11-03,AJ Finch,37,15,0,-1.0,2,0,41,Pakistan,Australia,Sydney Cricket Ground,1,Right hand Bat,Left hand Bat,1,246.67,False,19,34.0,18.0,0.0,36.0,18.0,0.0
27,Australia_Pakistan_2019-11-05,AJ Finch,17,14,caught,1.0,2,0,48,Pakistan,Australia,Manuka Oval,0,Right hand Bat,Right hand Bat,1,121.43,True,35,90.0,48.0,0.0,48.0,48.0,0.0
28,Australia_Pakistan_2019-11-08,AJ Finch,52,36,0,1.0,2,0,109,Pakistan,Australia,Perth Stadium,1,Right hand Bat,Left hand Bat,1,144.44,False,71,36.0,30.0,0.0,124.0,0.0,0.0
29,Australia_South Africa_2014-11-05,AJ Finch,14,11,caught,0.0,1,0,33,South Africa,Australia,Adelaide Oval,1,Right hand Bat,Right hand Bat,1,127.27,True,25,57.0,0.0,0.0,114.0,50.0,13.0
30,Australia_South Africa_2014-11-07,AJ Finch,44,30,0,1.0,2,0,102,South Africa,Australia,Melbourne Cricket Ground,0,Right hand Bat,Right hand Bat,1,146.67,False,76,66.0,0.0,0.0,69.0,37.0,18.0
31,Australia_South Africa_2014-11-09,AJ Finch,33,25,caught,1.0,2,0,40,South Africa,Australia,Stadium Australia,1,Right hand Bat,Left hand Bat,1,132.0,True,28,72.0,25.0,0.0,104.0,18.0,24.0
32,Australia_Sri Lanka_2013-01-26,AJ Finch,1,3,caught,0.0,1,0,8,Sri Lanka,Australia,Stadium Australia,1,Right hand Bat,Left hand Bat,1,33.33,True,11,25.0,27.0,0.0,135.0,0.0,42.0
33,Australia_Sri Lanka_2013-01-28,AJ Finch,7,6,lbw,0.0,2,0,20,Sri Lanka,Australia,Melbourne Cricket Ground,1,Right hand Bat,Left hand Bat,1,116.67,True,25,52.0,24.0,0.0,80.0,0.0,61.0
34,Australia_Sri Lanka_2017-02-17,AJ Finch,43,34,caught,0.0,1,0,86,Sri Lanka,Australia,Melbourne Cricket Ground,0,Right hand Bat,Left hand Bat,1,126.47,True,69,25.0,0.0,24.0,140.0,49.0,12.0
35,Australia_Sri Lanka_2017-02-19,AJ Finch,12,10,caught and bowled,0.0,1,0,18,Sri Lanka,Australia,"Simonds Stadium, South Geelong",0,Right hand Bat,Right hand Bat,1,120.0,True,16,24.0,0.0,0.0,179.0,24.0,16.0
36,Australia_Sri Lanka_2017-02-22,AJ Finch,53,32,caught,1.0,1,0,79,Sri Lanka,Australia,Adelaide Oval,0,Right hand Bat,Right hand Bat,1,165.62,True,51,19.0,6.0,0.0,147.0,42.0,26.0
37,Australia_Sri Lanka_2019-10-27,AJ Finch,64,36,caught,1.0,1,0,122,Sri Lanka,Australia,Adelaide Oval,0,Right hand Bat,Left hand Bat,1,177.78,True,65,24.0,24.0,25.0,132.0,42.0,0.0
38,Australia_Sri Lanka_2019-10-30,AJ Finch,0,1,caught,1.0,2,0,1,Sri Lanka,Australia,"Brisbane Cricket Ground, Woolloongabba",0,Right hand Bat,Left hand Bat,1,0.0,True,3,13.0,24.0,24.0,102.0,31.0,0.0
39,Australia_Sri Lanka_2019-11-01,AJ Finch,37,25,caught,1.0,2,0,69,Sri Lanka,Australia,Melbourne Cricket Ground,1,Right hand Bat,Left hand Bat,1,148.0,True,53,25.0,24.0,24.0,124.0,24.0,12.0
40,Australia_Sri Lanka_2022-02-11,AJ Finch,8,12,bowled,1.0,1,0,30,Sri Lanka,Australia,Sydney Cricket Ground,0,Right hand Bat,Right hand Bat,1,66.67,True,29,49.0,0.0,0.0,125.0,49.0,18.0
41,Australia_Sri Lanka_2022-02-13,AJ Finch,25,20,stumped,-1.0,1,0,60,Sri Lanka,Australia,Sydney Cricket Ground,0,Right hand Bat,Right hand Bat,1,125.0,True,47,0.0,0.0,0.0,156.0,48.0,30.0
42,Australia_Sri Lanka_2022-02-20,AJ Finch,8,12,caught,0.0,1,0,11,Sri Lanka,Australia,Melbourne Cricket Ground,1,Right hand Bat,Right hand Bat,1,66.67,True,23,14.0,48.0,0.0,139.0,24.0,25.0
43,Australia_Sri Lanka_2022-06-11,AJ Finch,29,19,bowled,0.0,1,0,43,Sri Lanka,Australia,Pallekele International Cricket Stadium,1,Right hand Bat,Left hand Bat,1,152.63,True,34,0.0,48.0,0.0,128.0,24.0,42.0
44,Australia_West Indies_2013-02-13,AJ Finch,4,6,bowled,0.0,2,0,5,West Indies,Australia,"Brisbane Cricket Ground, Woolloongabba",0,Right hand Bat,Left hand Bat,1,66.67,True,7,25.0,0.0,0.0,178.0,0.0,42.0
45,Australia_West Indies_2014-03-28,AJ Finch,16,11,bowled,0.0,1,0,33,West Indies,Australia,Shere Bangla National Stadium,1,Right hand Bat,Left hand Bat,1,145.45,True,22,97.0,0.0,0.0,53.0,43.0,55.0
46,Australia_West Indies_2021-07-12,AJ Finch,30,31,caught,0.0,1,0,80,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,Right hand Bat,Right hand Bat,1,96.77,True,71,49.0,24.0,0.0,90.0,43.0,6.0
47,Australia_West Indies_2021-07-14,AJ Finch,53,37,bowled,1.0,1,0,126,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,Right hand Bat,Right hand Bat,1,143.24,True,69,68.0,37.0,0.0,101.0,48.0,0.0
48,Australia_West Indies_2022-10-07,AJ Finch,15,19,caught,1.0,1,1,95,West Indies,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",0,Right hand Bat,Left hand Bat,12,78.95,True,63,38.0,18.0,0.0,136.0,36.0,0.0
49,Australia_Zimbabwe_2018-07-03,AJ Finch,172,76,hit wicket,1.0,1,0,228,Zimbabwe,Australia,Harare Sports Club,0,Right hand Bat,Right hand Bat,1,226.32,True,118,0.0,48.0,12.0,155.0,12.0,24.0
