,batter,batter_runs,balls_faced,innings,wickets_fallen,bowling_team,batting_team,toss_winner,runs_remain,first_ball,current_team_total,is_powerplay,strike_rate,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form,venue_mean_total,venue_first_bat_won_ratio,is_host,Left arm Fast Expected Runs,Left arm Fast Expected Wickets,Left arm Fast Strike Rate,Left arm Fast Deliveries Per Wicket,Right arm Fast Expected Runs,Right arm Fast Expected Wickets,Right arm Fast Strike Rate,Right arm Fast Deliveries Per Wicket,Left arm Orthodox Expected Runs,Left arm Orthodox Expected Wickets,Left arm Orthodox Strike Rate,Left arm Orthodox Deliveries Per Wicket,Left arm Wrist spin Expected Runs,Left arm Wrist spin Expected Wickets,Left arm Wrist spin Strike Rate,Left arm Wrist spin Deliveries Per Wicket,Right arm Legbreak Expected Runs,Right arm Legbreak Expected Wickets,Right arm Legbreak Strike Rate,Right arm Legbreak Deliveries Per Wicket,Right arm Offbreak Expected Runs,Right arm Offbreak Expected Wickets,Right arm Offbreak Strike Rate,Right arm Offbreak Deliveries Per Wicket,expected_wickets,expected_runs
0,A Balbirnie,27,22,2,1,South Africa,Ireland,0,120.0,10,9,True,122.73,55,26.0,36.0,0.0,122.0,18.0,18.0,14.0,160.9090909090909,0.6363636363636364,False,35.21258,1.2283271129588509,135.433,21.167,149.56712,6.158505805148915,122.596,19.81,39.9132,2.347877127763647,110.87,15.333,0.0,0.0,0.0,0.0,16.81758,1.3138686131386863,93.431,13.7,20.52,1.0799784004319912,114.0,16.667,12.128557059442091,75.23973279885121
1,A Balbirnie,2,4,2,1,Afghanistan,Ireland,0,144.0,72,130,False,50.0,78,12.0,0.0,0.0,49.0,24.0,23.0,5.0,182.375,0.5,False,16.25196,0.5669202059810081,135.433,21.167,60.072039999999994,2.473498233215548,122.596,19.81,0.0,0.0,110.87,15.333,0.0,0.0,0.0,0.0,22.42344,1.7518248175182483,93.431,13.7,26.22,1.3799724005519889,114.0,16.667,6.172215657266793,50.30096620718876
2,A Balbirnie,5,11,2,1,Zimbabwe,Ireland,0,75.0,39,59,False,45.45,62,9.0,24.0,0.0,63.0,47.0,18.0,6.0,134.5,0.5,True,12.188970000000001,0.4251901544857561,135.433,21.167,77.23548,3.180212014134276,122.596,19.81,26.608800000000002,1.565251418509098,110.87,15.333,0.0,0.0,0.0,0.0,43.91257,3.4306569343065694,93.431,13.7,20.52,1.0799784004319912,114.0,16.667,9.68128892186769,58.00005009225889
3,A Balbirnie,28,23,1,1,West Indies,Ireland,0,84.0,23,52,True,121.74,63,20.0,0.0,0.0,99.0,6.0,12.0,7.0,136.28571428571428,0.1428571428571428,False,27.0866,0.9448670099683469,135.433,21.167,121.37003999999999,4.997476022211005,122.596,19.81,0.0,0.0,110.87,15.333,0.0,0.0,0.0,0.0,5.60586,0.43795620437956206,93.431,13.7,13.68,0.7199856002879942,114.0,16.667,7.100284836846908,62.95137575069672
4,A Balbirnie,28,16,2,1,Zimbabwe,Ireland,1,-2.0,31,59,False,175.0,65,0.0,6.0,0.0,55.0,18.0,6.0,0.0,157.0,0.7142857142857143,True,0.0,0.0,135.433,21.167,67.42779999999999,2.776375567895003,122.596,19.81,6.652200000000001,0.3913128546272745,110.87,15.333,0.0,0.0,0.0,0.0,16.81758,1.3138686131386863,93.431,13.7,6.84,0.3599928001439971,114.0,16.667,4.841549835804961,44.41906149362144
5,A Balbirnie,5,4,1,1,Afghanistan,Ireland,1,155.0,28,27,True,125.0,35,30.0,12.0,0.0,80.0,24.0,33.0,0.0,182.375,0.5,False,40.6299,1.4173005149525204,135.433,21.167,98.07679999999999,4.038364462392731,122.596,19.81,13.304400000000001,0.782625709254549,110.87,15.333,0.0,0.0,0.0,0.0,22.42344,1.7518248175182483,93.431,13.7,37.62,1.979960400791984,114.0,16.667,9.970075904910033,67.15809099667636
6,A Balbirnie,0,1,2,2,Afghanistan,Ireland,0,151.0,15,8,True,0.0,18,42.0,24.0,0.0,46.0,18.0,49.0,8.0,157.0,0.7142857142857143,True,56.88186,1.9842207209335285,135.433,21.167,56.39416,2.3220595658758203,122.596,19.81,26.608800000000002,1.565251418509098,110.87,15.333,0.0,0.0,0.0,0.0,16.81758,1.3138686131386863,93.431,13.7,55.85999999999999,2.939941201175976,114.0,16.667,10.125341519633109,66.80079094312829
7,A Balbirnie,46,35,2,1,Afghanistan,Ireland,0,80.0,19,29,True,131.43,76,42.0,7.0,0.0,75.0,49.0,36.0,29.0,166.0,0.5,False,56.88186,1.9842207209335285,135.433,21.167,91.94699999999999,3.7859666834931853,122.596,19.81,7.7609,0.45653166373182025,110.87,15.333,0.0,0.0,0.0,0.0,45.781189999999995,3.5766423357664237,93.431,13.7,41.04,2.1599568008639825,114.0,16.667,11.96331820478894,70.37433177840005
8,A Balbirnie,31,24,1,1,Zimbabwe,Ireland,0,124.0,36,33,False,129.17,93,14.0,12.0,0.0,63.0,32.0,30.0,5.5,157.0,0.7142857142857143,True,18.96062,0.6614069069778428,135.433,21.167,77.23548,3.180212014134276,122.596,19.81,13.304400000000001,0.782625709254549,110.87,15.333,0.0,0.0,0.0,0.0,29.89792,2.3357664233576645,93.431,13.7,34.199999999999996,1.7999640007199855,114.0,16.667,8.759975054444316,58.65355412547692
9,A Balbirnie,47,33,2,1,Afghanistan,Ireland,1,82.0,18,32,True,142.42,82,38.0,49.0,0.0,80.0,26.0,24.0,3.5,182.375,0.5,False,51.46454,1.795247318939859,135.433,21.167,98.07679999999999,4.038364462392731,122.596,19.81,54.3263,3.195721646122742,110.87,15.333,0.0,0.0,0.0,0.0,24.29206,1.8978102189781023,93.431,13.7,27.36,1.4399712005759884,114.0,16.667,12.367114847009422,72.65912975299359
