,batter,bowler,non_striker,runs_by_bat,extra_runs,total,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date
48,JN Gillespie,J Lewis,B Lee,0,0,0,5,8,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
49,JN Gillespie,J Lewis,B Lee,3,0,3,6,8,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
50,JN Gillespie,SJ Harmison,B Lee,4,0,4,1,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
51,JN Gillespie,SJ Harmison,B Lee,0,0,0,2,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
52,JN Gillespie,SJ Harmison,B Lee,0,0,0,3,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
53,JN Gillespie,SJ Harmison,B Lee,1,0,1,4,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
54,B Lee,SJ Harmison,JN Gillespie,0,0,0,5,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
55,B Lee,SJ Harmison,JN Gillespie,0,0,0,6,9,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
56,JN Gillespie,A Flintoff,B Lee,4,0,4,1,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
57,JN Gillespie,A Flintoff,B Lee,4,0,4,2,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
58,JN Gillespie,A Flintoff,B Lee,1,0,1,3,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
59,B Lee,A Flintoff,JN Gillespie,1,0,1,4,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
60,JN Gillespie,A Flintoff,B Lee,1,0,1,5,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
61,B Lee,A Flintoff,JN Gillespie,0,0,0,6,10,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
62,JN Gillespie,PD Collingwood,B Lee,1,0,1,1,11,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
63,B Lee,PD Collingwood,JN Gillespie,0,1,1,2,11,{'byes': 1},byes,0,,,bat,England,2,The Rose Bowl,2005-06-13
64,JN Gillespie,PD Collingwood,B Lee,0,0,0,3,11,,-,caught,JN Gillespie,ME Trescothick,bat,England,2,The Rose Bowl,2005-06-13
65,B Lee,PD Collingwood,MS Kasprowicz,1,0,1,4,11,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
66,MS Kasprowicz,PD Collingwood,B Lee,0,0,0,5,11,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
67,MS Kasprowicz,PD Collingwood,B Lee,0,0,0,6,11,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
68,B Lee,A Flintoff,MS Kasprowicz,0,0,0,1,12,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
69,B Lee,A Flintoff,MS Kasprowicz,0,0,0,2,12,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
70,B Lee,A Flintoff,MS Kasprowicz,0,0,0,3,12,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
71,B Lee,A Flintoff,MS Kasprowicz,0,1,1,4,12,{'legbyes': 1},legbyes,0,,,bat,England,2,The Rose Bowl,2005-06-13
72,MS Kasprowicz,A Flintoff,B Lee,0,1,1,5,12,{'wides': 1},wides,0,,,bat,England,2,The Rose Bowl,2005-06-13
73,MS Kasprowicz,A Flintoff,B Lee,1,0,1,6,12,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
74,B Lee,A Flintoff,MS Kasprowicz,1,0,1,7,12,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13
75,B Lee,PD Collingwood,MS Kasprowicz,0,0,0,1,13,,-,caught,B Lee,SJ Harmison,bat,England,2,The Rose Bowl,2005-06-13
