,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MJ Guptill,DJ Willey,C Munro,2,0,2,2,135,2,1,0,1,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
1,MJ Guptill,DJ Willey,C Munro,0,0,0,2,135,2,2,0,2,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
2,MJ Guptill,DJ Willey,C Munro,1,0,1,3,134,3,3,0,3,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
3,C Munro,DJ Willey,MJ Guptill,0,0,0,3,134,0,1,0,4,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
4,C Munro,DJ Willey,MJ Guptill,0,0,0,3,134,0,2,0,5,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
5,C Munro,DJ Willey,MJ Guptill,1,0,1,4,133,1,3,0,6,1,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
6,C Munro,MA Wood,MJ Guptill,4,0,4,8,129,5,4,0,1,2,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
7,C Munro,MA Wood,MJ Guptill,0,1,1,9,128,5,5,0,2,2,legbyes,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
8,MJ Guptill,MA Wood,C Munro,0,0,0,9,128,3,4,0,3,2,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
9,MJ Guptill,MA Wood,C Munro,0,0,0,9,128,3,5,0,4,2,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
10,MJ Guptill,MA Wood,C Munro,4,0,4,13,124,7,6,0,5,2,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
11,MJ Guptill,MA Wood,C Munro,4,0,4,17,120,11,7,0,6,2,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
12,C Munro,DJ Willey,MJ Guptill,0,1,1,18,119,5,6,0,1,3,legbyes,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
13,MJ Guptill,DJ Willey,C Munro,4,0,4,22,115,15,8,0,2,3,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
14,MJ Guptill,DJ Willey,C Munro,4,0,4,26,111,19,9,0,3,3,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
15,MJ Guptill,DJ Willey,C Munro,0,0,0,26,111,19,10,0,4,3,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
16,MJ Guptill,DJ Willey,C Munro,0,0,0,26,111,19,11,0,5,3,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
17,MJ Guptill,DJ Willey,C Munro,0,0,0,26,111,19,12,0,6,3,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
18,C Munro,CJ Jordan,MJ Guptill,1,0,1,27,110,6,7,0,1,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
19,MJ Guptill,CJ Jordan,C Munro,1,0,1,28,109,20,13,0,2,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
20,C Munro,CJ Jordan,MJ Guptill,0,0,0,28,109,6,8,0,3,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
21,C Munro,CJ Jordan,MJ Guptill,0,0,0,28,109,6,9,0,4,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
22,C Munro,CJ Jordan,MJ Guptill,4,0,4,32,105,10,10,0,5,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
23,C Munro,CJ Jordan,MJ Guptill,1,0,1,33,104,11,11,0,6,4,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
24,C Munro,MA Wood,MJ Guptill,0,1,1,34,103,11,12,0,1,5,legbyes,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
25,MJ Guptill,MA Wood,C Munro,4,0,4,38,99,24,14,0,2,5,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
26,MJ Guptill,MA Wood,C Munro,1,0,1,39,98,25,15,0,3,5,-,0,,,,field,England,1,Westpac Stadium,2018,02,New Zealand_England_2018-02-13,New Zealand,New Zealand,England
