,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Ishan Kishan,BG Lister,Shubman Gill,0,0,0,0,,0,1,0,1,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
1,Ishan Kishan,BG Lister,Shubman Gill,1,0,1,1,,1,2,0,2,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
2,Shubman Gill,BG Lister,Ishan Kishan,0,0,0,1,,0,1,0,3,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
3,Shubman Gill,BG Lister,Ishan Kishan,0,0,0,1,,0,2,0,4,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
4,Shubman Gill,BG Lister,Ishan Kishan,4,0,4,5,,4,3,0,5,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
5,Shubman Gill,BG Lister,Ishan Kishan,1,0,1,6,,5,4,0,6,0,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
6,Shubman Gill,MG Bracewell,Ishan Kishan,1,0,1,7,,6,5,0,1,1,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
7,Ishan Kishan,MG Bracewell,Shubman Gill,0,0,0,7,,1,3,1,2,1,"{'by': 'India', 'umpire': 'Nitin Menon', 'batter': 'Ishan Kishan', 'decision': 'struck down', 'umpires_call': True}",lbw,Ishan Kishan,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
8,RA Tripathi,MG Bracewell,Shubman Gill,1,0,1,8,,1,1,1,3,1,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
9,Shubman Gill,MG Bracewell,RA Tripathi,1,0,1,9,,7,6,1,4,1,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
10,RA Tripathi,MG Bracewell,Shubman Gill,1,0,1,10,,2,2,1,5,1,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
11,Shubman Gill,MG Bracewell,RA Tripathi,4,0,4,14,,11,7,1,6,1,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
12,RA Tripathi,LH Ferguson,Shubman Gill,0,0,0,14,,2,3,1,1,2,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
13,RA Tripathi,LH Ferguson,Shubman Gill,4,0,4,18,,6,4,1,2,2,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
14,RA Tripathi,LH Ferguson,Shubman Gill,0,1,1,19,,6,5,1,3,2,,0,,,byes,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
15,Shubman Gill,LH Ferguson,RA Tripathi,4,0,4,23,,15,8,1,4,2,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
16,Shubman Gill,LH Ferguson,RA Tripathi,0,1,1,24,,15,9,1,5,2,,0,,,legbyes,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
17,RA Tripathi,LH Ferguson,Shubman Gill,1,0,1,25,,7,6,1,6,2,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
18,RA Tripathi,BG Lister,Shubman Gill,0,0,0,25,,7,7,1,1,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
19,RA Tripathi,BG Lister,Shubman Gill,0,0,0,25,,7,8,1,2,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
20,RA Tripathi,BG Lister,Shubman Gill,1,0,1,26,,8,9,1,3,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
21,Shubman Gill,BG Lister,RA Tripathi,2,0,2,28,,17,10,1,4,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
22,Shubman Gill,BG Lister,RA Tripathi,0,0,0,28,,17,11,1,5,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
23,Shubman Gill,BG Lister,RA Tripathi,2,0,2,30,,19,12,1,6,3,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
24,RA Tripathi,BM Tickner,Shubman Gill,1,0,1,31,,9,10,1,1,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
25,Shubman Gill,BM Tickner,RA Tripathi,4,0,4,35,,23,13,1,2,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
26,Shubman Gill,BM Tickner,RA Tripathi,4,0,4,39,,27,14,1,3,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
27,Shubman Gill,BM Tickner,RA Tripathi,0,0,0,39,,27,15,1,4,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
28,Shubman Gill,BM Tickner,RA Tripathi,4,0,4,43,,31,16,1,5,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
29,Shubman Gill,BM Tickner,RA Tripathi,1,0,1,44,,32,17,1,6,4,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
30,Shubman Gill,LH Ferguson,RA Tripathi,1,0,1,45,,33,18,1,1,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
31,RA Tripathi,LH Ferguson,Shubman Gill,4,0,4,49,,13,11,1,2,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
32,RA Tripathi,LH Ferguson,Shubman Gill,6,0,6,55,,19,12,1,3,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
33,RA Tripathi,LH Ferguson,Shubman Gill,0,1,1,56,,19,13,1,4,5,,0,,,wides,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
34,RA Tripathi,LH Ferguson,Shubman Gill,1,0,1,57,,20,14,1,5,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
35,Shubman Gill,LH Ferguson,RA Tripathi,0,0,0,57,,33,19,1,6,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
36,Shubman Gill,LH Ferguson,RA Tripathi,1,0,1,58,,34,20,1,7,5,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
37,Shubman Gill,IS Sodhi,RA Tripathi,1,0,1,59,,35,21,1,1,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
38,RA Tripathi,IS Sodhi,Shubman Gill,4,0,4,63,,24,15,1,2,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
39,RA Tripathi,IS Sodhi,Shubman Gill,1,0,1,64,,25,16,1,3,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
40,Shubman Gill,IS Sodhi,RA Tripathi,2,0,2,66,,37,22,1,4,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
41,Shubman Gill,IS Sodhi,RA Tripathi,1,0,1,67,,38,23,1,5,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
42,RA Tripathi,IS Sodhi,Shubman Gill,2,0,2,69,,27,17,1,6,6,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
43,Shubman Gill,MJ Santner,RA Tripathi,1,0,1,70,,39,24,1,1,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
44,RA Tripathi,MJ Santner,Shubman Gill,4,0,4,74,,31,18,1,2,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
45,RA Tripathi,MJ Santner,Shubman Gill,6,0,6,80,,37,19,1,3,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
46,RA Tripathi,MJ Santner,Shubman Gill,0,0,0,80,,37,20,1,4,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
47,RA Tripathi,MJ Santner,Shubman Gill,1,0,1,81,,38,21,1,5,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
48,Shubman Gill,MJ Santner,RA Tripathi,0,0,0,81,,39,25,1,6,7,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
49,RA Tripathi,IS Sodhi,Shubman Gill,6,0,6,87,,44,22,1,1,8,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
