,batter,bowler,non_striker,extras,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
43,MK Pandey,KMA Paul,KL Rahul,,,4,0,4,43,5,5,5,-,0,,,7,field,India,2,Eden Gardens,2018-11-04,India,West Indies
44,MK Pandey,KMA Paul,KL Rahul,,,1,0,1,44,6,6,6,-,0,,,7,field,India,2,Eden Gardens,2018-11-04,India,West Indies
45,KL Rahul,KMA Paul,MK Pandey,,,1,0,1,45,16,20,7,-,0,,,7,field,India,2,Eden Gardens,2018-11-04,India,West Indies
46,KL Rahul,CR Brathwaite,MK Pandey,,,0,0,0,45,16,21,1,-,0,,,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
47,KL Rahul,CR Brathwaite,MK Pandey,,,0,0,0,45,16,22,2,-,0,,,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
48,KL Rahul,CR Brathwaite,MK Pandey,,,0,0,0,45,16,23,3,-,caught,KL Rahul,DM Bravo,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
49,KD Karthik,CR Brathwaite,MK Pandey,,,0,0,0,45,0,1,4,-,0,,,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
50,KD Karthik,CR Brathwaite,MK Pandey,,,0,0,0,45,0,2,5,-,0,,,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
51,KD Karthik,CR Brathwaite,MK Pandey,,,0,0,0,45,0,3,6,-,0,,,8,field,India,2,Eden Gardens,2018-11-04,India,West Indies
52,MK Pandey,O Thomas,KD Karthik,,,1,0,1,46,7,7,1,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
53,KD Karthik,O Thomas,MK Pandey,,,0,0,0,46,0,4,2,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
54,KD Karthik,O Thomas,MK Pandey,,,0,0,0,46,0,5,3,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
55,KD Karthik,O Thomas,MK Pandey,,,0,0,0,46,0,6,4,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
56,KD Karthik,O Thomas,MK Pandey,,,6,0,6,52,6,7,5,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
57,KD Karthik,O Thomas,MK Pandey,,,0,0,0,52,6,8,6,-,0,,,9,field,India,2,Eden Gardens,2018-11-04,India,West Indies
58,MK Pandey,CR Brathwaite,KD Karthik,,,0,0,0,52,7,8,1,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
59,MK Pandey,CR Brathwaite,KD Karthik,,,0,0,0,52,7,9,2,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
60,MK Pandey,CR Brathwaite,KD Karthik,,,0,0,0,52,7,10,3,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
61,MK Pandey,CR Brathwaite,KD Karthik,,,0,0,0,52,7,11,4,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
62,MK Pandey,CR Brathwaite,KD Karthik,,,1,0,1,53,8,12,5,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
63,KD Karthik,CR Brathwaite,MK Pandey,,,1,0,1,54,7,9,6,-,0,,,10,field,India,2,Eden Gardens,2018-11-04,India,West Indies
64,KD Karthik,K Pierre,MK Pandey,,,1,0,1,55,8,10,1,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
65,MK Pandey,K Pierre,KD Karthik,,,0,0,0,55,8,13,2,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
66,MK Pandey,K Pierre,KD Karthik,,,1,0,1,56,9,14,3,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
