,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,WIA Fernando,B Kumar,M Bhanuka,0,0,0,0,81,0,1,0,-,1.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
1,WIA Fernando,B Kumar,M Bhanuka,1,0,1,1,80,1,2,0,-,2.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
2,M Bhanuka,B Kumar,WIA Fernando,0,0,0,1,80,0,1,0,-,3.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
3,M Bhanuka,B Kumar,WIA Fernando,0,1,1,2,79,0,2,0,wides,3.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
4,M Bhanuka,B Kumar,WIA Fernando,0,0,0,2,79,0,3,0,-,4.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
5,M Bhanuka,B Kumar,WIA Fernando,0,0,0,2,79,0,4,0,-,5.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
6,M Bhanuka,B Kumar,WIA Fernando,0,1,1,3,78,0,5,0,legbyes,6.0,0,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
7,M Bhanuka,CV Varun,WIA Fernando,1,0,1,4,77,1,6,0,-,1.0,1,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
8,WIA Fernando,CV Varun,M Bhanuka,0,0,0,4,77,1,3,0,-,2.0,1,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
9,WIA Fernando,CV Varun,M Bhanuka,0,0,0,4,77,1,4,0,-,3.0,1,0,,,,bat,India,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-29,Sri Lanka,Sri Lanka,India,True,82
