,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RG Sharma,TG Southee,KL Rahul,0,0,0,0,0,1,1,0,,,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
1,RG Sharma,TG Southee,KL Rahul,4,0,4,4,4,2,2,0,,,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
2,RG Sharma,TG Southee,KL Rahul,0,0,0,4,4,3,3,0,,,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
3,RG Sharma,TG Southee,KL Rahul,0,0,0,4,4,4,4,0,,,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
4,RG Sharma,TG Southee,KL Rahul,4,0,4,8,8,5,5,0,,,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
5,RG Sharma,TG Southee,KL Rahul,0,0,0,8,8,6,6,caught,RG Sharma,LRPL Taylor,1,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
6,KL Rahul,HK Bennett,V Kohli,0,0,0,8,0,1,1,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
7,KL Rahul,HK Bennett,V Kohli,2,0,2,10,2,2,2,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
8,KL Rahul,HK Bennett,V Kohli,1,0,1,11,3,3,3,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
9,V Kohli,HK Bennett,KL Rahul,0,0,0,11,0,1,4,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
10,V Kohli,HK Bennett,KL Rahul,2,0,2,13,2,2,5,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
11,V Kohli,HK Bennett,KL Rahul,0,0,0,13,2,3,6,0,,,2,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
12,KL Rahul,TG Southee,V Kohli,0,0,0,13,3,4,1,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
13,KL Rahul,TG Southee,V Kohli,1,0,1,14,4,5,2,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
14,V Kohli,TG Southee,KL Rahul,1,0,1,15,3,4,3,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
15,KL Rahul,TG Southee,V Kohli,0,0,0,15,4,6,4,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
16,KL Rahul,TG Southee,V Kohli,0,0,0,15,4,7,5,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
17,KL Rahul,TG Southee,V Kohli,1,0,1,16,5,8,6,0,,,3,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
18,KL Rahul,HK Bennett,V Kohli,2,0,2,18,7,9,1,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
19,KL Rahul,HK Bennett,V Kohli,4,0,4,22,11,10,2,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
20,KL Rahul,HK Bennett,V Kohli,1,0,1,23,12,11,3,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
21,V Kohli,HK Bennett,KL Rahul,0,0,0,23,3,5,4,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
22,V Kohli,HK Bennett,KL Rahul,0,0,0,23,3,6,5,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
23,V Kohli,HK Bennett,KL Rahul,1,0,1,24,4,7,6,0,,,4,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
24,V Kohli,BM Tickner,KL Rahul,4,0,4,28,8,8,1,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
25,V Kohli,BM Tickner,KL Rahul,2,0,2,30,10,9,2,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
26,V Kohli,BM Tickner,KL Rahul,1,0,1,31,11,10,3,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
27,KL Rahul,BM Tickner,V Kohli,2,0,2,33,14,12,4,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
28,KL Rahul,BM Tickner,V Kohli,6,0,6,39,20,13,5,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
29,KL Rahul,BM Tickner,V Kohli,0,0,0,39,20,14,6,0,,,5,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
30,V Kohli,TG Southee,KL Rahul,0,0,0,39,11,11,1,0,,,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
31,V Kohli,TG Southee,KL Rahul,0,0,0,39,11,12,2,caught,V Kohli,TL Seifert,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
32,SS Iyer,TG Southee,KL Rahul,0,0,0,39,0,1,3,0,,,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
33,SS Iyer,TG Southee,KL Rahul,0,0,0,39,0,2,4,0,,,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
34,SS Iyer,TG Southee,KL Rahul,0,0,0,39,0,3,5,0,,,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
35,SS Iyer,TG Southee,KL Rahul,1,0,1,40,1,4,6,0,,,6,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
36,SS Iyer,MJ Santner,KL Rahul,0,0,0,40,1,5,1,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
37,SS Iyer,MJ Santner,KL Rahul,0,0,0,40,1,6,2,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
38,SS Iyer,MJ Santner,KL Rahul,1,0,1,41,2,7,3,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
39,KL Rahul,MJ Santner,SS Iyer,0,0,0,41,20,15,4,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
40,KL Rahul,MJ Santner,SS Iyer,0,0,0,41,20,16,5,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
41,KL Rahul,MJ Santner,SS Iyer,1,0,1,42,21,17,6,0,,,7,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
42,KL Rahul,IS Sodhi,SS Iyer,1,0,1,43,22,18,1,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
43,SS Iyer,IS Sodhi,KL Rahul,1,0,1,44,3,8,2,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
44,KL Rahul,IS Sodhi,SS Iyer,2,0,2,46,24,19,3,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
45,KL Rahul,IS Sodhi,SS Iyer,1,0,1,47,25,20,4,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
46,SS Iyer,IS Sodhi,KL Rahul,1,0,1,48,4,9,5,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
47,KL Rahul,IS Sodhi,SS Iyer,1,0,1,49,26,21,6,0,,,8,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
48,KL Rahul,MJ Santner,SS Iyer,1,0,1,50,27,22,1,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
49,SS Iyer,MJ Santner,KL Rahul,1,0,1,51,5,10,2,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
50,KL Rahul,MJ Santner,SS Iyer,1,0,1,52,28,23,3,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
51,SS Iyer,MJ Santner,KL Rahul,1,0,1,53,6,11,4,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
52,KL Rahul,MJ Santner,SS Iyer,4,0,4,57,32,24,5,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
53,KL Rahul,MJ Santner,SS Iyer,0,0,0,57,32,25,6,0,,,9,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
54,SS Iyer,IS Sodhi,KL Rahul,1,0,1,58,7,12,1,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
55,KL Rahul,IS Sodhi,SS Iyer,1,0,1,59,33,26,2,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
56,SS Iyer,IS Sodhi,KL Rahul,1,0,1,60,8,13,3,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
57,KL Rahul,IS Sodhi,SS Iyer,0,0,0,60,33,27,4,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
58,KL Rahul,IS Sodhi,SS Iyer,0,0,0,60,33,28,5,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
59,KL Rahul,IS Sodhi,SS Iyer,0,0,0,60,33,29,6,0,,,10,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
60,SS Iyer,MJ Santner,KL Rahul,1,0,1,61,9,14,1,0,,,11,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
61,KL Rahul,MJ Santner,SS Iyer,1,0,1,62,34,30,2,0,,,11,-,bat,New Zealand,2,Eden Park,2020-01-26,India,India,New Zealand
