,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,C Kieswetter,M Morkel,MJ Lumb,,1,0,1,1,1,1,1,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
1,MJ Lumb,M Morkel,C Kieswetter,,1,0,1,2,1,1,2,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
2,C Kieswetter,M Morkel,MJ Lumb,{'wides': 5},0,5,5,7,1,2,3,wides,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
3,C Kieswetter,M Morkel,MJ Lumb,{'wides': 1},0,1,1,8,1,3,4,wides,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
4,C Kieswetter,M Morkel,MJ Lumb,,4,0,4,12,5,4,5,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
5,C Kieswetter,M Morkel,MJ Lumb,,4,0,4,16,9,5,6,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
6,C Kieswetter,M Morkel,MJ Lumb,,0,0,0,16,9,6,7,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
7,C Kieswetter,M Morkel,MJ Lumb,,0,0,0,16,9,7,8,-,1,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
8,MJ Lumb,WD Parnell,C Kieswetter,,4,0,4,20,5,2,1,-,2,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
9,MJ Lumb,WD Parnell,C Kieswetter,,0,0,0,20,5,3,2,-,2,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
10,MJ Lumb,WD Parnell,C Kieswetter,,0,0,0,20,5,4,3,-,2,bowled,MJ Lumb,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
11,LJ Wright,WD Parnell,C Kieswetter,,1,0,1,21,1,1,4,-,2,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
12,C Kieswetter,WD Parnell,LJ Wright,,0,0,0,21,9,8,5,-,2,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
13,C Kieswetter,WD Parnell,LJ Wright,,0,0,0,21,9,9,6,-,2,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
14,LJ Wright,JA Morkel,C Kieswetter,,2,0,2,23,3,2,1,-,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
15,LJ Wright,JA Morkel,C Kieswetter,{'legbyes': 1},0,1,1,24,3,3,2,legbyes,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
16,C Kieswetter,JA Morkel,LJ Wright,,1,0,1,25,10,10,3,-,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
17,LJ Wright,JA Morkel,C Kieswetter,,1,0,1,26,4,4,4,-,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
18,C Kieswetter,JA Morkel,LJ Wright,,1,0,1,27,11,11,5,-,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
19,LJ Wright,JA Morkel,C Kieswetter,,0,0,0,27,4,5,6,-,3,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
20,C Kieswetter,RJ Peterson,LJ Wright,,1,0,1,28,12,12,1,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
21,LJ Wright,RJ Peterson,C Kieswetter,{'wides': 1},0,1,1,29,4,6,2,wides,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
22,LJ Wright,RJ Peterson,C Kieswetter,,1,0,1,30,5,7,3,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
23,C Kieswetter,RJ Peterson,LJ Wright,,1,0,1,31,13,13,4,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
24,LJ Wright,RJ Peterson,C Kieswetter,{'wides': 4},0,4,4,35,5,8,5,wides,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
25,C Kieswetter,RJ Peterson,LJ Wright,,0,0,0,35,13,14,6,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
26,C Kieswetter,RJ Peterson,LJ Wright,,1,0,1,36,14,15,7,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
27,LJ Wright,RJ Peterson,C Kieswetter,,1,0,1,37,6,9,8,-,4,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
28,LJ Wright,J Botha,C Kieswetter,{'legbyes': 1},0,1,1,38,6,10,1,legbyes,5,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
29,C Kieswetter,J Botha,LJ Wright,,4,0,4,42,18,16,2,-,5,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
30,C Kieswetter,J Botha,LJ Wright,,1,0,1,43,19,17,3,-,5,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
31,LJ Wright,J Botha,C Kieswetter,,0,0,0,43,6,11,4,-,5,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
32,LJ Wright,J Botha,C Kieswetter,,0,0,0,43,6,12,5,-,5,caught,LJ Wright,HM Amla,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
33,C Kieswetter,J Botha,EJG Morgan,,1,0,1,44,20,18,6,-,5,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
34,C Kieswetter,RJ Peterson,EJG Morgan,,1,0,1,45,21,19,1,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
35,EJG Morgan,RJ Peterson,C Kieswetter,,1,0,1,46,1,1,2,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
36,C Kieswetter,RJ Peterson,EJG Morgan,,1,0,1,47,22,20,3,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
37,EJG Morgan,RJ Peterson,C Kieswetter,,0,0,0,47,1,2,4,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
38,EJG Morgan,RJ Peterson,C Kieswetter,,2,0,2,49,3,3,5,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
39,EJG Morgan,RJ Peterson,C Kieswetter,,1,0,1,50,4,4,6,-,6,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
40,EJG Morgan,J Botha,C Kieswetter,,0,0,0,50,4,5,1,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
41,EJG Morgan,J Botha,C Kieswetter,,0,0,0,50,4,6,2,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
42,EJG Morgan,J Botha,C Kieswetter,,1,0,1,51,5,7,3,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
43,C Kieswetter,J Botha,EJG Morgan,,0,0,0,51,22,21,4,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
44,C Kieswetter,J Botha,EJG Morgan,,1,0,1,52,23,22,5,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
45,EJG Morgan,J Botha,C Kieswetter,,0,0,0,52,5,8,6,-,7,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
46,C Kieswetter,JH Kallis,EJG Morgan,,0,0,0,52,23,23,1,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
47,C Kieswetter,JH Kallis,EJG Morgan,,2,0,2,54,25,24,2,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
48,C Kieswetter,JH Kallis,EJG Morgan,,6,0,6,60,31,25,3,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
49,C Kieswetter,JH Kallis,EJG Morgan,,2,0,2,62,33,26,4,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
50,C Kieswetter,JH Kallis,EJG Morgan,,0,0,0,62,33,27,5,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
51,C Kieswetter,JH Kallis,EJG Morgan,,1,0,1,63,34,28,6,-,8,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
52,C Kieswetter,J Botha,EJG Morgan,,1,0,1,64,35,29,1,-,9,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
53,EJG Morgan,J Botha,C Kieswetter,,0,0,0,64,5,9,2,-,9,caught,EJG Morgan,JL Ontong,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
54,C Kieswetter,J Botha,JC Buttler,,1,0,1,65,36,30,3,-,9,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
55,JC Buttler,J Botha,C Kieswetter,,1,0,1,66,1,1,4,-,9,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
56,C Kieswetter,J Botha,JC Buttler,,2,0,2,68,38,31,5,-,9,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
57,C Kieswetter,J Botha,JC Buttler,,6,0,6,74,44,32,6,-,9,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
58,JC Buttler,WD Parnell,C Kieswetter,,6,0,6,80,7,2,1,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
59,JC Buttler,WD Parnell,C Kieswetter,,6,0,6,86,13,3,2,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
60,JC Buttler,WD Parnell,C Kieswetter,,2,0,2,88,15,4,3,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
61,JC Buttler,WD Parnell,C Kieswetter,{'noballs': 1},0,1,1,89,15,5,4,noballs,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
62,JC Buttler,WD Parnell,C Kieswetter,{'noballs': 1},4,1,5,94,19,6,5,noballs,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
63,JC Buttler,WD Parnell,C Kieswetter,,4,0,4,98,23,7,6,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
64,JC Buttler,WD Parnell,C Kieswetter,,6,0,6,104,29,8,7,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
65,JC Buttler,WD Parnell,C Kieswetter,,2,0,2,106,31,9,8,-,10,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
66,C Kieswetter,M Morkel,JC Buttler,,6,0,6,112,50,33,1,-,11,0,,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
67,C Kieswetter,M Morkel,JC Buttler,,0,0,0,112,50,34,2,-,11,bowled,C Kieswetter,,field,South Africa,1,Edgbaston,2012-09-12,England,South Africa
