,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
10,RE Levi,BV Vitori,HM Amla,1,0,1,18,4,6,3,-,2,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
11,HM Amla,BV Vitori,RE Levi,1,0,1,19,9,6,4,-,2,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
12,RE Levi,BV Vitori,HM Amla,4,0,4,23,8,7,5,-,2,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
13,RE Levi,BV Vitori,HM Amla,0,1,1,24,8,8,6,noballs,2,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
14,RE Levi,BV Vitori,HM Amla,0,0,0,24,8,9,7,-,2,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
15,HM Amla,RW Price,RE Levi,1,0,1,25,10,7,1,-,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
16,RE Levi,RW Price,HM Amla,0,0,0,25,8,10,2,-,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
17,RE Levi,RW Price,HM Amla,1,0,1,26,9,11,3,-,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
18,HM Amla,RW Price,RE Levi,1,0,1,27,11,8,4,-,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
19,RE Levi,RW Price,HM Amla,1,0,1,28,10,12,5,-,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
20,HM Amla,RW Price,RE Levi,0,3,3,31,11,9,6,byes,3,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
