,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Hafeez,RP Singh,Imran Nazir,1,0,1,1,156,1,1,0,1,-,0,,,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
1,Imran Nazir,RP Singh,Mohammad Hafeez,0,0,0,1,156,0,1,0,2,-,0,,,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
2,Imran Nazir,RP Singh,Mohammad Hafeez,1,0,1,2,155,1,2,0,3,-,0,,,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
3,Mohammad Hafeez,RP Singh,Imran Nazir,0,0,0,2,155,1,2,0,4,-,0,,,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
4,Mohammad Hafeez,RP Singh,Imran Nazir,0,0,0,2,155,1,3,1,5,-,caught,Mohammad Hafeez,RV Uthappa,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
5,Kamran Akmal,RP Singh,Imran Nazir,0,2,2,4,153,0,1,1,6,legbyes,0,,,0,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
6,Imran Nazir,S Sreesanth,Kamran Akmal,4,0,4,8,149,5,3,1,1,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
7,Imran Nazir,S Sreesanth,Kamran Akmal,6,0,6,14,143,11,4,1,2,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
8,Imran Nazir,S Sreesanth,Kamran Akmal,6,0,6,20,137,17,5,1,3,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
9,Imran Nazir,S Sreesanth,Kamran Akmal,0,0,0,20,137,17,6,1,4,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
10,Imran Nazir,S Sreesanth,Kamran Akmal,4,0,4,24,133,21,7,1,5,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
11,Imran Nazir,S Sreesanth,Kamran Akmal,1,0,1,25,132,22,8,1,6,-,0,,,1,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
12,Imran Nazir,RP Singh,Kamran Akmal,1,0,1,26,131,23,9,1,1,-,0,,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
13,Kamran Akmal,RP Singh,Imran Nazir,0,0,0,26,131,0,2,1,2,-,0,,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
14,Kamran Akmal,RP Singh,Imran Nazir,0,0,0,26,131,0,3,2,3,-,bowled,Kamran Akmal,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
15,Younis Khan,RP Singh,Imran Nazir,0,0,0,26,131,0,1,2,4,-,0,,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
16,Younis Khan,RP Singh,Imran Nazir,1,0,1,27,130,1,2,2,5,-,0,,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
17,Imran Nazir,RP Singh,Younis Khan,4,0,4,31,126,27,10,2,6,-,0,,,2,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
18,Younis Khan,S Sreesanth,Imran Nazir,0,0,0,31,126,1,3,2,1,-,0,,,3,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
19,Younis Khan,S Sreesanth,Imran Nazir,0,0,0,31,126,1,4,2,2,-,0,,,3,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
20,Younis Khan,S Sreesanth,Imran Nazir,0,0,0,31,126,1,5,2,3,-,0,,,3,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
21,Younis Khan,S Sreesanth,Imran Nazir,0,0,0,31,126,1,6,2,4,-,0,,,3,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
22,Younis Khan,S Sreesanth,Imran Nazir,0,0,0,31,126,1,7,2,5,-,0,,,3,bat,India,2,New Wanderers Stadium,2007,09,India_Pakistan_2007-09-24,India,Pakistan,India,152
