,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RD Gaikwad,JO Holder,Ishan Kishan,0,1,1,1,185,0,1,0,1,legbyes,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
1,Ishan Kishan,JO Holder,RD Gaikwad,0,0,0,1,185,0,1,0,2,-,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
2,Ishan Kishan,JO Holder,RD Gaikwad,0,0,0,1,185,0,2,0,3,-,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
3,Ishan Kishan,JO Holder,RD Gaikwad,4,0,4,5,181,4,3,0,4,-,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
4,Ishan Kishan,JO Holder,RD Gaikwad,0,0,0,5,181,4,4,0,5,-,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
5,Ishan Kishan,JO Holder,RD Gaikwad,0,0,0,5,181,4,5,0,6,-,1,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
6,RD Gaikwad,R Shepherd,Ishan Kishan,0,0,0,5,181,0,2,0,1,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
7,RD Gaikwad,R Shepherd,Ishan Kishan,4,0,4,9,177,4,3,0,2,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
8,RD Gaikwad,R Shepherd,Ishan Kishan,0,0,0,9,177,4,4,0,3,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
9,RD Gaikwad,R Shepherd,Ishan Kishan,0,0,0,9,177,4,5,0,4,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
10,RD Gaikwad,R Shepherd,Ishan Kishan,0,0,0,9,177,4,6,0,5,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
11,RD Gaikwad,R Shepherd,Ishan Kishan,0,0,0,9,177,4,7,0,6,-,2,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
12,Ishan Kishan,JO Holder,RD Gaikwad,0,0,0,9,177,4,6,0,1,-,3,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
13,Ishan Kishan,JO Holder,RD Gaikwad,1,0,1,10,176,5,7,0,2,-,3,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
14,RD Gaikwad,JO Holder,Ishan Kishan,0,0,0,10,176,4,8,1,3,-,3,caught,RD Gaikwad,KR Mayers,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
15,Ishan Kishan,JO Holder,SS Iyer,0,1,1,11,175,5,8,1,4,legbyes,3,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
16,SS Iyer,JO Holder,Ishan Kishan,0,0,0,11,175,0,1,1,5,-,3,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
17,SS Iyer,JO Holder,Ishan Kishan,4,0,4,15,171,4,2,1,6,-,3,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
18,Ishan Kishan,R Shepherd,SS Iyer,0,0,0,15,171,5,9,1,1,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
19,Ishan Kishan,R Shepherd,SS Iyer,4,0,4,19,167,9,10,1,2,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
20,Ishan Kishan,R Shepherd,SS Iyer,4,0,4,23,163,13,11,1,3,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
21,Ishan Kishan,R Shepherd,SS Iyer,0,0,0,23,163,13,12,1,4,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
22,Ishan Kishan,R Shepherd,SS Iyer,4,0,4,27,159,17,13,1,5,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
23,Ishan Kishan,R Shepherd,SS Iyer,0,0,0,27,159,17,14,1,6,-,4,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
24,SS Iyer,JO Holder,Ishan Kishan,4,0,4,31,155,8,3,1,1,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
25,SS Iyer,JO Holder,Ishan Kishan,4,0,4,35,151,12,4,1,2,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
26,SS Iyer,JO Holder,Ishan Kishan,0,0,0,35,151,12,5,1,3,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
27,SS Iyer,JO Holder,Ishan Kishan,1,0,1,36,150,13,6,1,4,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
28,Ishan Kishan,JO Holder,SS Iyer,0,0,0,36,150,17,15,1,5,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
29,Ishan Kishan,JO Holder,SS Iyer,1,0,1,37,149,18,16,1,6,-,5,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
30,Ishan Kishan,RL Chase,SS Iyer,2,0,2,39,147,20,17,1,1,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
31,Ishan Kishan,RL Chase,SS Iyer,0,0,0,39,147,20,18,1,2,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
32,Ishan Kishan,RL Chase,SS Iyer,1,0,1,40,146,21,19,1,3,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
33,SS Iyer,RL Chase,Ishan Kishan,1,0,1,41,145,14,7,1,4,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
34,Ishan Kishan,RL Chase,SS Iyer,1,0,1,42,144,22,20,1,5,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
35,SS Iyer,RL Chase,Ishan Kishan,1,0,1,43,143,15,8,1,6,-,6,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
36,SS Iyer,HR Walsh,Ishan Kishan,1,0,1,44,142,16,9,1,1,-,7,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
37,Ishan Kishan,HR Walsh,SS Iyer,0,0,0,44,142,22,21,1,2,-,7,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
38,Ishan Kishan,HR Walsh,SS Iyer,1,0,1,45,141,23,22,1,3,-,7,0,,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,India,West Indies,184
