,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
113,F du Plessis,Saeed Ajmal,DA Miller,2,0,2,144,,54,44,3,3,18,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
114,F du Plessis,Saeed Ajmal,DA Miller,1,0,1,145,,55,45,3,4,18,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
115,DA Miller,Saeed Ajmal,F du Plessis,2,0,2,147,,4,3,3,5,18,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
116,DA Miller,Saeed Ajmal,F du Plessis,0,0,0,147,,4,4,4,6,18,-,,lbw,DA Miller,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
117,F du Plessis,Sohail Tanvir,H Davids,0,0,0,147,,55,46,4,1,19,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
118,F du Plessis,Sohail Tanvir,H Davids,2,0,2,149,,57,47,4,2,19,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
119,F du Plessis,Sohail Tanvir,H Davids,0,0,0,149,,57,48,4,3,19,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
120,F du Plessis,Sohail Tanvir,H Davids,1,0,1,150,,58,49,4,4,19,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
121,H Davids,Sohail Tanvir,F du Plessis,0,0,0,150,,0,1,4,5,19,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
122,H Davids,Sohail Tanvir,F du Plessis,0,0,0,150,,0,2,5,6,19,-,,bowled,H Davids,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
