,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
28,Q de Kock,Saeed Ajmal,HM Amla,0,0,0,37,,30,20,1,4,4,-,,caught,Q de Kock,Umar Amin,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
29,HM Amla,Saeed Ajmal,F du Plessis,0,0,0,37,,5,10,1,5,4,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
30,HM Amla,Saeed Ajmal,F du Plessis,0,0,0,37,,5,11,1,6,4,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
31,F du Plessis,Sohail Tanvir,HM Amla,1,0,1,38,,1,1,1,1,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
32,HM Amla,Sohail Tanvir,F du Plessis,4,0,4,42,,9,12,1,2,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
33,HM Amla,Sohail Tanvir,F du Plessis,1,0,1,43,,10,13,1,3,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
34,F du Plessis,Sohail Tanvir,HM Amla,1,0,1,44,,2,2,1,4,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
35,HM Amla,Sohail Tanvir,F du Plessis,0,0,0,44,,10,14,1,5,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
36,HM Amla,Sohail Tanvir,F du Plessis,0,0,0,44,,10,15,1,6,5,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
37,F du Plessis,Mohammad Hafeez,HM Amla,1,0,1,45,,3,3,1,1,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
