,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Gulbadin Naib,Mukesh Kumar,Rahmanullah Gurbaz,1,0,1,1,1,1,1,-,run out,Gulbadin Naib,V Kohli,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
1,Mohammad Nabi,Mukesh Kumar,Rahmanullah Gurbaz,1,0,1,2,1,1,2,-,0,,,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
2,Rahmanullah Gurbaz,Mukesh Kumar,Mohammad Nabi,4,0,4,6,4,1,3,-,0,,,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
3,Rahmanullah Gurbaz,Mukesh Kumar,Mohammad Nabi,1,0,1,7,5,2,4,-,0,,,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
4,Mohammad Nabi,Mukesh Kumar,Rahmanullah Gurbaz,6,0,6,13,7,2,5,-,0,,,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
5,Mohammad Nabi,Mukesh Kumar,Rahmanullah Gurbaz,0,3,3,16,7,3,6,byes,0,,,1,bat,India,3,"M Chinnaswamy Stadium, Bengaluru",2024-01-17,tie,Afghanistan,India
