,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Anamul Haque,AJ Hosein,Liton Das,2,0,2,2,191,2,1,0,1,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
1,Anamul Haque,AJ Hosein,Liton Das,1,0,1,3,190,3,2,0,2,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
2,Liton Das,AJ Hosein,Anamul Haque,4,0,4,7,186,4,1,0,3,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
3,Liton Das,AJ Hosein,Anamul Haque,0,0,0,7,186,4,2,0,4,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
4,Liton Das,AJ Hosein,Anamul Haque,1,0,1,8,185,5,3,0,5,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
5,Anamul Haque,AJ Hosein,Liton Das,0,0,0,8,185,3,3,0,6,1,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
6,Liton Das,OC McCoy,Anamul Haque,0,0,0,8,185,5,4,1,1,2,caught,Liton Das,SSJ Brooks,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
7,Anamul Haque,OC McCoy,Shakib Al Hasan,0,0,0,8,185,3,4,2,2,2,bowled,Anamul Haque,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
8,Mahmudullah,OC McCoy,Shakib Al Hasan,0,0,0,8,185,0,1,2,3,2,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
9,Mahmudullah,OC McCoy,Shakib Al Hasan,1,0,1,9,184,1,2,2,4,2,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
10,Shakib Al Hasan,OC McCoy,Mahmudullah,0,0,0,9,184,0,1,2,5,2,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
11,Shakib Al Hasan,OC McCoy,Mahmudullah,1,0,1,10,183,1,2,2,6,2,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
12,Shakib Al Hasan,OF Smith,Mahmudullah,0,1,1,11,182,1,3,2,1,3,0,,,legbyes,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
13,Mahmudullah,OF Smith,Shakib Al Hasan,0,0,0,11,182,1,3,2,2,3,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
14,Mahmudullah,OF Smith,Shakib Al Hasan,0,1,1,12,181,1,4,2,3,3,0,,,wides,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
15,Mahmudullah,OF Smith,Shakib Al Hasan,6,0,6,18,175,7,5,2,4,3,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
16,Mahmudullah,OF Smith,Shakib Al Hasan,4,0,4,22,171,11,6,2,5,3,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
17,Mahmudullah,OF Smith,Shakib Al Hasan,0,1,1,23,170,11,7,2,6,3,0,,,wides,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
18,Mahmudullah,OF Smith,Shakib Al Hasan,0,0,0,23,170,11,8,2,7,3,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
19,Mahmudullah,OF Smith,Shakib Al Hasan,0,0,0,23,170,11,9,3,8,3,caught,Mahmudullah,OC McCoy,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
20,Shakib Al Hasan,OC McCoy,Afif Hossain,0,0,0,23,170,1,4,3,1,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
21,Shakib Al Hasan,OC McCoy,Afif Hossain,4,0,4,27,166,5,5,3,2,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
22,Shakib Al Hasan,OC McCoy,Afif Hossain,0,0,0,27,166,5,6,3,3,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
23,Shakib Al Hasan,OC McCoy,Afif Hossain,0,0,0,27,166,5,7,3,4,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
24,Shakib Al Hasan,OC McCoy,Afif Hossain,0,0,0,27,166,5,8,3,5,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
25,Shakib Al Hasan,OC McCoy,Afif Hossain,1,0,1,28,165,6,9,3,6,4,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
26,Shakib Al Hasan,OF Smith,Afif Hossain,0,0,0,28,165,6,10,3,1,5,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
27,Shakib Al Hasan,OF Smith,Afif Hossain,4,0,4,32,161,10,11,3,2,5,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
28,Shakib Al Hasan,OF Smith,Afif Hossain,1,0,1,33,160,11,12,3,3,5,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
29,Afif Hossain,OF Smith,Shakib Al Hasan,0,0,0,33,160,0,1,3,4,5,0,,,-,,bat,West Indies,2,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,Bangladesh,West Indies,158
