,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,P Nissanka,Mohammad Hasnain,BKG Mendis,1,0,1,1,120,1,1,0,1,-,0,,,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
1,BKG Mendis,Mohammad Hasnain,P Nissanka,0,0,0,1,120,0,1,1,2,-,caught,BKG Mendis,Iftikhar Ahmed,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
2,MD Gunathilaka,Mohammad Hasnain,P Nissanka,0,0,0,1,120,0,1,1,3,-,0,,,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
3,MD Gunathilaka,Mohammad Hasnain,P Nissanka,0,1,1,2,119,0,2,1,4,legbyes,0,,,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
4,P Nissanka,Mohammad Hasnain,MD Gunathilaka,0,0,0,2,119,1,2,1,5,-,0,,,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
5,P Nissanka,Mohammad Hasnain,MD Gunathilaka,0,0,0,2,119,1,3,1,6,-,0,,,0,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
6,MD Gunathilaka,Haris Rauf,P Nissanka,0,0,0,2,119,0,3,1,1,-,0,,,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
7,MD Gunathilaka,Haris Rauf,P Nissanka,0,0,0,2,119,0,4,2,2,-,caught,MD Gunathilaka,Mohammad Rizwan,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
8,DM de Silva,Haris Rauf,P Nissanka,0,0,0,2,119,0,1,2,3,-,0,,,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
9,DM de Silva,Haris Rauf,P Nissanka,1,0,1,3,118,1,2,2,4,-,0,,,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
10,P Nissanka,Haris Rauf,DM de Silva,0,0,0,3,118,1,4,2,5,-,0,,,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
11,P Nissanka,Haris Rauf,DM de Silva,0,0,0,3,118,1,5,2,6,-,0,,,1,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
12,DM de Silva,Mohammad Hasnain,P Nissanka,1,0,1,4,117,2,3,2,1,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
13,P Nissanka,Mohammad Hasnain,DM de Silva,1,0,1,5,116,2,6,2,2,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
14,DM de Silva,Mohammad Hasnain,P Nissanka,0,0,0,5,116,2,4,2,3,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
15,DM de Silva,Mohammad Hasnain,P Nissanka,0,0,0,5,116,2,5,2,4,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
16,DM de Silva,Mohammad Hasnain,P Nissanka,1,0,1,6,115,3,6,2,5,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
17,P Nissanka,Mohammad Hasnain,DM de Silva,1,0,1,7,114,3,7,2,6,-,0,,,2,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
18,P Nissanka,Hasan Ali,DM de Silva,4,0,4,11,110,7,8,2,1,-,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
19,P Nissanka,Hasan Ali,DM de Silva,0,1,1,12,109,7,9,2,2,legbyes,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
20,DM de Silva,Hasan Ali,P Nissanka,0,1,1,13,108,3,7,2,3,legbyes,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
21,P Nissanka,Hasan Ali,DM de Silva,4,0,4,17,104,11,10,2,4,-,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
22,P Nissanka,Hasan Ali,DM de Silva,4,0,4,21,100,15,11,2,5,-,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
23,P Nissanka,Hasan Ali,DM de Silva,1,0,1,22,99,16,12,2,6,-,0,,,3,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
24,P Nissanka,Haris Rauf,DM de Silva,1,0,1,23,98,17,13,2,1,-,0,,,4,,field,Sri Lanka,2,Dubai International Cricket Stadium,2022,09,Pakistan_Sri Lanka_2022-09-09,Sri Lanka,Sri Lanka,Pakistan,124
