,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Nazmul Hossain Shanto,Shaheen Shah Afridi,Liton Das,0,0,0,0,0,1,1,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
1,Nazmul Hossain Shanto,Shaheen Shah Afridi,Liton Das,1,0,1,1,1,2,2,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
2,Liton Das,Shaheen Shah Afridi,Nazmul Hossain Shanto,1,0,1,2,1,1,3,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
3,Nazmul Hossain Shanto,Shaheen Shah Afridi,Liton Das,4,0,4,6,5,3,4,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
4,Nazmul Hossain Shanto,Shaheen Shah Afridi,Liton Das,0,0,0,6,5,4,5,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
5,Nazmul Hossain Shanto,Shaheen Shah Afridi,Liton Das,0,0,0,6,5,5,6,1,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
6,Liton Das,Naseem Shah,Nazmul Hossain Shanto,1,0,1,7,2,2,1,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
7,Nazmul Hossain Shanto,Naseem Shah,Liton Das,1,0,1,8,6,6,2,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
8,Liton Das,Naseem Shah,Nazmul Hossain Shanto,0,0,0,8,2,3,3,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
9,Liton Das,Naseem Shah,Nazmul Hossain Shanto,1,0,1,9,3,4,4,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
10,Nazmul Hossain Shanto,Naseem Shah,Liton Das,4,0,4,13,10,7,5,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
11,Nazmul Hossain Shanto,Naseem Shah,Liton Das,0,0,0,13,10,8,6,2,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
12,Liton Das,Shaheen Shah Afridi,Nazmul Hossain Shanto,0,0,0,13,3,5,1,3,0,,,-,,bat,Bangladesh,1,Adelaide Oval,2022-11-06,Pakistan,Bangladesh,Pakistan
