,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,H Masakadza,R Vinay Kumar,BRM Taylor,1,0,1,1,1,1,1,-,0,,,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
1,BRM Taylor,R Vinay Kumar,H Masakadza,1,0,1,2,1,1,2,-,0,,,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
2,H Masakadza,R Vinay Kumar,BRM Taylor,0,0,0,2,1,2,3,-,0,,,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
3,H Masakadza,R Vinay Kumar,BRM Taylor,0,0,0,2,1,3,4,-,caught,H Masakadza,SK Raina,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
4,CJ Chibhabha,R Vinay Kumar,BRM Taylor,0,0,0,2,0,1,5,-,0,,,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
5,CJ Chibhabha,R Vinay Kumar,BRM Taylor,0,1,1,3,0,2,6,legbyes,0,,,1,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
6,CJ Chibhabha,AB Dinda,BRM Taylor,1,0,1,4,1,3,1,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
7,BRM Taylor,AB Dinda,CJ Chibhabha,0,0,0,4,1,2,2,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
8,BRM Taylor,AB Dinda,CJ Chibhabha,0,0,0,4,1,3,3,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
9,BRM Taylor,AB Dinda,CJ Chibhabha,0,0,0,4,1,4,4,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
10,BRM Taylor,AB Dinda,CJ Chibhabha,4,1,5,9,5,5,5,noballs,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
11,BRM Taylor,AB Dinda,CJ Chibhabha,4,0,4,13,9,6,6,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
12,BRM Taylor,AB Dinda,CJ Chibhabha,0,0,0,13,9,7,7,-,0,,,2,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
13,CJ Chibhabha,R Vinay Kumar,BRM Taylor,0,0,0,13,1,4,1,-,0,,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
14,CJ Chibhabha,R Vinay Kumar,BRM Taylor,4,0,4,17,5,5,2,-,0,,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
15,CJ Chibhabha,R Vinay Kumar,BRM Taylor,6,0,6,23,11,6,3,-,0,,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
16,CJ Chibhabha,R Vinay Kumar,BRM Taylor,1,0,1,24,12,7,4,-,0,,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
17,BRM Taylor,R Vinay Kumar,CJ Chibhabha,6,0,6,30,15,8,5,-,0,,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
18,BRM Taylor,R Vinay Kumar,CJ Chibhabha,0,0,0,30,15,9,6,-,lbw,BRM Taylor,,3,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
19,CJ Chibhabha,AB Dinda,T Taibu,1,0,1,31,13,8,1,-,0,,,4,field,India,1,Harare Sports Club,2010-06-12,Zimbabwe,India
