,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Liton Das,W Madhevere,Mohammad Naim,1,0,1,1,118,1,1,0,1,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
1,Mohammad Naim,W Madhevere,Liton Das,0,0,0,1,118,0,1,0,2,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
2,Mohammad Naim,W Madhevere,Liton Das,1,0,1,2,117,1,2,0,3,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
3,Liton Das,W Madhevere,Mohammad Naim,1,0,1,3,116,2,2,0,4,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
4,Mohammad Naim,W Madhevere,Liton Das,0,0,0,3,116,1,3,0,5,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
5,Mohammad Naim,W Madhevere,Liton Das,1,0,1,4,115,2,4,0,6,1,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
6,Mohammad Naim,CB Mpofu,Liton Das,1,0,1,5,114,3,5,0,1,2,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
7,Liton Das,CB Mpofu,Mohammad Naim,2,0,2,7,112,4,3,0,2,2,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
8,Liton Das,CB Mpofu,Mohammad Naim,0,0,0,7,112,4,4,0,3,2,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
9,Liton Das,CB Mpofu,Mohammad Naim,1,0,1,8,111,5,5,0,4,2,-,,0,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-11,Bangladesh,Bangladesh,Zimbabwe,120
