,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,N Pooran,Avesh Khan,SD Hope,,0,1,1,18,166,11,5,1,wides,4.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
11,N Pooran,Avesh Khan,SD Hope,,0,0,0,18,166,11,6,1,-,5.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
12,N Pooran,Avesh Khan,SD Hope,,0,0,0,18,166,11,7,1,-,6.0,0,,,1,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
13,SD Hope,DL Chahar,N Pooran,,4,0,4,22,162,4,1,1,-,1.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
14,SD Hope,DL Chahar,N Pooran,,4,0,4,26,158,8,2,1,-,2.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
15,SD Hope,DL Chahar,N Pooran,,0,0,0,26,158,8,3,1,-,3.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
16,SD Hope,DL Chahar,N Pooran,,0,0,0,26,158,8,4,2,-,4.0,caught,SD Hope,Ishan Kishan,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
17,R Powell,DL Chahar,N Pooran,,0,0,0,26,158,0,1,2,-,5.0,0,,,2,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
18,R Powell,VR Iyer,N Pooran,,6,0,6,32,152,6,2,2,-,6.0,0,,,2,"{'role': [{'in': 'VR Iyer', 'out': 'DL Chahar', 'reason': 'injury', 'role': 'bowler'}]}",field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
19,N Pooran,Avesh Khan,R Powell,,1,0,1,33,151,12,8,2,-,1.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
20,R Powell,Avesh Khan,N Pooran,,0,0,0,33,151,6,3,2,-,2.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
21,R Powell,Avesh Khan,N Pooran,,0,1,1,34,150,6,4,2,legbyes,3.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
22,N Pooran,Avesh Khan,R Powell,,4,0,4,38,146,16,9,2,-,4.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
23,N Pooran,Avesh Khan,R Powell,,0,0,0,38,146,16,10,2,-,5.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
24,N Pooran,Avesh Khan,R Powell,,4,0,4,42,142,20,11,2,-,6.0,0,,,3,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
25,R Powell,SN Thakur,N Pooran,,6,0,6,48,136,12,5,2,-,1.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
26,R Powell,SN Thakur,N Pooran,,4,0,4,52,132,16,6,2,-,2.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
27,R Powell,SN Thakur,N Pooran,,0,1,1,53,131,16,6,2,wides,2.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
28,R Powell,SN Thakur,N Pooran,,0,0,0,53,131,16,7,2,-,3.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
29,R Powell,SN Thakur,N Pooran,,2,0,2,55,129,18,8,2,-,4.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
30,R Powell,SN Thakur,N Pooran,,4,0,4,59,125,22,9,2,-,5.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
31,R Powell,SN Thakur,N Pooran,,1,0,1,60,124,23,10,2,-,6.0,0,,,4,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
32,R Powell,Ravi Bishnoi,N Pooran,,1,0,1,61,123,24,11,2,-,1.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
33,N Pooran,Ravi Bishnoi,R Powell,,0,0,0,61,123,20,12,2,-,2.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
34,N Pooran,Ravi Bishnoi,R Powell,,1,0,1,62,122,21,13,2,-,3.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
35,R Powell,Ravi Bishnoi,N Pooran,,1,0,1,63,121,25,12,2,-,4.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
36,N Pooran,Ravi Bishnoi,R Powell,,4,0,4,67,117,25,14,2,-,5.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
37,N Pooran,Ravi Bishnoi,R Powell,,1,0,1,68,116,26,15,2,-,6.0,0,,,5,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
38,N Pooran,HV Patel,R Powell,,4,0,4,72,112,30,16,2,-,1.0,0,,,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
39,N Pooran,HV Patel,R Powell,,0,0,0,72,112,30,17,2,-,2.0,0,,,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
40,N Pooran,HV Patel,R Powell,,1,0,1,73,111,31,18,2,-,3.0,0,,,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
41,R Powell,HV Patel,N Pooran,,0,0,0,73,111,25,13,2,-,4.0,0,,,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
42,R Powell,HV Patel,N Pooran,,0,0,0,73,111,25,14,3,-,5.0,caught,R Powell,SN Thakur,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
43,N Pooran,HV Patel,KA Pollard,,0,0,0,73,111,31,19,3,-,6.0,0,,,6,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
44,KA Pollard,Ravi Bishnoi,N Pooran,,0,0,0,73,111,0,1,3,-,1.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
45,KA Pollard,Ravi Bishnoi,N Pooran,,0,0,0,73,111,0,2,3,-,2.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
46,KA Pollard,Ravi Bishnoi,N Pooran,,0,1,1,74,110,0,2,3,wides,2.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
47,KA Pollard,Ravi Bishnoi,N Pooran,,0,1,1,75,109,0,2,3,wides,2.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
48,KA Pollard,Ravi Bishnoi,N Pooran,,1,0,1,76,108,1,3,3,-,3.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
49,N Pooran,Ravi Bishnoi,KA Pollard,,1,0,1,77,107,32,20,3,-,4.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
50,KA Pollard,Ravi Bishnoi,N Pooran,"{'by': 'India', 'umpire': 'J Madanagopal', 'batter': 'KA Pollard', 'decision': 'struck down'}",0,0,0,77,107,1,4,3,-,5.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
51,KA Pollard,Ravi Bishnoi,N Pooran,,0,0,0,77,107,1,5,3,-,6.0,0,,,7,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
52,N Pooran,VR Iyer,KA Pollard,,1,0,1,78,106,33,21,3,-,1.0,0,,,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
53,KA Pollard,VR Iyer,N Pooran,,4,0,4,82,102,5,6,3,-,2.0,0,,,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
54,KA Pollard,VR Iyer,N Pooran,,0,0,0,82,102,5,7,4,-,3.0,caught,KA Pollard,Ravi Bishnoi,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
55,N Pooran,VR Iyer,JO Holder,,1,0,1,83,101,34,22,4,-,4.0,0,,,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
56,JO Holder,VR Iyer,N Pooran,,0,0,0,83,101,0,1,4,-,5.0,0,,,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
57,JO Holder,VR Iyer,N Pooran,,0,0,0,83,101,0,2,4,-,6.0,0,,,8,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
58,N Pooran,SN Thakur,JO Holder,,1,0,1,84,100,35,23,4,-,1.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
59,JO Holder,SN Thakur,N Pooran,,1,0,1,85,99,1,3,4,-,2.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
60,N Pooran,SN Thakur,JO Holder,,0,0,0,85,99,35,24,4,-,3.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
61,N Pooran,SN Thakur,JO Holder,,0,0,0,85,99,35,25,4,-,4.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
62,N Pooran,SN Thakur,JO Holder,,1,0,1,86,98,36,26,4,-,5.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
63,JO Holder,SN Thakur,N Pooran,,1,0,1,87,97,2,4,4,-,6.0,0,,,9,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
64,JO Holder,VR Iyer,N Pooran,,0,0,0,87,97,2,5,4,-,1.0,0,,,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
65,JO Holder,VR Iyer,N Pooran,,0,0,0,87,97,2,6,5,-,2.0,caught,JO Holder,SS Iyer,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
66,RL Chase,VR Iyer,N Pooran,,2,0,2,89,95,2,1,5,-,3.0,0,,,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
67,RL Chase,VR Iyer,N Pooran,,4,0,4,93,91,6,2,5,-,4.0,0,,,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
68,RL Chase,VR Iyer,N Pooran,,4,0,4,97,87,10,3,5,-,5.0,0,,,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
69,RL Chase,VR Iyer,N Pooran,,1,0,1,98,86,11,4,5,-,6.0,0,,,10,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
70,RL Chase,HV Patel,N Pooran,,1,0,1,99,85,12,5,5,-,1.0,0,,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
71,N Pooran,HV Patel,RL Chase,,0,0,0,99,85,36,27,5,-,2.0,0,,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
72,N Pooran,HV Patel,RL Chase,,1,0,1,100,84,37,28,5,-,3.0,0,,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
73,RL Chase,HV Patel,N Pooran,,0,0,0,100,84,12,6,5,-,4.0,0,,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
74,RL Chase,HV Patel,N Pooran,,0,0,0,100,84,12,7,6,-,5.0,bowled,RL Chase,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
75,R Shepherd,HV Patel,N Pooran,,0,0,0,100,84,0,1,6,-,6.0,0,,,11,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
76,N Pooran,Ravi Bishnoi,R Shepherd,,0,0,0,100,84,37,29,6,-,1.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
77,N Pooran,Ravi Bishnoi,R Shepherd,,0,0,0,100,84,37,30,6,-,2.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
78,N Pooran,Ravi Bishnoi,R Shepherd,,6,0,6,106,78,43,31,6,-,3.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
79,N Pooran,Ravi Bishnoi,R Shepherd,,0,0,0,106,78,43,32,6,-,4.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
80,N Pooran,Ravi Bishnoi,R Shepherd,,2,0,2,108,76,45,33,6,-,5.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
81,N Pooran,Ravi Bishnoi,R Shepherd,,0,0,0,108,76,45,34,6,-,6.0,0,,,12,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
82,R Shepherd,Avesh Khan,N Pooran,,0,0,0,108,76,0,2,6,-,1.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
83,R Shepherd,Avesh Khan,N Pooran,,0,0,0,108,76,0,3,6,-,2.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
84,R Shepherd,Avesh Khan,N Pooran,,1,0,1,109,75,1,4,6,-,3.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
85,N Pooran,Avesh Khan,R Shepherd,,1,0,1,110,74,46,35,6,-,4.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
86,R Shepherd,Avesh Khan,N Pooran,,6,0,6,116,68,7,5,6,-,5.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
87,R Shepherd,Avesh Khan,N Pooran,,0,0,0,116,68,7,6,6,-,6.0,0,,,13,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
88,N Pooran,Ravi Bishnoi,R Shepherd,,0,0,0,116,68,46,36,6,-,1.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
89,N Pooran,Ravi Bishnoi,R Shepherd,,1,0,1,117,67,47,37,6,-,2.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Legbreak
90,R Shepherd,Ravi Bishnoi,N Pooran,,6,0,6,123,61,13,7,6,-,3.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
91,R Shepherd,Ravi Bishnoi,N Pooran,,0,0,0,123,61,13,8,6,-,4.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
92,R Shepherd,Ravi Bishnoi,N Pooran,,2,0,2,125,59,15,9,6,-,5.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
93,R Shepherd,Ravi Bishnoi,N Pooran,,0,0,0,125,59,15,10,6,-,6.0,0,,,14,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Legbreak
94,N Pooran,HV Patel,R Shepherd,,0,1,1,126,58,47,37,6,wides,0.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
95,N Pooran,HV Patel,R Shepherd,,1,0,1,127,57,48,38,6,-,1.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
96,R Shepherd,HV Patel,N Pooran,,1,0,1,128,56,16,11,6,-,2.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
97,N Pooran,HV Patel,R Shepherd,,2,0,2,130,54,50,39,6,-,3.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
98,N Pooran,HV Patel,R Shepherd,,4,0,4,134,50,54,40,6,-,4.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
99,N Pooran,HV Patel,R Shepherd,,0,0,0,134,50,54,41,6,-,5.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
