,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,P Nissanka,MA Starc,MD Gunathilaka,0,1,1,1,94,0,1,0,1,wides,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
1,P Nissanka,MA Starc,MD Gunathilaka,0,0,0,1,94,0,2,0,2,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
2,P Nissanka,MA Starc,MD Gunathilaka,0,0,0,1,94,0,3,0,3,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
3,P Nissanka,MA Starc,MD Gunathilaka,0,0,0,1,94,0,4,0,4,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
4,P Nissanka,MA Starc,MD Gunathilaka,3,0,3,4,91,3,5,0,5,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
5,MD Gunathilaka,MA Starc,P Nissanka,2,0,2,6,89,2,1,0,6,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
6,MD Gunathilaka,MA Starc,P Nissanka,0,1,1,7,88,2,2,0,7,wides,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
7,MD Gunathilaka,MA Starc,P Nissanka,0,0,0,7,88,2,3,0,8,-,1,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
8,P Nissanka,JR Hazlewood,MD Gunathilaka,0,0,0,7,88,3,6,0,1,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
9,P Nissanka,JR Hazlewood,MD Gunathilaka,1,0,1,8,87,4,7,0,2,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
10,MD Gunathilaka,JR Hazlewood,P Nissanka,0,0,0,8,87,2,4,0,3,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
11,MD Gunathilaka,JR Hazlewood,P Nissanka,0,0,0,8,87,2,5,0,4,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
12,MD Gunathilaka,JR Hazlewood,P Nissanka,1,0,1,9,86,3,6,0,5,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
13,P Nissanka,JR Hazlewood,MD Gunathilaka,0,0,0,9,86,4,8,0,6,-,2,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
14,MD Gunathilaka,MR Marsh,P Nissanka,0,0,0,9,86,3,7,0,1,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
15,MD Gunathilaka,MR Marsh,P Nissanka,1,0,1,10,85,4,8,0,2,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
16,P Nissanka,MR Marsh,MD Gunathilaka,1,0,1,11,84,5,9,0,3,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
17,MD Gunathilaka,MR Marsh,P Nissanka,4,0,4,15,80,8,9,0,4,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
18,MD Gunathilaka,MR Marsh,P Nissanka,6,0,6,21,74,14,10,0,5,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
19,MD Gunathilaka,MR Marsh,P Nissanka,2,0,2,23,72,16,11,0,6,-,3,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
20,P Nissanka,GJ Maxwell,MD Gunathilaka,4,0,4,27,68,9,10,0,1,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
21,P Nissanka,GJ Maxwell,MD Gunathilaka,1,0,1,28,67,10,11,0,2,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
22,MD Gunathilaka,GJ Maxwell,P Nissanka,4,0,4,32,63,20,12,0,3,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
23,MD Gunathilaka,GJ Maxwell,P Nissanka,1,0,1,33,62,21,13,0,4,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
24,P Nissanka,GJ Maxwell,MD Gunathilaka,1,0,1,34,61,11,12,0,5,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
25,MD Gunathilaka,GJ Maxwell,P Nissanka,1,0,1,35,60,22,14,0,6,-,4,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
26,MD Gunathilaka,JR Hazlewood,P Nissanka,4,0,4,39,56,26,15,0,1,-,5,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
27,MD Gunathilaka,JR Hazlewood,P Nissanka,0,0,0,39,56,26,16,1,2,-,5,caught,MD Gunathilaka,MR Marsh,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
28,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,39,56,0,1,1,3,-,5,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
29,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,39,56,0,2,1,4,-,5,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
30,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,39,56,0,3,1,5,-,5,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
31,KIC Asalanka,JR Hazlewood,P Nissanka,1,0,1,40,55,1,4,1,6,-,5,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
32,KIC Asalanka,KW Richardson,P Nissanka,0,0,0,40,55,1,5,1,1,-,6,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
33,KIC Asalanka,KW Richardson,P Nissanka,6,0,6,46,49,7,6,1,2,-,6,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
34,KIC Asalanka,KW Richardson,P Nissanka,0,0,0,46,49,7,7,1,3,-,6,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
35,KIC Asalanka,KW Richardson,P Nissanka,4,0,4,50,45,11,8,1,4,-,6,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
36,KIC Asalanka,KW Richardson,P Nissanka,0,0,0,50,45,11,9,1,5,-,6,0,,,,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-07,Australia,Sri Lanka,Australia,128
