,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,PD Salt,AJ Hosein,JC Buttler,0,0,0,0,222,0,1,0,1,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
1,PD Salt,AJ Hosein,JC Buttler,0,0,0,0,222,0,2,0,2,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
2,PD Salt,AJ Hosein,JC Buttler,1,0,1,1,221,1,3,0,3,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
3,JC Buttler,AJ Hosein,PD Salt,0,0,0,1,221,0,1,0,4,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
4,JC Buttler,AJ Hosein,PD Salt,6,0,6,7,215,6,2,0,5,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
5,JC Buttler,AJ Hosein,PD Salt,6,0,6,13,209,12,3,0,6,1,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
6,PD Salt,JO Holder,JC Buttler,1,0,1,14,208,2,4,0,1,2,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
7,JC Buttler,JO Holder,PD Salt,1,0,1,15,207,13,4,0,2,2,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
8,PD Salt,JO Holder,JC Buttler,4,0,4,19,203,6,5,0,3,2,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
9,PD Salt,JO Holder,JC Buttler,0,0,0,19,203,6,6,0,4,2,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'PD Salt', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
10,PD Salt,JO Holder,JC Buttler,0,0,0,19,203,6,7,0,5,2,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
11,PD Salt,JO Holder,JC Buttler,6,0,6,25,197,12,8,0,6,2,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
12,JC Buttler,AJ Hosein,PD Salt,0,0,0,25,197,13,5,0,1,3,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
13,JC Buttler,AJ Hosein,PD Salt,4,0,4,29,193,17,6,0,2,3,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
14,JC Buttler,AJ Hosein,PD Salt,2,0,2,31,191,19,7,0,3,3,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
15,JC Buttler,AJ Hosein,PD Salt,1,0,1,32,190,20,8,0,4,3,,-,0,,,field,England,2,"National Cricket Stadium, St George's, Grenada",2023,12,West Indies_England_2023-12-16,England,England,West Indies,226
