,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Saim Ayub,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Left hand Bat,Right hand Bat,Left arm Fast
1,Saim Ayub,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,0,,0,2,1,-,2.0,caught,Saim Ayub,Rahmanullah Gurbaz,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Left hand Bat,Right hand Bat,Left arm Fast
2,Abdullah Shafique,Fazalhaq Farooqi,Mohammad Haris,"{'by': 'Pakistan', 'umpire': 'Ahmed Shah Pakteen', 'batter': 'Abdullah Shafique', 'decision': 'struck down'}",0,0,0,0,,0,1,2,-,3.0,lbw,Abdullah Shafique,,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
3,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,0,,0,1,2,-,4.0,0,,,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
4,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,0,,0,2,2,-,5.0,0,,,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
5,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,0,,0,3,2,-,6.0,0,,,0,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
6,Mohammad Haris,Azmatullah Omarzai,Tayyab Tahir,,4,0,4,4,,4,1,2,-,1.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
7,Mohammad Haris,Azmatullah Omarzai,Tayyab Tahir,,4,0,4,8,,8,2,2,-,2.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
8,Mohammad Haris,Azmatullah Omarzai,Tayyab Tahir,,0,0,0,8,,8,3,2,-,3.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
9,Mohammad Haris,Azmatullah Omarzai,Tayyab Tahir,,6,0,6,14,,14,4,2,-,4.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
10,Mohammad Haris,Azmatullah Omarzai,Tayyab Tahir,,1,0,1,15,,15,5,2,-,5.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
11,Tayyab Tahir,Azmatullah Omarzai,Mohammad Haris,,3,0,3,18,,3,4,2,-,6.0,0,,,1,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Right arm Medium
12,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,18,,3,5,2,-,1.0,0,,,2,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
13,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,18,,3,6,2,-,2.0,0,,,2,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
14,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,0,0,0,18,,3,7,2,-,3.0,0,,,2,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
15,Tayyab Tahir,Fazalhaq Farooqi,Mohammad Haris,,1,0,1,19,,4,8,2,-,4.0,0,,,2,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
16,Mohammad Haris,Fazalhaq Farooqi,Tayyab Tahir,,0,0,0,19,,15,6,2,-,5.0,0,,,2,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-26,Afghanistan,Pakistan,Afghanistan,False,130,Right hand Bat,Right hand Bat,Left arm Fast
