,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,0,127,0,1,0,1,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
1,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,0,127,0,2,0,2,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
2,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,0,127,0,3,0,3,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
3,Mohammad Rizwan,Taskin Ahmed,Babar Azam,6,0,6,6,121,6,4,0,4,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
4,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,6,121,6,5,0,5,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
5,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,6,121,6,6,0,6,1,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
6,Babar Azam,Nasum Ahmed,Mohammad Rizwan,1,0,1,7,120,1,1,0,1,2,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
7,Mohammad Rizwan,Nasum Ahmed,Babar Azam,0,0,0,7,120,6,7,0,2,2,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
8,Mohammad Rizwan,Nasum Ahmed,Babar Azam,1,0,1,8,119,7,8,0,3,2,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
9,Babar Azam,Nasum Ahmed,Mohammad Rizwan,1,0,1,9,118,2,2,0,4,2,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
10,Mohammad Rizwan,Nasum Ahmed,Babar Azam,2,0,2,11,116,9,9,0,5,2,,-,0,,,bat,Bangladesh,2,Adelaide Oval,2022,11,Bangladesh_Pakistan_2022-11-06,Pakistan,Pakistan,Bangladesh,128
