,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,V Sibanda,SCJ Broad,BRM Taylor,0,0,0,0,0,1,1,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
1,V Sibanda,SCJ Broad,BRM Taylor,0,0,0,0,0,2,2,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
2,V Sibanda,SCJ Broad,BRM Taylor,2,0,2,2,2,3,3,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
3,V Sibanda,SCJ Broad,BRM Taylor,0,0,0,2,2,4,4,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
4,V Sibanda,SCJ Broad,BRM Taylor,0,0,0,2,2,5,5,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
5,V Sibanda,SCJ Broad,BRM Taylor,4,0,4,6,6,6,6,1,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
6,BRM Taylor,JM Anderson,V Sibanda,0,0,0,6,0,1,1,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
7,BRM Taylor,JM Anderson,V Sibanda,1,0,1,7,1,2,2,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
8,V Sibanda,JM Anderson,BRM Taylor,4,0,4,11,10,7,3,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
9,V Sibanda,JM Anderson,BRM Taylor,1,0,1,12,11,8,4,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
10,BRM Taylor,JM Anderson,V Sibanda,6,0,6,18,7,3,5,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
11,BRM Taylor,JM Anderson,V Sibanda,4,0,4,22,11,4,6,2,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
12,V Sibanda,SCJ Broad,BRM Taylor,0,4,4,26,11,9,1,3,legbyes,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
13,V Sibanda,SCJ Broad,BRM Taylor,1,0,1,27,12,10,2,3,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
14,BRM Taylor,SCJ Broad,V Sibanda,1,0,1,28,12,5,3,3,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
15,V Sibanda,SCJ Broad,BRM Taylor,0,0,0,28,12,11,4,3,-,0,,,bat,England,2,Newlands,2007-09-13,Zimbabwe,England
