,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,WIA Fernando,B Kumar,M Bhanuka,4,0,4,4,160,4,1,0,-,1.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
1,WIA Fernando,B Kumar,M Bhanuka,0,0,0,4,160,4,2,0,-,2.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
2,WIA Fernando,B Kumar,M Bhanuka,2,0,2,6,158,6,3,0,-,3.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
3,WIA Fernando,B Kumar,M Bhanuka,1,0,1,7,157,7,4,0,-,4.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
4,M Bhanuka,B Kumar,WIA Fernando,0,1,1,8,156,0,1,0,wides,4.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
5,M Bhanuka,B Kumar,WIA Fernando,0,0,0,8,156,0,2,0,-,5.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
6,M Bhanuka,B Kumar,WIA Fernando,0,1,1,9,155,0,3,0,wides,5.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
7,M Bhanuka,B Kumar,WIA Fernando,1,0,1,10,154,1,4,0,-,6.0,0,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
8,M Bhanuka,DL Chahar,WIA Fernando,4,0,4,14,150,5,5,0,-,1.0,1,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
9,M Bhanuka,DL Chahar,WIA Fernando,0,0,0,14,150,5,6,0,-,2.0,1,,0,,,field,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,07,India_Sri Lanka_2021-07-25,India,Sri Lanka,India,False,126
