,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Mohammad Rizwan,TG Southee,Babar Azam,0,0,0,0,163,0,1,0,1,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
1,Mohammad Rizwan,TG Southee,Babar Azam,0,0,0,0,163,0,2,0,2,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
2,Mohammad Rizwan,TG Southee,Babar Azam,4,0,4,4,159,4,3,0,3,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
3,Mohammad Rizwan,TG Southee,Babar Azam,1,0,1,5,158,5,4,0,4,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
4,Babar Azam,TG Southee,Mohammad Rizwan,4,0,4,9,154,4,1,0,5,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
5,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,9,154,4,2,0,6,1,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
6,Mohammad Rizwan,TA Boult,Babar Azam,1,0,1,10,153,6,5,0,1,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
7,Babar Azam,TA Boult,Mohammad Rizwan,0,0,0,10,153,4,3,0,2,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
8,Babar Azam,TA Boult,Mohammad Rizwan,4,0,4,14,149,8,4,0,3,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
9,Babar Azam,TA Boult,Mohammad Rizwan,0,0,0,14,149,8,5,0,4,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
10,Babar Azam,TA Boult,Mohammad Rizwan,1,0,1,15,148,9,6,0,5,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
11,Mohammad Rizwan,TA Boult,Babar Azam,4,0,4,19,144,10,6,0,6,2,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
12,Babar Azam,MG Bracewell,Mohammad Rizwan,0,0,0,19,144,9,7,0,1,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
13,Babar Azam,MG Bracewell,Mohammad Rizwan,0,0,0,19,144,9,8,0,2,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
14,Babar Azam,MG Bracewell,Mohammad Rizwan,1,0,1,20,143,10,9,0,3,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
15,Mohammad Rizwan,MG Bracewell,Babar Azam,1,0,1,21,142,11,7,0,4,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
16,Babar Azam,MG Bracewell,Mohammad Rizwan,0,0,0,21,142,10,10,0,5,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
17,Babar Azam,MG Bracewell,Mohammad Rizwan,0,0,0,21,142,10,11,0,6,3,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
18,Mohammad Rizwan,TG Southee,Babar Azam,1,0,1,22,141,12,8,0,1,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
19,Babar Azam,TG Southee,Mohammad Rizwan,4,0,4,26,137,14,12,0,2,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
20,Babar Azam,TG Southee,Mohammad Rizwan,1,0,1,27,136,15,13,0,3,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
21,Mohammad Rizwan,TG Southee,Babar Azam,0,0,0,27,136,12,9,0,4,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
22,Mohammad Rizwan,TG Southee,Babar Azam,0,0,0,27,136,12,10,0,5,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
23,Mohammad Rizwan,TG Southee,Babar Azam,1,0,1,28,135,13,11,0,6,4,-,0,,,,field,Pakistan,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Pakistan_2022-10-14,Pakistan,Pakistan,New Zealand
