,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,MJ Guptill,KW Richardson,C Munro,0,1,1,1,102,0,1,0,1,wides,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
1,MJ Guptill,KW Richardson,C Munro,0,0,0,1,102,0,2,0,2,-,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
2,MJ Guptill,KW Richardson,C Munro,4,0,4,5,98,4,3,0,3,-,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
3,MJ Guptill,KW Richardson,C Munro,0,1,1,6,97,4,4,0,4,legbyes,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
4,C Munro,KW Richardson,MJ Guptill,0,1,1,7,96,0,1,0,5,legbyes,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
5,MJ Guptill,KW Richardson,C Munro,1,0,1,8,95,5,5,0,6,-,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
6,C Munro,KW Richardson,MJ Guptill,3,0,3,11,92,3,2,0,7,-,1,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
7,C Munro,B Stanlake,MJ Guptill,0,0,0,11,92,3,3,1,1,-,2,caught,C Munro,AT Carey,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
8,MJ Guptill,B Stanlake,KS Williamson,0,0,0,11,92,5,6,2,2,-,2,bowled,MJ Guptill,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
9,TC Bruce,B Stanlake,KS Williamson,3,0,3,14,89,3,1,2,3,-,2,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
10,KS Williamson,B Stanlake,TC Bruce,0,0,0,14,89,0,1,2,4,-,2,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
11,KS Williamson,B Stanlake,TC Bruce,0,0,0,14,89,0,2,2,5,-,2,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
12,KS Williamson,B Stanlake,TC Bruce,1,0,1,15,88,1,3,2,6,-,2,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
13,KS Williamson,KW Richardson,TC Bruce,0,1,1,16,87,1,4,2,1,wides,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
14,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,5,2,2,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
15,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,6,2,3,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
16,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,7,2,4,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
17,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,8,2,5,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
18,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,9,2,6,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
19,KS Williamson,KW Richardson,TC Bruce,0,0,0,16,87,1,10,2,7,-,3,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
20,TC Bruce,B Stanlake,KS Williamson,0,0,0,16,87,3,2,2,1,-,4,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
21,TC Bruce,B Stanlake,KS Williamson,0,0,0,16,87,3,3,3,2,-,4,caught,TC Bruce,KW Richardson,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
22,KS Williamson,B Stanlake,LRPL Taylor,0,0,0,16,87,1,11,3,3,-,4,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
23,KS Williamson,B Stanlake,LRPL Taylor,0,0,0,16,87,1,12,3,4,-,4,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
24,KS Williamson,B Stanlake,LRPL Taylor,0,0,0,16,87,1,13,3,5,-,4,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
25,KS Williamson,B Stanlake,LRPL Taylor,1,0,1,17,86,2,14,3,6,-,4,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
26,KS Williamson,KW Richardson,LRPL Taylor,1,0,1,18,85,3,15,3,1,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
27,LRPL Taylor,KW Richardson,KS Williamson,0,0,0,18,85,0,1,3,2,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
28,LRPL Taylor,KW Richardson,KS Williamson,0,0,0,18,85,0,2,3,3,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
29,LRPL Taylor,KW Richardson,KS Williamson,4,0,4,22,81,4,3,3,4,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
30,LRPL Taylor,KW Richardson,KS Williamson,1,0,1,23,80,5,4,3,5,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
31,KS Williamson,KW Richardson,LRPL Taylor,2,0,2,25,78,5,16,3,6,-,5,0,,,,field,Australia,1,Sydney Cricket Ground,2018,02,New Zealand_Australia_2018-02-03,Australia,New Zealand,Australia,117
