,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MJ Guptill,JA Richardson,TL Seifert,0,0,0,0,208,0,1,0,1,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
1,MJ Guptill,JA Richardson,TL Seifert,2,0,2,2,206,2,2,0,2,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
2,MJ Guptill,JA Richardson,TL Seifert,0,0,0,2,206,2,3,0,3,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
3,MJ Guptill,JA Richardson,TL Seifert,0,0,0,2,206,2,4,0,4,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
4,MJ Guptill,JA Richardson,TL Seifert,0,0,0,2,206,2,5,0,5,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
5,MJ Guptill,JA Richardson,TL Seifert,6,0,6,8,200,8,6,0,6,1,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
6,TL Seifert,RP Meredith,MJ Guptill,0,0,0,8,200,0,1,0,1,2,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
7,TL Seifert,RP Meredith,MJ Guptill,0,1,1,9,199,0,2,0,2,2,legbyes,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
8,MJ Guptill,RP Meredith,TL Seifert,6,0,6,15,193,14,7,0,3,2,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
9,MJ Guptill,RP Meredith,TL Seifert,1,0,1,16,192,15,8,0,4,2,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
10,TL Seifert,RP Meredith,MJ Guptill,4,0,4,20,188,4,3,0,5,2,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
11,TL Seifert,RP Meredith,MJ Guptill,0,0,0,20,188,4,4,1,6,2,-,caught,TL Seifert,MP Stoinis,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
12,KS Williamson,A Zampa,MJ Guptill,1,0,1,21,187,1,1,1,1,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
13,MJ Guptill,A Zampa,KS Williamson,1,0,1,22,186,16,9,1,2,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
14,KS Williamson,A Zampa,MJ Guptill,6,0,6,28,180,7,2,1,3,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
15,KS Williamson,A Zampa,MJ Guptill,1,0,1,29,179,8,3,1,4,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
16,MJ Guptill,A Zampa,KS Williamson,0,0,0,29,179,16,10,1,5,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
17,MJ Guptill,A Zampa,KS Williamson,4,0,4,33,175,20,11,1,6,3,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
18,KS Williamson,JA Richardson,MJ Guptill,1,0,1,34,174,9,4,1,1,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
19,MJ Guptill,JA Richardson,KS Williamson,6,0,6,40,168,26,12,1,2,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
20,MJ Guptill,JA Richardson,KS Williamson,2,0,2,42,166,28,13,1,3,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
21,MJ Guptill,JA Richardson,KS Williamson,0,0,0,42,166,28,14,1,4,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
22,MJ Guptill,JA Richardson,KS Williamson,4,0,4,46,162,32,15,1,5,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
23,MJ Guptill,JA Richardson,KS Williamson,1,0,1,47,161,33,16,1,6,4,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
24,MJ Guptill,RP Meredith,KS Williamson,0,0,0,47,161,33,17,1,1,5,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
25,MJ Guptill,RP Meredith,KS Williamson,1,0,1,48,160,34,18,1,2,5,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
26,KS Williamson,RP Meredith,MJ Guptill,0,0,0,48,160,9,5,1,3,5,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
27,KS Williamson,RP Meredith,MJ Guptill,0,0,0,48,160,9,6,2,4,5,-,lbw,KS Williamson,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
28,DP Conway,RP Meredith,MJ Guptill,0,0,0,48,160,0,1,2,5,5,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
29,DP Conway,RP Meredith,MJ Guptill,4,0,4,52,156,4,2,2,6,5,-,0,,,,field,New Zealand,2,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-03,Australia,New Zealand,Australia,144
