,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
26,PJ Ingram,Shahadat Hossain,BB McCullum,1,0,1,33,45,11,12,0,2,-,4,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
27,BB McCullum,Shahadat Hossain,PJ Ingram,0,0,0,33,45,20,16,0,3,-,4,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
28,BB McCullum,Shahadat Hossain,PJ Ingram,0,0,0,33,45,20,17,0,4,-,4,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
29,BB McCullum,Shahadat Hossain,PJ Ingram,4,0,4,37,41,24,18,0,5,-,4,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
30,BB McCullum,Shahadat Hossain,PJ Ingram,4,0,4,41,37,28,19,0,6,-,4,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
31,PJ Ingram,Shakib Al Hasan,BB McCullum,0,0,0,41,37,11,13,0,1,-,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
32,PJ Ingram,Shakib Al Hasan,BB McCullum,2,0,2,43,35,13,14,0,2,-,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
33,PJ Ingram,Shakib Al Hasan,BB McCullum,0,0,0,43,35,13,15,0,3,-,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
34,PJ Ingram,Shakib Al Hasan,BB McCullum,0,1,1,44,34,13,16,0,4,legbyes,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
35,BB McCullum,Shakib Al Hasan,PJ Ingram,1,0,1,45,33,29,20,0,5,-,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
