,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,BB McCullum,CK Langeveldt,JD Ryder,0,1,1,1,0,1,1,wides,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
1,BB McCullum,CK Langeveldt,JD Ryder,0,0,0,1,0,2,2,-,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
2,BB McCullum,CK Langeveldt,JD Ryder,0,0,0,1,0,3,3,-,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
3,BB McCullum,CK Langeveldt,JD Ryder,2,0,2,3,2,4,4,-,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
4,BB McCullum,CK Langeveldt,JD Ryder,4,0,4,7,6,5,5,-,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
5,BB McCullum,CK Langeveldt,JD Ryder,0,0,0,7,6,6,6,-,caught,BB McCullum,HH Gibbs,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
6,MJ Guptill,CK Langeveldt,JD Ryder,0,0,0,7,0,1,7,-,0,,,1,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
7,JD Ryder,DW Steyn,MJ Guptill,0,0,0,7,0,1,1,-,0,,,2,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
8,JD Ryder,DW Steyn,MJ Guptill,0,0,0,7,0,2,2,-,0,,,2,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
9,JD Ryder,DW Steyn,MJ Guptill,1,0,1,8,1,3,3,-,0,,,2,bat,South Africa,2,"Kensington Oval, Bridgetown",2010-05-06,South Africa,New Zealand,South Africa
