,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
16,DPMD Jayawardene,B Lee,TM Dilshan,1,0,1,23,175,19,12,0,5,3,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
17,TM Dilshan,B Lee,DPMD Jayawardene,0,0,0,23,175,4,6,1,6,3,lbw,TM Dilshan,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
18,DPMD Jayawardene,MG Johnson,LD Chandimal,1,0,1,24,174,20,13,1,1,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
19,LD Chandimal,MG Johnson,DPMD Jayawardene,0,0,0,24,174,0,1,1,2,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
20,LD Chandimal,MG Johnson,DPMD Jayawardene,0,0,0,24,174,0,2,1,3,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
21,LD Chandimal,MG Johnson,DPMD Jayawardene,1,0,1,25,173,1,3,1,4,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
22,DPMD Jayawardene,MG Johnson,LD Chandimal,0,0,0,25,173,20,14,1,5,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
23,DPMD Jayawardene,MG Johnson,LD Chandimal,1,0,1,26,172,21,15,1,6,4,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
24,DPMD Jayawardene,B Lee,LD Chandimal,1,0,1,27,171,22,16,1,1,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
25,LD Chandimal,B Lee,DPMD Jayawardene,1,0,1,28,170,2,4,1,2,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
26,DPMD Jayawardene,B Lee,LD Chandimal,4,0,4,32,166,26,17,1,3,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
27,DPMD Jayawardene,B Lee,LD Chandimal,4,0,4,36,162,30,18,1,4,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
28,DPMD Jayawardene,B Lee,LD Chandimal,1,0,1,37,161,31,19,1,5,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
29,LD Chandimal,B Lee,DPMD Jayawardene,4,0,4,41,157,6,5,1,6,5,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
30,DPMD Jayawardene,MG Johnson,LD Chandimal,4,0,4,45,153,35,20,1,1,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
