,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Tamim Iqbal,T Panyangara,Anamul Haque,0,0,0,0,131,0,1,0,1,0,,,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
1,Tamim Iqbal,T Panyangara,Anamul Haque,4,0,4,4,127,4,2,0,2,0,,,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
2,Tamim Iqbal,T Panyangara,Anamul Haque,1,0,1,5,126,5,3,0,3,0,,,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
3,Anamul Haque,T Panyangara,Tamim Iqbal,0,0,0,5,126,0,1,0,4,0,,,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
4,Anamul Haque,T Panyangara,Tamim Iqbal,1,0,1,6,125,1,2,0,5,0,,,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
5,Tamim Iqbal,T Panyangara,Anamul Haque,0,0,0,6,125,5,4,1,6,run out,Anamul Haque,Sikandar Raza;RW Chakabva,1,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
6,Tamim Iqbal,N Madziva,Sabbir Rahman,1,0,1,7,124,6,5,1,1,0,,,2,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
7,Sabbir Rahman,N Madziva,Tamim Iqbal,0,5,5,12,119,0,1,1,2,0,,,2,wides,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
8,Sabbir Rahman,N Madziva,Tamim Iqbal,0,0,0,12,119,0,2,1,3,0,,,2,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
9,Sabbir Rahman,N Madziva,Tamim Iqbal,4,0,4,16,115,4,3,1,4,0,,,2,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
10,Sabbir Rahman,N Madziva,Tamim Iqbal,0,0,0,16,115,4,4,1,5,0,,,2,-,field,Bangladesh,2,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-13,Bangladesh,Bangladesh,Zimbabwe,136
