,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Hazratullah,Shakib Al Hasan,Rahmanullah Gurbaz,0,0,0,0,127,0,1,0,1,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
1,Hazratullah,Shakib Al Hasan,Rahmanullah Gurbaz,1,0,1,1,126,1,2,0,2,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
2,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,0,0,0,1,126,0,1,0,3,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
3,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,0,0,0,1,126,0,2,0,4,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
4,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,0,0,0,1,126,0,3,0,5,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
5,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,1,0,1,2,125,1,4,0,6,0,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
6,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,0,0,0,2,125,1,5,0,1,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
7,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,4,0,4,6,121,5,6,0,2,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
8,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,0,0,0,6,121,5,7,0,3,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
9,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,0,0,0,6,121,5,8,0,4,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
10,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,0,0,0,6,121,5,9,0,5,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
11,Rahmanullah Gurbaz,Mustafizur Rahman,Hazratullah,1,0,1,7,120,6,10,0,6,1,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
12,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,0,0,0,7,120,6,11,0,1,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
13,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,1,0,1,8,119,7,12,0,2,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
14,Hazratullah,Shakib Al Hasan,Rahmanullah Gurbaz,1,0,1,9,118,2,3,0,3,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
15,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,0,0,0,9,118,7,13,0,4,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
16,Rahmanullah Gurbaz,Shakib Al Hasan,Hazratullah,1,0,1,10,117,8,14,0,5,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
17,Hazratullah,Shakib Al Hasan,Rahmanullah Gurbaz,1,0,1,11,116,3,4,0,6,2,0,,,-,,bat,Bangladesh,2,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Afghanistan,Bangladesh,True,131
