,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RG Sharma,AF Milne,S Dhawan,0,0,0,0,196,0,1,0,1,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
1,RG Sharma,AF Milne,S Dhawan,4,0,4,4,192,4,2,0,2,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
2,RG Sharma,AF Milne,S Dhawan,0,0,0,4,192,4,3,0,3,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
3,RG Sharma,AF Milne,S Dhawan,1,0,1,5,191,5,4,0,4,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
4,S Dhawan,AF Milne,RG Sharma,0,0,0,5,191,0,1,0,5,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
5,S Dhawan,AF Milne,RG Sharma,1,0,1,6,190,1,2,0,6,1,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
6,S Dhawan,TA Boult,RG Sharma,0,0,0,6,190,1,3,0,1,2,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
7,S Dhawan,TA Boult,RG Sharma,0,0,0,6,190,1,4,1,2,2,bowled,S Dhawan,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
8,SS Iyer,TA Boult,RG Sharma,4,0,4,10,186,4,1,1,3,2,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
9,SS Iyer,TA Boult,RG Sharma,1,0,1,11,185,5,2,1,4,2,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
10,RG Sharma,TA Boult,SS Iyer,0,0,0,11,185,5,5,1,5,2,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
11,RG Sharma,TA Boult,SS Iyer,0,0,0,11,185,5,6,2,6,2,caught,RG Sharma,GD Phillips,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
12,SS Iyer,C de Grandhomme,V Kohli,4,0,4,15,181,9,3,2,1,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
13,SS Iyer,C de Grandhomme,V Kohli,1,0,1,16,180,10,4,2,2,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
14,V Kohli,C de Grandhomme,SS Iyer,0,0,0,16,180,0,1,2,3,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
15,V Kohli,C de Grandhomme,SS Iyer,1,0,1,17,179,1,2,2,4,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
16,SS Iyer,C de Grandhomme,V Kohli,0,0,0,17,179,10,5,2,5,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
17,SS Iyer,C de Grandhomme,V Kohli,4,0,4,21,175,14,6,2,6,3,0,,,-,,bat,New Zealand,2,Saurashtra Cricket Association Stadium,2017,11,New Zealand_India_2017-11-04,New Zealand,India,New Zealand,156
