,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,MM Ali,MDKJ Perera,1,0,1,1,1,1,1,0,,,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
1,MDKJ Perera,MM Ali,P Nissanka,0,0,0,1,0,1,2,0,,,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
2,MDKJ Perera,MM Ali,P Nissanka,0,0,0,1,0,2,3,run out,P Nissanka,JC Buttler;EJG Morgan,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
3,KIC Asalanka,MM Ali,MDKJ Perera,0,0,0,1,0,1,4,0,,,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
4,KIC Asalanka,MM Ali,MDKJ Perera,0,0,0,1,0,2,5,0,,,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
5,KIC Asalanka,MM Ali,MDKJ Perera,1,0,1,2,1,3,6,0,,,1,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
6,KIC Asalanka,CR Woakes,MDKJ Perera,0,0,0,2,1,4,1,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
7,KIC Asalanka,CR Woakes,MDKJ Perera,0,0,0,2,1,5,2,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
8,KIC Asalanka,CR Woakes,MDKJ Perera,6,0,6,8,7,6,3,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
9,KIC Asalanka,CR Woakes,MDKJ Perera,4,0,4,12,11,7,4,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
10,KIC Asalanka,CR Woakes,MDKJ Perera,1,0,1,13,12,8,5,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
11,MDKJ Perera,CR Woakes,KIC Asalanka,1,0,1,14,1,3,6,0,,,2,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
12,MDKJ Perera,MM Ali,KIC Asalanka,1,0,1,15,2,4,1,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
13,KIC Asalanka,MM Ali,MDKJ Perera,4,0,4,19,16,9,2,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
14,KIC Asalanka,MM Ali,MDKJ Perera,0,0,0,19,16,10,3,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
15,KIC Asalanka,MM Ali,MDKJ Perera,4,0,4,23,20,11,4,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
16,KIC Asalanka,MM Ali,MDKJ Perera,0,0,0,23,20,12,5,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
17,KIC Asalanka,MM Ali,MDKJ Perera,1,0,1,24,21,13,6,0,,,3,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
18,KIC Asalanka,AU Rashid,MDKJ Perera,0,0,0,24,21,14,1,0,,,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
19,KIC Asalanka,AU Rashid,MDKJ Perera,0,0,0,24,21,15,2,0,,,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
20,KIC Asalanka,AU Rashid,MDKJ Perera,0,0,0,24,21,16,3,caught,KIC Asalanka,MM Ali,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
21,MDKJ Perera,AU Rashid,WIA Fernando,2,0,2,26,4,5,4,0,,,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
22,MDKJ Perera,AU Rashid,WIA Fernando,0,0,0,26,4,6,5,0,,,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
23,MDKJ Perera,AU Rashid,WIA Fernando,2,0,2,28,6,7,6,0,,,4,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
24,WIA Fernando,CJ Jordan,MDKJ Perera,0,0,0,28,0,1,1,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
25,WIA Fernando,CJ Jordan,MDKJ Perera,0,0,0,28,0,2,2,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
26,WIA Fernando,CJ Jordan,MDKJ Perera,4,0,4,32,4,3,3,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
27,WIA Fernando,CJ Jordan,MDKJ Perera,0,0,0,32,4,4,4,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
28,WIA Fernando,CJ Jordan,MDKJ Perera,1,0,1,33,5,5,5,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
29,MDKJ Perera,CJ Jordan,WIA Fernando,1,0,1,34,7,8,6,0,,,5,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
30,MDKJ Perera,AU Rashid,WIA Fernando,0,0,0,34,7,9,1,caught,MDKJ Perera,EJG Morgan,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
31,WIA Fernando,AU Rashid,PBB Rajapaksa,1,0,1,35,6,6,2,0,,,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
32,PBB Rajapaksa,AU Rashid,WIA Fernando,0,0,0,35,0,1,3,0,,,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
33,PBB Rajapaksa,AU Rashid,WIA Fernando,4,0,4,39,4,2,4,0,,,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
34,PBB Rajapaksa,AU Rashid,WIA Fernando,0,0,0,39,4,3,5,0,,,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
35,PBB Rajapaksa,AU Rashid,WIA Fernando,1,0,1,40,5,4,6,0,,,6,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
