,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,1,0,1,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
1,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,2,0,2,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
2,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,3,0,3,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
3,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,4,0,4,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
4,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,5,0,5,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
5,KL Rahul,K Rabada,RG Sharma,0,0,0,0,106,0,6,0,6,1,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
6,RG Sharma,WD Parnell,KL Rahul,0,2,2,2,104,0,1,0,1,2,,wides,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
7,KL Rahul,WD Parnell,RG Sharma,2,0,2,4,102,2,7,0,2,2,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
8,KL Rahul,WD Parnell,RG Sharma,4,0,4,8,98,6,8,0,3,2,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
9,KL Rahul,WD Parnell,RG Sharma,0,0,0,8,98,6,9,0,4,2,"{'by': 'South Africa', 'umpire': 'AK Chaudhary', 'batter': 'KL Rahul', 'decision': 'struck down', 'umpires_call': True}",-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
10,KL Rahul,WD Parnell,RG Sharma,0,1,1,9,97,6,10,0,5,2,,wides,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
11,KL Rahul,WD Parnell,RG Sharma,0,0,0,9,97,6,11,0,6,2,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
12,KL Rahul,WD Parnell,RG Sharma,0,0,0,9,97,6,12,0,7,2,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
13,KL Rahul,WD Parnell,RG Sharma,0,0,0,9,97,6,13,0,8,2,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
14,RG Sharma,K Rabada,KL Rahul,0,0,0,9,97,0,2,0,1,3,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
15,RG Sharma,K Rabada,KL Rahul,0,0,0,9,97,0,3,1,2,3,,-,caught,RG Sharma,Q de Kock,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
16,V Kohli,K Rabada,KL Rahul,0,0,0,9,97,0,1,1,3,3,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
17,V Kohli,K Rabada,KL Rahul,0,0,0,9,97,0,2,1,4,3,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
18,V Kohli,K Rabada,KL Rahul,2,0,2,11,95,2,3,1,5,3,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
19,V Kohli,K Rabada,KL Rahul,0,0,0,11,95,2,4,1,6,3,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
20,KL Rahul,WD Parnell,V Kohli,0,0,0,11,95,6,14,1,1,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
21,KL Rahul,WD Parnell,V Kohli,0,0,0,11,95,6,15,1,2,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
22,KL Rahul,WD Parnell,V Kohli,0,0,0,11,95,6,16,1,3,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
23,KL Rahul,WD Parnell,V Kohli,0,0,0,11,95,6,17,1,4,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
24,KL Rahul,WD Parnell,V Kohli,0,0,0,11,95,6,18,1,5,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
25,KL Rahul,WD Parnell,V Kohli,1,0,1,12,94,7,19,1,6,4,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
26,KL Rahul,K Rabada,V Kohli,0,0,0,12,94,7,20,1,1,5,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
27,KL Rahul,K Rabada,V Kohli,4,0,4,16,90,11,21,1,2,5,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
28,KL Rahul,K Rabada,V Kohli,0,0,0,16,90,11,22,1,3,5,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
29,KL Rahul,K Rabada,V Kohli,0,0,0,16,90,11,23,1,4,5,,-,0,,,field,India,2,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,India,South Africa,110
