,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,E Lewis,B Kumar,SP Narine,0,0,0,0,167,0,1,0,1,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
1,E Lewis,B Kumar,SP Narine,0,0,0,0,167,0,2,0,2,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
2,E Lewis,B Kumar,SP Narine,0,0,0,0,167,0,3,0,3,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
3,E Lewis,B Kumar,SP Narine,1,0,1,1,166,1,4,0,4,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
4,SP Narine,B Kumar,E Lewis,0,0,0,1,166,0,1,0,5,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
5,SP Narine,B Kumar,E Lewis,0,0,0,1,166,0,2,0,6,1,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
6,E Lewis,DL Chahar,SP Narine,1,0,1,2,165,2,5,0,1,2,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
7,SP Narine,DL Chahar,E Lewis,2,0,2,4,163,2,3,0,2,2,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
8,SP Narine,DL Chahar,E Lewis,0,0,0,4,163,2,4,0,3,2,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
9,SP Narine,DL Chahar,E Lewis,0,0,0,4,163,2,5,0,4,2,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
10,SP Narine,DL Chahar,E Lewis,0,0,0,4,163,2,6,1,5,2,caught,SP Narine,Navdeep Saini,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
11,SO Hetmyer,DL Chahar,E Lewis,0,0,0,4,163,0,1,1,6,2,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
12,E Lewis,B Kumar,SO Hetmyer,0,0,0,4,163,2,6,1,1,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
13,E Lewis,B Kumar,SO Hetmyer,0,0,0,4,163,2,7,1,2,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
14,E Lewis,B Kumar,SO Hetmyer,4,0,4,8,159,6,8,1,3,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
15,E Lewis,B Kumar,SO Hetmyer,3,0,3,11,156,9,9,1,4,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
16,SO Hetmyer,B Kumar,E Lewis,1,0,1,12,155,1,2,1,5,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
17,E Lewis,B Kumar,SO Hetmyer,1,0,1,13,154,10,10,1,6,3,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
18,E Lewis,DL Chahar,SO Hetmyer,0,0,0,13,154,10,11,2,1,4,lbw,E Lewis,,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'E Lewis', 'decision': 'struck down'}",-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
19,KA Pollard,DL Chahar,SO Hetmyer,0,0,0,13,154,0,1,2,2,4,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
20,KA Pollard,DL Chahar,SO Hetmyer,0,0,0,13,154,0,2,2,3,4,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
21,KA Pollard,DL Chahar,SO Hetmyer,0,1,1,14,153,0,3,2,4,4,0,,,,legbyes,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
22,SO Hetmyer,DL Chahar,KA Pollard,0,0,0,14,153,1,3,3,5,4,lbw,SO Hetmyer,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
23,N Pooran,DL Chahar,KA Pollard,0,0,0,14,153,0,1,3,6,4,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
24,KA Pollard,Navdeep Saini,N Pooran,0,0,0,14,153,0,4,3,1,5,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
25,KA Pollard,Navdeep Saini,N Pooran,6,0,6,20,147,6,5,3,2,5,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
26,KA Pollard,Navdeep Saini,N Pooran,1,0,1,21,146,7,6,3,3,5,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
27,N Pooran,Navdeep Saini,KA Pollard,0,0,0,21,146,0,2,3,4,5,0,,,,-,field,India,1,"Providence Stadium, Guyana",2019,08,West Indies_India_2019-08-06,India,West Indies,India,146
