,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,FH Allen,Mahedi Hasan,TL Seifert,1,0,1,1,1,1,1,0,,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
1,TL Seifert,Mahedi Hasan,FH Allen,0,0,0,1,0,1,2,0,,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
2,TL Seifert,Mahedi Hasan,FH Allen,0,0,0,1,0,2,3,0,,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
3,TL Seifert,Mahedi Hasan,FH Allen,0,0,0,1,0,3,4,bowled,TL Seifert,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
4,DJ Mitchell,Mahedi Hasan,FH Allen,0,0,0,1,0,1,5,0,,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
5,DJ Mitchell,Mahedi Hasan,FH Allen,0,0,0,1,0,2,6,0,,,1,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
6,FH Allen,Shoriful Islam,DJ Mitchell,0,0,0,1,1,2,1,0,,,2,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
7,FH Allen,Shoriful Islam,DJ Mitchell,0,0,0,1,1,3,2,caught,FH Allen,Soumya Sarkar,2,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
8,GD Phillips,Shoriful Islam,DJ Mitchell,0,0,0,1,0,1,3,lbw,GD Phillips,,2,"{'by': 'Bangladesh', 'umpire': 'WR Knights', 'batter': 'GD Phillips', 'decision': 'upheld', 'type': 'wicket'}",-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
9,MS Chapman,Shoriful Islam,DJ Mitchell,0,0,0,1,0,1,4,0,,,2,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
10,MS Chapman,Shoriful Islam,DJ Mitchell,1,0,1,2,1,2,5,0,,,2,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
11,DJ Mitchell,Shoriful Islam,MS Chapman,0,0,0,2,0,3,6,0,,,2,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
12,MS Chapman,Tanzim Hasan Sakib,DJ Mitchell,0,0,0,2,1,3,1,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
13,MS Chapman,Tanzim Hasan Sakib,DJ Mitchell,1,0,1,3,2,4,2,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
14,DJ Mitchell,Tanzim Hasan Sakib,MS Chapman,2,0,2,5,2,4,3,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
15,DJ Mitchell,Tanzim Hasan Sakib,MS Chapman,0,1,1,6,2,5,4,0,,,3,,wides,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
16,DJ Mitchell,Tanzim Hasan Sakib,MS Chapman,1,0,1,7,3,6,5,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
17,MS Chapman,Tanzim Hasan Sakib,DJ Mitchell,1,0,1,8,3,5,6,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
18,DJ Mitchell,Tanzim Hasan Sakib,MS Chapman,1,0,1,9,4,7,7,0,,,3,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
19,DJ Mitchell,Shoriful Islam,MS Chapman,0,0,0,9,4,8,1,0,,,4,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
20,DJ Mitchell,Shoriful Islam,MS Chapman,4,0,4,13,8,9,2,0,,,4,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
21,DJ Mitchell,Shoriful Islam,MS Chapman,4,0,4,17,12,10,3,0,,,4,,-,field,Bangladesh,1,"McLean Park, Napier",2023-12-27,New Zealand,Bangladesh
