,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,KM Jarvis,{'noballs': 1},BB McCullum,0,1,1,1,0,1,1,noballs,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
1,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,1,0,2,2,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
2,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,1,0,3,3,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
3,MJ Guptill,KM Jarvis,{'wides': 1},BB McCullum,0,1,1,2,0,4,4,wides,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
4,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,2,0,5,5,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
5,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,2,0,6,6,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
6,MJ Guptill,KM Jarvis,,BB McCullum,2,0,2,4,2,7,7,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
7,MJ Guptill,KM Jarvis,{'wides': 1},BB McCullum,0,1,1,5,2,8,8,wides,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
8,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,5,2,9,9,-,1,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
9,BB McCullum,RW Price,,MJ Guptill,0,0,0,5,0,1,1,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
10,BB McCullum,RW Price,,MJ Guptill,1,0,1,6,1,2,2,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
11,MJ Guptill,RW Price,,BB McCullum,1,0,1,7,3,10,3,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
12,BB McCullum,RW Price,,MJ Guptill,0,0,0,7,1,3,4,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
13,BB McCullum,RW Price,,MJ Guptill,1,0,1,8,2,4,5,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
14,MJ Guptill,RW Price,,BB McCullum,2,0,2,10,5,11,6,-,2,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
15,BB McCullum,KM Jarvis,,MJ Guptill,6,0,6,16,8,5,1,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
16,BB McCullum,KM Jarvis,,MJ Guptill,1,0,1,17,9,6,2,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
17,MJ Guptill,KM Jarvis,,BB McCullum,0,0,0,17,5,12,3,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
18,MJ Guptill,KM Jarvis,,BB McCullum,1,0,1,18,6,13,4,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
19,BB McCullum,KM Jarvis,,MJ Guptill,4,0,4,22,13,7,5,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
20,BB McCullum,KM Jarvis,,MJ Guptill,0,0,0,22,13,8,6,-,3,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
21,MJ Guptill,RW Price,,BB McCullum,1,0,1,23,7,14,1,-,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
22,BB McCullum,RW Price,{'legbyes': 1},MJ Guptill,0,1,1,24,13,9,2,legbyes,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
23,MJ Guptill,RW Price,,BB McCullum,0,0,0,24,7,15,3,-,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
24,MJ Guptill,RW Price,,BB McCullum,0,0,0,24,7,16,4,-,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
25,MJ Guptill,RW Price,,BB McCullum,1,0,1,25,8,17,5,-,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
26,BB McCullum,RW Price,,MJ Guptill,4,0,4,29,17,10,6,-,4,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
27,MJ Guptill,E Chigumbura,,BB McCullum,1,0,1,30,9,18,1,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
28,BB McCullum,E Chigumbura,,MJ Guptill,0,0,0,30,17,11,2,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
29,BB McCullum,E Chigumbura,,MJ Guptill,1,0,1,31,18,12,3,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
30,MJ Guptill,E Chigumbura,,BB McCullum,0,0,0,31,9,19,4,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
31,MJ Guptill,E Chigumbura,{'wides': 1},BB McCullum,0,1,1,32,9,20,5,wides,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
32,MJ Guptill,E Chigumbura,,BB McCullum,1,0,1,33,10,21,6,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
33,BB McCullum,E Chigumbura,,MJ Guptill,2,0,2,35,20,13,7,-,5,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
34,MJ Guptill,RW Price,,BB McCullum,6,0,6,41,16,22,1,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
35,MJ Guptill,RW Price,,BB McCullum,1,0,1,42,17,23,2,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
36,BB McCullum,RW Price,,MJ Guptill,0,0,0,42,20,14,3,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
37,BB McCullum,RW Price,,MJ Guptill,0,0,0,42,20,15,4,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
38,BB McCullum,RW Price,,MJ Guptill,0,0,0,42,20,16,5,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
39,BB McCullum,RW Price,,MJ Guptill,1,0,1,43,21,17,6,-,6,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
40,BB McCullum,E Chigumbura,,MJ Guptill,2,0,2,45,23,18,1,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
41,BB McCullum,E Chigumbura,,MJ Guptill,1,0,1,46,24,19,2,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
42,MJ Guptill,E Chigumbura,,BB McCullum,1,0,1,47,18,24,3,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
43,BB McCullum,E Chigumbura,,MJ Guptill,0,0,0,47,24,20,4,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
44,BB McCullum,E Chigumbura,,MJ Guptill,1,0,1,48,25,21,5,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
45,MJ Guptill,E Chigumbura,,BB McCullum,1,0,1,49,19,25,6,-,7,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
46,MJ Guptill,P Utseya,,BB McCullum,1,0,1,50,20,26,1,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
47,BB McCullum,P Utseya,,MJ Guptill,1,0,1,51,26,22,2,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
48,MJ Guptill,P Utseya,,BB McCullum,0,0,0,51,20,27,3,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
49,MJ Guptill,P Utseya,,BB McCullum,1,0,1,52,21,28,4,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
50,BB McCullum,P Utseya,,MJ Guptill,0,0,0,52,26,23,5,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
51,BB McCullum,P Utseya,,MJ Guptill,1,0,1,53,27,24,6,-,8,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
52,BB McCullum,E Chigumbura,,MJ Guptill,0,0,0,53,27,25,1,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
53,BB McCullum,E Chigumbura,,MJ Guptill,6,0,6,59,33,26,2,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
54,BB McCullum,E Chigumbura,,MJ Guptill,4,0,4,63,37,27,3,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
55,BB McCullum,E Chigumbura,,MJ Guptill,1,0,1,64,38,28,4,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
56,MJ Guptill,E Chigumbura,,BB McCullum,1,0,1,65,22,29,5,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
57,BB McCullum,E Chigumbura,,MJ Guptill,4,0,4,69,42,29,6,-,9,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
58,MJ Guptill,P Utseya,,BB McCullum,4,0,4,73,26,30,1,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
59,MJ Guptill,P Utseya,,BB McCullum,0,0,0,73,26,31,2,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
60,MJ Guptill,P Utseya,,BB McCullum,1,0,1,74,27,32,3,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
61,BB McCullum,P Utseya,,MJ Guptill,0,0,0,74,42,30,4,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
62,BB McCullum,P Utseya,,MJ Guptill,0,0,0,74,42,31,5,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
63,BB McCullum,P Utseya,,MJ Guptill,1,0,1,75,43,32,6,-,10,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
64,BB McCullum,KM Jarvis,,MJ Guptill,0,0,0,75,43,33,1,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
65,BB McCullum,KM Jarvis,{'wides': 1},MJ Guptill,0,1,1,76,43,34,2,wides,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
