,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Fakhar Zaman,TG Southee,Ahmed Shehzad,0,1,1,1,200,0,1,0,1,legbyes,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
1,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,1,200,0,1,0,2,-,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
2,Ahmed Shehzad,TG Southee,Fakhar Zaman,2,0,2,3,198,2,2,0,3,-,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
3,Ahmed Shehzad,TG Southee,Fakhar Zaman,4,0,4,7,194,6,3,0,4,-,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
4,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,7,194,6,4,0,5,-,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
5,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,7,194,6,5,0,6,-,1,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
6,Fakhar Zaman,TA Boult,Ahmed Shehzad,4,0,4,11,190,4,2,0,1,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
7,Fakhar Zaman,TA Boult,Ahmed Shehzad,1,0,1,12,189,5,3,0,2,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
8,Ahmed Shehzad,TA Boult,Fakhar Zaman,0,0,0,12,189,6,6,0,3,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
9,Ahmed Shehzad,TA Boult,Fakhar Zaman,0,0,0,12,189,6,7,0,4,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
10,Ahmed Shehzad,TA Boult,Fakhar Zaman,0,0,0,12,189,6,8,0,5,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
11,Ahmed Shehzad,TA Boult,Fakhar Zaman,3,0,3,15,186,9,9,0,6,-,2,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
12,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,15,186,9,10,0,1,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
13,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,15,186,9,11,0,2,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
14,Ahmed Shehzad,TG Southee,Fakhar Zaman,0,0,0,15,186,9,12,0,3,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
15,Ahmed Shehzad,TG Southee,Fakhar Zaman,2,0,2,17,184,11,13,0,4,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
16,Ahmed Shehzad,TG Southee,Fakhar Zaman,4,0,4,21,180,15,14,0,5,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
17,Ahmed Shehzad,TG Southee,Fakhar Zaman,4,0,4,25,176,19,15,0,6,-,3,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
18,Fakhar Zaman,C de Grandhomme,Ahmed Shehzad,0,0,0,25,176,5,4,0,1,-,4,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
19,Fakhar Zaman,C de Grandhomme,Ahmed Shehzad,4,0,4,29,172,9,5,0,2,-,4,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
20,Fakhar Zaman,C de Grandhomme,Ahmed Shehzad,1,0,1,30,171,10,6,0,3,-,4,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
21,Ahmed Shehzad,C de Grandhomme,Fakhar Zaman,0,0,0,30,171,19,16,0,4,-,4,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
22,Ahmed Shehzad,C de Grandhomme,Fakhar Zaman,0,0,0,30,171,19,17,0,5,-,4,,0,,,bat,Pakistan,1,Bay Oval,2018,01,Pakistan_New Zealand_2018-01-28,Pakistan,Pakistan,New Zealand,181
