,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,A Balbirnie,JJ Bumrah,PR Stirling,4,0,4,4,161,4,1,0,1,0,,,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
1,A Balbirnie,JJ Bumrah,PR Stirling,0,0,0,4,161,4,2,1,2,bowled,A Balbirnie,,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
2,L Tucker,JJ Bumrah,PR Stirling,0,0,0,4,161,0,1,1,3,0,,,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
3,L Tucker,JJ Bumrah,PR Stirling,0,0,0,4,161,0,2,1,4,0,,,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
4,L Tucker,JJ Bumrah,PR Stirling,0,0,0,4,161,0,3,2,5,caught,L Tucker,SV Samson,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
5,HT Tector,JJ Bumrah,PR Stirling,0,0,0,4,161,0,1,2,6,0,,,1,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
6,PR Stirling,Arshdeep Singh,HT Tector,0,1,1,5,160,0,1,2,1,0,,,2,wides,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
7,PR Stirling,Arshdeep Singh,HT Tector,1,0,1,6,159,1,2,2,2,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
8,HT Tector,Arshdeep Singh,PR Stirling,0,0,0,6,159,0,2,2,3,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
9,HT Tector,Arshdeep Singh,PR Stirling,0,0,0,6,159,0,3,2,4,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
10,HT Tector,Arshdeep Singh,PR Stirling,0,0,0,6,159,0,4,2,5,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
11,HT Tector,Arshdeep Singh,PR Stirling,0,0,0,6,159,0,5,2,6,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
12,HT Tector,Arshdeep Singh,PR Stirling,1,0,1,7,158,1,6,2,7,0,,,2,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
13,HT Tector,JJ Bumrah,PR Stirling,4,0,4,11,154,5,7,2,1,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
14,HT Tector,JJ Bumrah,PR Stirling,2,0,2,13,152,7,8,2,2,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
15,HT Tector,JJ Bumrah,PR Stirling,0,0,0,13,152,7,9,2,3,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
16,HT Tector,JJ Bumrah,PR Stirling,0,0,0,13,152,7,10,2,4,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
17,HT Tector,JJ Bumrah,PR Stirling,0,0,0,13,152,7,11,2,5,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
18,HT Tector,JJ Bumrah,PR Stirling,0,0,0,13,152,7,12,2,6,0,,,3,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
19,PR Stirling,Arshdeep Singh,HT Tector,1,0,1,14,151,2,3,2,1,0,,,4,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
20,HT Tector,Arshdeep Singh,PR Stirling,1,0,1,15,150,8,13,2,2,0,,,4,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
21,PR Stirling,Arshdeep Singh,HT Tector,0,0,0,15,150,2,4,2,3,0,,,4,-,,field,India,1,"Malahide, Dublin",2023,08,Ireland_India_2023-08-18,India,Ireland,India,139
