,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,LJ Wright,SM Pollock,MJ Prior,0,0,0,0,154,0,1,0,1,0,,,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
1,LJ Wright,SM Pollock,MJ Prior,0,0,0,0,154,0,2,0,2,0,,,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
2,LJ Wright,SM Pollock,MJ Prior,0,0,0,0,154,0,3,0,3,0,,,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
3,LJ Wright,SM Pollock,MJ Prior,0,0,0,0,154,0,4,1,4,caught,LJ Wright,AB de Villiers,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
4,KP Pietersen,SM Pollock,MJ Prior,0,0,0,0,154,0,1,1,5,0,,,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
5,KP Pietersen,SM Pollock,MJ Prior,0,0,0,0,154,0,2,1,6,0,,,1,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
6,MJ Prior,M Ntini,KP Pietersen,1,0,1,1,153,1,1,1,1,0,,,2,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
7,KP Pietersen,M Ntini,MJ Prior,4,0,4,5,149,4,3,1,2,0,,,2,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
8,KP Pietersen,M Ntini,MJ Prior,0,0,0,5,149,4,4,1,3,0,,,2,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
9,KP Pietersen,M Ntini,MJ Prior,0,0,0,5,149,4,5,1,4,0,,,2,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
10,KP Pietersen,M Ntini,MJ Prior,1,0,1,6,148,5,6,1,5,0,,,2,-,field,England,2,Newlands,2007,09,South Africa_England_2007-09-16,South Africa,England,South Africa
