,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,JR Philippe,Mahedi Hasan,AT Carey,0,0,0,0,0,1,1,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
1,JR Philippe,Mahedi Hasan,AT Carey,0,0,0,0,0,2,2,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
2,JR Philippe,Mahedi Hasan,AT Carey,1,0,1,1,1,3,3,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
3,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,1,0,1,4,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
4,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,1,0,2,5,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
5,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,1,0,3,6,1,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
6,JR Philippe,Nasum Ahmed,AT Carey,1,0,1,2,2,4,1,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
7,AT Carey,Nasum Ahmed,JR Philippe,4,0,4,6,4,4,2,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
8,AT Carey,Nasum Ahmed,JR Philippe,0,0,0,6,4,5,3,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
9,AT Carey,Nasum Ahmed,JR Philippe,4,0,4,10,8,6,4,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
10,AT Carey,Nasum Ahmed,JR Philippe,0,0,0,10,8,7,5,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
11,AT Carey,Nasum Ahmed,JR Philippe,1,0,1,11,9,8,6,2,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
12,AT Carey,Mahedi Hasan,JR Philippe,2,0,2,13,11,9,1,3,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
13,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,13,11,10,2,3,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
14,AT Carey,Mahedi Hasan,JR Philippe,0,0,0,13,11,11,3,3,caught,AT Carey,Nasum Ahmed,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
15,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,13,0,1,4,3,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
16,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,13,0,2,5,3,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
17,MR Marsh,Mahedi Hasan,JR Philippe,0,0,0,13,0,3,6,3,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
18,JR Philippe,Shakib Al Hasan,MR Marsh,1,0,1,14,3,5,1,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
19,MR Marsh,Shakib Al Hasan,JR Philippe,0,0,0,14,0,4,2,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
20,MR Marsh,Shakib Al Hasan,JR Philippe,0,0,0,14,0,5,3,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
21,MR Marsh,Shakib Al Hasan,JR Philippe,1,0,1,15,1,6,4,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
22,JR Philippe,Shakib Al Hasan,MR Marsh,1,0,1,16,4,6,5,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
23,MR Marsh,Shakib Al Hasan,JR Philippe,4,0,4,20,5,7,6,4,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
24,JR Philippe,Nasum Ahmed,MR Marsh,1,0,1,21,5,7,1,5,0,,,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'JR Philippe', 'decision': 'struck down'}",,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
25,MR Marsh,Nasum Ahmed,JR Philippe,4,0,4,25,9,8,2,5,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
26,MR Marsh,Nasum Ahmed,JR Philippe,1,0,1,26,10,9,3,5,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
27,JR Philippe,Nasum Ahmed,MR Marsh,0,0,0,26,5,8,4,5,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
28,JR Philippe,Nasum Ahmed,MR Marsh,0,0,0,26,5,9,5,5,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
29,JR Philippe,Nasum Ahmed,MR Marsh,1,0,1,27,6,10,6,5,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
30,JR Philippe,Mustafizur Rahman,MR Marsh,4,0,4,31,10,11,1,6,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
31,JR Philippe,Mustafizur Rahman,MR Marsh,0,0,0,31,10,12,2,6,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
32,JR Philippe,Mustafizur Rahman,MR Marsh,0,0,0,31,10,13,3,6,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
33,JR Philippe,Mustafizur Rahman,MR Marsh,0,0,0,31,10,14,4,6,bowled,JR Philippe,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
34,MC Henriques,Mustafizur Rahman,MR Marsh,1,0,1,32,1,1,5,6,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
35,MR Marsh,Mustafizur Rahman,MC Henriques,0,0,0,32,10,10,6,6,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
36,MC Henriques,Shakib Al Hasan,MR Marsh,0,0,0,32,1,2,1,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
37,MC Henriques,Shakib Al Hasan,MR Marsh,0,0,0,32,1,3,2,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
38,MC Henriques,Shakib Al Hasan,MR Marsh,1,0,1,33,2,4,3,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
39,MR Marsh,Shakib Al Hasan,MC Henriques,0,0,0,33,10,11,4,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
40,MR Marsh,Shakib Al Hasan,MC Henriques,0,0,0,33,10,12,5,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
41,MR Marsh,Shakib Al Hasan,MC Henriques,1,0,1,34,11,13,6,7,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
