,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,JJ Roy,AD Mathews,JC Buttler,0,0,0,0,0,1,1,0,,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
1,JJ Roy,AD Mathews,JC Buttler,0,0,0,0,0,2,2,0,,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
2,JJ Roy,AD Mathews,JC Buttler,0,0,0,0,0,3,3,bowled,JJ Roy,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
3,JM Vince,AD Mathews,JC Buttler,0,0,0,0,0,1,4,0,,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
4,JM Vince,AD Mathews,JC Buttler,1,0,1,1,1,2,5,0,,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
5,JC Buttler,AD Mathews,JM Vince,2,0,2,3,2,1,6,0,,,1,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
6,JM Vince,RLB Rambukwella,JC Buttler,4,0,4,7,5,3,1,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
7,JM Vince,RLB Rambukwella,JC Buttler,1,0,1,8,6,4,2,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
8,JC Buttler,RLB Rambukwella,JM Vince,1,0,1,9,3,2,3,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
9,JM Vince,RLB Rambukwella,JC Buttler,1,0,1,10,7,5,4,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
10,JC Buttler,RLB Rambukwella,JM Vince,0,0,0,10,3,3,5,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
11,JC Buttler,RLB Rambukwella,JM Vince,2,0,2,12,5,4,6,0,,,2,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
12,JM Vince,AD Mathews,JC Buttler,0,0,0,12,7,6,1,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
13,JM Vince,AD Mathews,JC Buttler,1,0,1,13,8,7,2,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
14,JC Buttler,AD Mathews,JM Vince,0,0,0,13,5,5,3,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
15,JC Buttler,AD Mathews,JM Vince,0,0,0,13,5,6,4,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
16,JC Buttler,AD Mathews,JM Vince,1,0,1,14,6,7,5,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
17,JM Vince,AD Mathews,JC Buttler,1,0,1,15,9,8,6,0,,,3,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
18,JM Vince,MF Maharoof,JC Buttler,1,0,1,16,10,9,1,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
19,JC Buttler,MF Maharoof,JM Vince,0,0,0,16,6,8,2,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
20,JC Buttler,MF Maharoof,JM Vince,0,0,0,16,6,9,3,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
21,JC Buttler,MF Maharoof,JM Vince,1,0,1,17,7,10,4,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
22,JM Vince,MF Maharoof,JC Buttler,0,0,0,17,10,10,5,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
23,JM Vince,MF Maharoof,JC Buttler,2,0,2,19,12,11,6,0,,,4,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
24,JC Buttler,AD Mathews,JM Vince,6,0,6,25,13,11,1,0,,,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
25,JC Buttler,AD Mathews,JM Vince,1,0,1,26,14,12,2,0,,,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
26,JM Vince,AD Mathews,JC Buttler,0,0,0,26,12,12,3,0,,,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
27,JM Vince,AD Mathews,JC Buttler,4,0,4,30,16,13,4,0,,,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
28,JM Vince,AD Mathews,JC Buttler,0,0,0,30,16,14,5,stumped,JM Vince,LD Chandimal,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
29,EJG Morgan,AD Mathews,JC Buttler,1,0,1,31,1,1,6,0,,,5,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
30,EJG Morgan,MF Maharoof,JC Buttler,0,0,0,31,1,2,1,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
31,EJG Morgan,MF Maharoof,JC Buttler,1,0,1,32,2,3,2,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
32,JC Buttler,MF Maharoof,EJG Morgan,0,0,0,32,14,13,3,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
33,JC Buttler,MF Maharoof,EJG Morgan,6,0,6,38,20,14,4,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
34,JC Buttler,MF Maharoof,EJG Morgan,3,0,3,41,23,15,5,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
35,EJG Morgan,MF Maharoof,JC Buttler,0,0,0,41,2,4,6,0,,,6,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
36,JC Buttler,S Prasanna,EJG Morgan,1,0,1,42,24,16,1,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
37,EJG Morgan,S Prasanna,JC Buttler,1,0,1,43,3,5,2,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
38,JC Buttler,S Prasanna,EJG Morgan,1,0,1,44,25,17,3,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
39,EJG Morgan,S Prasanna,JC Buttler,1,0,1,45,4,6,4,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
40,JC Buttler,S Prasanna,EJG Morgan,1,0,1,46,26,18,5,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
41,EJG Morgan,S Prasanna,JC Buttler,1,0,1,47,5,7,6,0,,,7,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
42,EJG Morgan,MD Gunathilaka,JC Buttler,1,0,1,48,6,8,1,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
43,JC Buttler,MD Gunathilaka,EJG Morgan,6,0,6,54,32,19,2,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
44,JC Buttler,MD Gunathilaka,EJG Morgan,1,0,1,55,33,20,3,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
45,EJG Morgan,MD Gunathilaka,JC Buttler,0,0,0,55,6,9,4,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
46,EJG Morgan,MD Gunathilaka,JC Buttler,0,0,0,55,6,10,5,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
47,EJG Morgan,MD Gunathilaka,JC Buttler,1,0,1,56,7,11,6,0,,,8,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
48,EJG Morgan,S Prasanna,JC Buttler,1,0,1,57,8,12,1,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
49,JC Buttler,S Prasanna,EJG Morgan,0,0,0,57,33,21,2,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
50,JC Buttler,S Prasanna,EJG Morgan,1,0,1,58,34,22,3,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
51,EJG Morgan,S Prasanna,JC Buttler,2,0,2,60,10,13,4,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
52,EJG Morgan,S Prasanna,JC Buttler,1,0,1,61,11,14,5,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
53,JC Buttler,S Prasanna,EJG Morgan,1,0,1,62,35,23,6,0,,,9,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
54,JC Buttler,N Pradeep,EJG Morgan,2,0,2,64,37,24,1,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
55,JC Buttler,N Pradeep,EJG Morgan,0,0,0,64,37,25,2,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
56,JC Buttler,N Pradeep,EJG Morgan,0,0,0,64,37,26,3,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
57,JC Buttler,N Pradeep,EJG Morgan,1,0,1,65,38,27,4,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
58,EJG Morgan,N Pradeep,JC Buttler,0,0,0,65,11,15,5,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
59,EJG Morgan,N Pradeep,JC Buttler,1,0,1,66,12,16,6,0,,,10,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
60,EJG Morgan,S Prasanna,JC Buttler,6,0,6,72,18,17,1,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
61,EJG Morgan,S Prasanna,JC Buttler,1,0,1,73,19,18,2,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
62,JC Buttler,S Prasanna,EJG Morgan,4,0,4,77,42,28,3,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
63,JC Buttler,S Prasanna,EJG Morgan,1,0,1,78,43,29,4,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
64,EJG Morgan,S Prasanna,JC Buttler,0,1,1,79,19,19,5,0,,,11,wides,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
65,EJG Morgan,S Prasanna,JC Buttler,0,0,0,79,19,20,6,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
66,EJG Morgan,S Prasanna,JC Buttler,0,0,0,79,19,21,7,0,,,11,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
67,JC Buttler,N Pradeep,EJG Morgan,1,0,1,80,44,30,1,0,,,12,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
68,EJG Morgan,N Pradeep,JC Buttler,2,0,2,82,21,22,2,0,,,12,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
69,EJG Morgan,N Pradeep,JC Buttler,1,0,1,83,22,23,3,0,,,12,-,bat,Sri Lanka,2,The Rose Bowl,2016-07-05,England,England,Sri Lanka
