,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,KA Maharaj,A Balbirnie,0,0,0,0,211,0,1,0,-,1.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
1,PR Stirling,KA Maharaj,A Balbirnie,1,0,1,1,210,1,2,0,-,2.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
2,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,210,0,1,0,-,3.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
3,A Balbirnie,KA Maharaj,PR Stirling,4,0,4,5,206,4,2,0,-,4.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
4,A Balbirnie,KA Maharaj,PR Stirling,1,0,1,6,205,5,3,0,-,5.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
5,PR Stirling,KA Maharaj,A Balbirnie,2,0,2,8,203,3,3,0,-,6.0,0,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
6,A Balbirnie,L Ngidi,PR Stirling,0,0,0,8,203,5,4,0,-,1.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
7,A Balbirnie,L Ngidi,PR Stirling,0,1,1,9,202,5,5,0,wides,1.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
8,A Balbirnie,L Ngidi,PR Stirling,4,0,4,13,198,9,6,0,-,2.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
9,A Balbirnie,L Ngidi,PR Stirling,0,0,0,13,198,9,7,0,-,3.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
10,A Balbirnie,L Ngidi,PR Stirling,0,4,4,17,194,9,8,0,byes,4.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
11,A Balbirnie,L Ngidi,PR Stirling,0,0,0,17,194,9,9,0,-,5.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
12,A Balbirnie,L Ngidi,PR Stirling,1,0,1,18,193,10,10,0,-,6.0,1,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
13,A Balbirnie,WD Parnell,PR Stirling,4,0,4,22,189,14,11,0,-,1.0,2,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
14,A Balbirnie,WD Parnell,PR Stirling,0,0,0,22,189,14,12,0,-,2.0,2,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
15,A Balbirnie,WD Parnell,PR Stirling,0,0,0,22,189,14,13,0,-,3.0,2,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
16,A Balbirnie,WD Parnell,PR Stirling,0,0,0,22,189,14,14,1,-,4.0,2,,caught,A Balbirnie,D Pretorius,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
17,PR Stirling,WD Parnell,L Tucker,0,0,0,22,189,3,4,1,-,5.0,2,"{'by': 'South Africa', 'umpire': 'MJ Saggers', 'batter': 'PR Stirling', 'decision': 'struck down', 'umpires_call': True}",0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
18,PR Stirling,WD Parnell,L Tucker,0,0,0,22,189,3,5,1,-,6.0,2,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
19,L Tucker,L Ngidi,PR Stirling,4,0,4,26,185,4,1,1,-,1.0,3,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
20,L Tucker,L Ngidi,PR Stirling,1,0,1,27,184,5,2,1,-,2.0,3,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
21,PR Stirling,L Ngidi,L Tucker,6,0,6,33,178,9,6,1,-,3.0,3,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
22,PR Stirling,L Ngidi,L Tucker,4,0,4,37,174,13,7,1,-,4.0,3,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
23,PR Stirling,L Ngidi,L Tucker,0,1,1,38,173,13,8,1,wides,4.0,3,,0,,,bat,South Africa,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-03,South Africa,Ireland,South Africa,False,190
