,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,Shakib Al Hasan,BKG Mendis,0,0,0,0,0,1,1,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
1,MD Gunathilaka,Shakib Al Hasan,BKG Mendis,0,0,0,0,0,2,2,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
2,MD Gunathilaka,Shakib Al Hasan,BKG Mendis,0,0,0,0,0,3,3,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
3,MD Gunathilaka,Shakib Al Hasan,BKG Mendis,1,0,1,1,1,4,4,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
4,BKG Mendis,Shakib Al Hasan,MD Gunathilaka,0,1,1,2,0,1,5,wides,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
5,BKG Mendis,Shakib Al Hasan,MD Gunathilaka,0,0,0,2,0,2,6,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
6,BKG Mendis,Shakib Al Hasan,MD Gunathilaka,1,0,1,3,1,3,7,-,1,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
7,BKG Mendis,Rubel Hossain,MD Gunathilaka,1,0,1,4,2,4,1,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
8,MD Gunathilaka,Rubel Hossain,BKG Mendis,2,0,2,6,3,5,2,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
9,MD Gunathilaka,Rubel Hossain,BKG Mendis,1,0,1,7,4,6,3,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
10,BKG Mendis,Rubel Hossain,MD Gunathilaka,0,0,0,7,2,5,4,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
11,BKG Mendis,Rubel Hossain,MD Gunathilaka,4,0,4,11,6,6,5,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
12,BKG Mendis,Rubel Hossain,MD Gunathilaka,4,0,4,15,10,7,6,-,2,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
13,MD Gunathilaka,Shakib Al Hasan,BKG Mendis,0,0,0,15,4,7,1,-,3,caught,MD Gunathilaka,Sabbir Rahman,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
14,BKG Mendis,Shakib Al Hasan,MDKJ Perera,1,0,1,16,11,8,2,-,3,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
15,MDKJ Perera,Shakib Al Hasan,BKG Mendis,4,0,4,20,4,1,3,-,3,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
16,MDKJ Perera,Shakib Al Hasan,BKG Mendis,1,0,1,21,5,2,4,-,3,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
17,BKG Mendis,Shakib Al Hasan,MDKJ Perera,0,0,0,21,11,9,5,-,3,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
18,BKG Mendis,Shakib Al Hasan,MDKJ Perera,0,0,0,21,11,10,6,-,3,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
19,MDKJ Perera,Mustafizur Rahman,BKG Mendis,0,1,1,22,5,3,1,legbyes,4,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
20,BKG Mendis,Mustafizur Rahman,MDKJ Perera,0,0,0,22,11,11,2,-,4,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
21,BKG Mendis,Mustafizur Rahman,MDKJ Perera,0,0,0,22,11,12,3,-,4,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
22,BKG Mendis,Mustafizur Rahman,MDKJ Perera,0,0,0,22,11,13,4,-,4,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
23,BKG Mendis,Mustafizur Rahman,MDKJ Perera,0,0,0,22,11,14,5,-,4,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
24,BKG Mendis,Mustafizur Rahman,MDKJ Perera,0,0,0,22,11,15,6,-,4,caught,BKG Mendis,Soumya Sarkar,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
25,MDKJ Perera,Mehedi Hasan Miraz,WU Tharanga,1,0,1,23,6,4,1,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
26,WU Tharanga,Mehedi Hasan Miraz,MDKJ Perera,1,0,1,24,1,1,2,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
27,MDKJ Perera,Mehedi Hasan Miraz,WU Tharanga,1,0,1,25,7,5,3,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
28,WU Tharanga,Mehedi Hasan Miraz,MDKJ Perera,0,0,0,25,1,2,4,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
29,WU Tharanga,Mehedi Hasan Miraz,MDKJ Perera,0,0,0,25,1,3,5,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
30,WU Tharanga,Mehedi Hasan Miraz,MDKJ Perera,4,0,4,29,5,4,6,-,5,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
31,MDKJ Perera,Mustafizur Rahman,WU Tharanga,0,1,1,30,7,6,1,wides,6,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
32,MDKJ Perera,Mustafizur Rahman,WU Tharanga,1,0,1,31,8,7,2,-,6,0,,,,field,Bangladesh,1,"R.Premadasa Stadium, Khettarama",2018-03-16,Sri Lanka,Bangladesh
