,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Clarke,J Louw,{'wides': 1},DA Warner,0,1,1,1,0,1,1,wides,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
1,MJ Clarke,J Louw,,DA Warner,4,0,4,5,4,2,2,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
2,MJ Clarke,J Louw,,DA Warner,0,0,0,5,4,3,3,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
3,MJ Clarke,J Louw,,DA Warner,0,0,0,5,4,4,4,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
4,MJ Clarke,J Louw,,DA Warner,0,0,0,5,4,5,5,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
5,MJ Clarke,J Louw,,DA Warner,2,0,2,7,6,6,6,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
6,MJ Clarke,J Louw,{'wides': 1},DA Warner,0,1,1,8,6,7,7,wides,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
7,MJ Clarke,J Louw,,DA Warner,0,0,0,8,6,8,8,-,1,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
8,DA Warner,YA Abdulla,,MJ Clarke,0,0,0,8,0,1,1,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
9,DA Warner,YA Abdulla,{'wides': 1},MJ Clarke,0,1,1,9,0,2,2,wides,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
10,DA Warner,YA Abdulla,,MJ Clarke,0,0,0,9,0,3,3,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
11,DA Warner,YA Abdulla,,MJ Clarke,2,0,2,11,2,4,4,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
12,DA Warner,YA Abdulla,,MJ Clarke,0,0,0,11,2,5,5,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
13,DA Warner,YA Abdulla,,MJ Clarke,0,0,0,11,2,6,6,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
14,DA Warner,YA Abdulla,{'wides': 1},MJ Clarke,0,1,1,12,2,7,7,wides,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
15,DA Warner,YA Abdulla,,MJ Clarke,0,0,0,12,2,8,8,-,2,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
16,MJ Clarke,J Louw,,DA Warner,4,0,4,16,10,9,1,-,3,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
17,MJ Clarke,J Louw,,DA Warner,0,0,0,16,10,10,2,-,3,0,,,field,Australia,2,SuperSport Park,2009-03-29,Australia,South Africa
