,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Liton Das,Fazalhaq Farooqi,Afif Hossain,0,0,0,0,0,1,1,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
1,Liton Das,Fazalhaq Farooqi,Afif Hossain,0,0,0,0,0,2,2,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
2,Liton Das,Fazalhaq Farooqi,Afif Hossain,4,0,4,4,4,3,3,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
3,Liton Das,Fazalhaq Farooqi,Afif Hossain,4,0,4,8,8,4,4,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
4,Liton Das,Fazalhaq Farooqi,Afif Hossain,0,0,0,8,8,5,5,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
5,Liton Das,Fazalhaq Farooqi,Afif Hossain,1,0,1,9,9,6,6,1,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
6,Liton Das,Wafadar Momand,Afif Hossain,4,0,4,13,13,7,1,2,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
7,Liton Das,Wafadar Momand,Afif Hossain,4,0,4,17,17,8,2,2,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
8,Liton Das,Wafadar Momand,Afif Hossain,4,0,4,21,21,9,3,2,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
9,Liton Das,Wafadar Momand,Afif Hossain,1,0,1,22,22,10,4,2,-,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
10,Afif Hossain,Wafadar Momand,Liton Das,0,1,1,23,0,1,5,2,wides,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2023-07-16,Bangladesh,Bangladesh,Afghanistan
