,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,0,5,5,5,,0,0,0,wides,0.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Left hand Bat,Right hand Bat,Left arm Fast
1,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,4,0,4,9,,4,1,0,-,1.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Left hand Bat,Right hand Bat,Left arm Fast
2,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,1,0,1,10,,5,2,0,-,2.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Left hand Bat,Right hand Bat,Left arm Fast
3,CJ Bowes,Shaheen Shah Afridi,TWM Latham,,0,0,0,10,,0,1,0,-,3.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Right hand Bat,Left hand Bat,Left arm Fast
4,CJ Bowes,Shaheen Shah Afridi,TWM Latham,,1,0,1,11,,1,2,0,-,4.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Right hand Bat,Left hand Bat,Left arm Fast
5,TWM Latham,Shaheen Shah Afridi,CJ Bowes,"{'by': 'Pakistan', 'umpire': 'Ahsan Raza', 'batter': 'TWM Latham', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,0,0,11,,5,3,0,-,5.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Left hand Bat,Right hand Bat,Left arm Fast
6,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,0,0,0,11,,5,4,0,-,6.0,0,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Left hand Bat,Right hand Bat,Left arm Fast
7,CJ Bowes,Naseem Shah,TWM Latham,"{'by': 'Pakistan', 'umpire': 'Faisal Afridi', 'batter': 'CJ Bowes', 'decision': 'struck down', 'type': 'wicket'}",0,0,0,11,,1,3,0,-,1.0,1,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Right hand Bat,Left hand Bat,Right arm Fast
8,CJ Bowes,Naseem Shah,TWM Latham,,4,0,4,15,,5,4,0,-,2.0,1,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Right hand Bat,Left hand Bat,Right arm Fast
9,CJ Bowes,Naseem Shah,TWM Latham,,0,0,0,15,,5,5,0,-,3.0,1,0,,,bat,New Zealand,1,"Gaddafi Stadium, Lahore",2023,04,New Zealand_Pakistan_2023-04-17,New Zealand,New Zealand,Pakistan,True,163,Right hand Bat,Left hand Bat,Right arm Fast
