,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,E Lewis,Imad Wasim,CAK Walton,,0,0,0,0,0,1,1,-,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
1,E Lewis,Imad Wasim,CAK Walton,,0,0,0,0,0,2,2,-,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
2,E Lewis,Imad Wasim,CAK Walton,,0,0,0,0,0,3,3,-,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
3,E Lewis,Imad Wasim,CAK Walton,{'legbyes': 1},0,1,1,1,0,4,4,legbyes,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
4,CAK Walton,Imad Wasim,E Lewis,,0,0,0,1,0,1,5,-,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
5,CAK Walton,Imad Wasim,E Lewis,,1,0,1,2,1,2,6,-,1,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
6,CAK Walton,Sohail Tanvir,E Lewis,,0,0,0,2,1,3,1,-,2,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
7,CAK Walton,Sohail Tanvir,E Lewis,,0,0,0,2,1,4,2,-,2,caught,CAK Walton,Fakhar Zaman,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
8,E Lewis,Sohail Tanvir,MN Samuels,,1,0,1,3,1,5,3,-,2,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
9,MN Samuels,Sohail Tanvir,E Lewis,,0,0,0,3,0,1,4,-,2,0,,,bat,Pakistan,2,"Queen's Park Oval, Port of Spain",2017-04-01,West Indies,Pakistan
