,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,KD Karthik,RK Kleinveldt,{'wides': 1},M Vijay,0,1,1,1,0,1,1,wides,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
1,KD Karthik,RK Kleinveldt,,M Vijay,3,0,3,4,3,2,2,-,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
2,M Vijay,RK Kleinveldt,,KD Karthik,0,0,0,4,0,1,3,-,caught,M Vijay,MV Boucher,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
3,SK Raina,RK Kleinveldt,,KD Karthik,0,0,0,4,0,1,4,-,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
4,SK Raina,RK Kleinveldt,,KD Karthik,1,0,1,5,1,2,5,-,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
5,KD Karthik,RK Kleinveldt,,SK Raina,0,0,0,5,3,3,6,-,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
6,KD Karthik,RK Kleinveldt,,SK Raina,0,0,0,5,3,4,7,-,0,,,1,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
7,SK Raina,DW Steyn,,KD Karthik,0,0,0,5,1,3,1,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
8,SK Raina,DW Steyn,,KD Karthik,0,0,0,5,1,4,2,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
9,SK Raina,DW Steyn,,KD Karthik,2,0,2,7,3,5,3,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
10,SK Raina,DW Steyn,,KD Karthik,1,0,1,8,4,6,4,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
11,KD Karthik,DW Steyn,,SK Raina,1,0,1,9,4,5,5,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
12,SK Raina,DW Steyn,,KD Karthik,0,0,0,9,4,7,6,-,0,,,2,field,South Africa,1,"Beausejour Stadium, Gros Islet",2010-05-02,India,South Africa
