,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
39,JC Buttler,R Ashwin,AD Hales,0,0,0,64,28,20,2,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
40,JC Buttler,R Ashwin,AD Hales,0,2,2,66,28,21,3,wides,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
41,AD Hales,R Ashwin,JC Buttler,1,0,1,67,35,21,4,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
42,JC Buttler,R Ashwin,AD Hales,1,0,1,68,29,22,5,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
43,AD Hales,R Ashwin,JC Buttler,6,0,6,74,41,22,6,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
44,AD Hales,R Ashwin,JC Buttler,1,0,1,75,42,23,7,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
45,AD Hales,AR Patel,JC Buttler,0,0,0,75,42,24,1,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
46,AD Hales,AR Patel,JC Buttler,6,0,6,81,48,25,2,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
47,AD Hales,AR Patel,JC Buttler,0,0,0,81,48,26,3,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
48,AD Hales,AR Patel,JC Buttler,1,0,1,82,49,27,4,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
49,JC Buttler,AR Patel,AD Hales,1,0,1,83,30,23,5,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
50,AD Hales,AR Patel,JC Buttler,1,0,1,84,50,28,6,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
51,AD Hales,HH Pandya,JC Buttler,1,0,1,85,51,29,1,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
52,JC Buttler,HH Pandya,AD Hales,4,0,4,89,34,24,2,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
53,JC Buttler,HH Pandya,AD Hales,0,0,0,89,34,25,3,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
54,JC Buttler,HH Pandya,AD Hales,2,0,2,91,36,26,4,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
55,JC Buttler,HH Pandya,AD Hales,0,0,0,91,36,27,5,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
56,JC Buttler,HH Pandya,AD Hales,0,0,0,91,36,28,6,-,9,0,field,England,2,Adelaide Oval,2022-11-10,England,India
57,AD Hales,Arshdeep Singh,JC Buttler,4,0,4,95,55,30,1,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
58,AD Hales,Arshdeep Singh,JC Buttler,1,0,1,96,56,31,2,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
59,JC Buttler,Arshdeep Singh,AD Hales,0,0,0,96,36,29,3,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
60,JC Buttler,Arshdeep Singh,AD Hales,0,0,0,96,36,30,4,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
61,JC Buttler,Arshdeep Singh,AD Hales,1,0,1,97,37,31,5,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
