,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,,4,0,4,4,,4,1,0,-,1.0,0,,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Right hand Bat,Right arm Fast
1,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,,0,0,0,4,,4,2,0,-,2.0,0,,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Right hand Bat,Right arm Fast
2,BRM Taylor,Mohammad Hasnain,CJ Chibhabha,,1,0,1,5,,5,3,0,-,3.0,0,,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Right hand Bat,Right arm Fast
3,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,,0,0,0,5,,0,1,0,-,4.0,0,,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Right hand Bat,Right arm Fast
4,CJ Chibhabha,Mohammad Hasnain,BRM Taylor,"{'by': 'Zimbabwe', 'batter': 'CJ Chibhabha', 'decision': 'struck down'}",0,0,0,5,,0,2,1,-,5.0,lbw,CJ Chibhabha,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Right hand Bat,Right arm Fast
5,SC Williams,Mohammad Hasnain,BRM Taylor,,0,0,0,5,,0,1,1,-,6.0,0,,,0,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Left hand Bat,Right hand Bat,Right arm Fast
6,BRM Taylor,Haris Rauf,SC Williams,,3,0,3,8,,8,4,1,-,1.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Left hand Bat,Right arm Fast
7,SC Williams,Haris Rauf,BRM Taylor,,0,0,0,8,,0,2,1,-,2.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Left hand Bat,Right hand Bat,Right arm Fast
8,SC Williams,Haris Rauf,BRM Taylor,"{'by': 'Pakistan', 'batter': 'SC Williams', 'decision': 'struck down'}",0,0,0,8,,0,3,1,-,3.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Left hand Bat,Right hand Bat,Right arm Fast
9,SC Williams,Haris Rauf,BRM Taylor,,1,0,1,9,,1,4,1,-,4.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Left hand Bat,Right hand Bat,Right arm Fast
10,BRM Taylor,Haris Rauf,SC Williams,,1,0,1,10,,9,5,1,-,5.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Right hand Bat,Left hand Bat,Right arm Fast
11,SC Williams,Haris Rauf,BRM Taylor,,4,0,4,14,,5,5,1,-,6.0,0,,,1,bat,Zimbabwe,1,Rawalpindi Cricket Stadium,2020,11,Zimbabwe_Pakistan_2020-11-07,Pakistan,Zimbabwe,Pakistan,False,156,Left hand Bat,Right hand Bat,Right arm Fast
